"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,0.091,0.031,0.039,0.088,0.163
"EF Lewis",2010,0.238,0.093,0.088,0.229,0.439
"Elochoman, Skamokawa",2010,0.711,0.064,0.577,0.715,0.827
"Grays, Chinook",2010,0.785,0.053,0.667,0.789,0.878
"Kalama",2010,0.952,0.026,0.891,0.957,0.988
"Lower Cowlitz",2010,0.178,0.134,0.046,0.14,0.602
"Lower Gorge",2010,0.245,0.062,0.139,0.242,0.38
"Mill, Abernathy, Germany, Coal",2010,0.124,0.013,0.099,0.123,0.152
"NF Lewis",2010,0.264,0.038,0.188,0.263,0.34
"NF Toutle",2010,0.563,0.07,0.439,0.558,0.722
"Salmon Creek",2010,0.138,0.161,0.003,0.076,0.605
"SF Toutle",2010,0.205,0.038,0.136,0.204,0.287
"Tilton",2010,0.694,0.016,0.657,0.695,0.722
"Upper Cowlitz and Cispus",2010,0.874,0.003,0.869,0.874,0.879
"Washougal",2010,0.404,0.09,0.235,0.402,0.585
"Coweeman",2011,0.051,0.024,0.016,0.048,0.108
"EF Lewis",2011,0.071,0.044,0.014,0.062,0.184
"Elochoman, Skamokawa",2011,0.592,0.087,0.42,0.594,0.751
"Grays, Chinook",2011,0.926,0.023,0.876,0.929,0.965
"Kalama",2011,0.881,0.085,0.654,0.903,0.978
"Lower Cowlitz",2011,0.142,0.113,0.03,0.111,0.476
"Lower Gorge",2011,0.137,0.082,0.031,0.121,0.342
"Mill, Abernathy, Germany, Coal",2011,0.187,0.02,0.149,0.187,0.228
"NF Lewis",2011,0.232,0.028,0.179,0.232,0.29
"NF Toutle",2011,0.254,0.121,0.082,0.232,0.557
"Salmon Creek",2011,0.085,0.091,0.004,0.054,0.348
"SF Toutle",2011,0.14,0.076,0.033,0.126,0.331
"Tilton",2011,0.689,0.012,0.664,0.69,0.709
"Upper Cowlitz and Cispus",2011,0.607,0.006,0.596,0.608,0.617
"Washougal",2011,0.126,0.073,0.028,0.111,0.306
"Coweeman",2012,0.049,0.033,0.009,0.041,0.133
"EF Lewis",2012,0.079,0.042,0.021,0.071,0.181
"Elochoman, Skamokawa",2012,0.287,0.11,0.105,0.277,0.527
"Grays, Chinook",2012,0.433,0.119,0.206,0.433,0.656
"Kalama",2012,0.838,0.075,0.667,0.85,0.949
"Lower Cowlitz",2012,0.164,0.111,0.035,0.134,0.458
"Lower Gorge",2012,0.167,0.072,0.058,0.157,0.333
"Mill, Abernathy, Germany, Coal",2012,0.026,0.006,0.016,0.025,0.04
"NF Lewis",2012,0.159,0.035,0.103,0.155,0.241
"NF Toutle",2012,0.211,0.08,0.083,0.201,0.394
"Salmon Creek",2012,0.069,0.062,0.005,0.049,0.238
"SF Toutle",2012,0.127,0.062,0.035,0.117,0.276
"Tilton",2012,0.739,0.011,0.714,0.74,0.759
"Upper Cowlitz and Cispus",2012,0.58,0.009,0.561,0.581,0.598
"Washougal",2012,0.138,0.071,0.035,0.125,0.31
"Coweeman",2013,0.129,0.05,0.052,0.123,0.243
"EF Lewis",2013,0.094,0.035,0.039,0.089,0.177
"Elochoman, Skamokawa",2013,0.388,0.086,0.227,0.385,0.56
"Grays, Chinook",2013,0.648,0.056,0.534,0.65,0.752
"Kalama",2013,0.853,0.076,0.661,0.867,0.958
"Lower Cowlitz",2013,0.2,0.051,0.113,0.196,0.312
"Lower Gorge",2013,0.232,0.09,0.086,0.221,0.43
"Mill, Abernathy, Germany, Coal",2013,0.075,0.016,0.048,0.073,0.11
"NF Lewis",2013,0.84,0.024,0.786,0.843,0.876
"NF Toutle",2013,0.21,0.064,0.103,0.204,0.351
"Salmon Creek",2013,0.036,0.037,0.002,0.024,0.138
"SF Toutle",2013,0.147,0.052,0.063,0.141,0.258
"Tilton",2013,0.584,0.016,0.549,0.586,0.613
"Upper Cowlitz and Cispus",2013,0.998,0.001,0.996,0.998,0.999
"Washougal",2013,0.354,0.101,0.169,0.351,0.561
"Coweeman",2014,0.163,0.032,0.105,0.16,0.23
"EF Lewis",2014,0.179,0.061,0.079,0.174,0.314
"Elochoman, Skamokawa",2014,0.356,0.044,0.27,0.356,0.441
"Grays, Chinook",2014,0.413,0.079,0.262,0.412,0.569
"Kalama",2014,0.895,0.027,0.836,0.897,0.941
"Lower Cowlitz",2014,0.051,0.017,0.029,0.047,0.094
"Lower Gorge",2014,0.268,0.08,0.127,0.261,0.44
"Mill, Abernathy, Germany, Coal",2014,0.12,0.008,0.104,0.12,0.137
"NF Lewis",2014,0.476,0.033,0.408,0.476,0.538
"NF Toutle",2014,0.325,0.035,0.26,0.324,0.397
