"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,4013,865,2629,3919,6036
"EF Lewis",2010,1556,569,756,1462,2948
"Elochoman, Skamokawa",2010,1012,303,540,964,1746
"Grays, Chinook",2010,526,207,219,495,1019
"Kalama",2010,86,60,21,72,243
"Lower Cowlitz",2010,5992,2368,3256,5542,11158
"Lower Gorge",2010,642,206,349,605,1140
"Mill, Abernathy, Germany, Coal",2010,1143,295,758,1094,1820
"NF Lewis",2010,2334,525,1700,2221,3664
"NF Toutle",2010,1837,448,1193,1758,2885
"Salmon Creek",2010,1469,768,541,1309,3404
"SF Toutle",2010,1992,671,1002,1889,3589
"Tilton",2010,897,29,840,896,956
"Upper Cowlitz and Cispus",2010,2774,53,2671,2774,2879
"Washougal",2010,745,289,368,690,1441
"Coweeman",2011,4036,847,2674,3927,6000
"EF Lewis",2011,1464,491,747,1386,2637
"Elochoman, Skamokawa",2011,697,199,396,667,1170
"Grays, Chinook",2011,355,133,149,339,654
"Kalama",2011,46,29,12,39,116
"Lower Cowlitz",2011,4643,2339,2325,4102,10293
"Lower Gorge",2011,502,150,296,478,852
"Mill, Abernathy, Germany, Coal",2011,686,213,437,647,1133
"NF Lewis",2011,1498,339,1112,1422,2349
"NF Toutle",2011,1057,306,609,1009,1771
"Salmon Creek",2011,928,392,412,841,1961
"SF Toutle",2011,1359,490,607,1295,2492
"Tilton",2011,1963,45,1877,1962,2052
"Upper Cowlitz and Cispus",2011,7614,88,7448,7614,7788
"Washougal",2011,484,192,237,446,978
"Coweeman",2012,3802,835,2477,3698,5681
"EF Lewis",2012,3419,1141,1827,3226,6123
"Elochoman, Skamokawa",2012,611,182,308,593,1015
"Grays, Chinook",2012,485,147,244,471,825
"Kalama",2012,45,23,14,40,101
"Lower Cowlitz",2012,5539,3286,2503,4872,12626
"Lower Gorge",2012,568,172,316,546,959
"Mill, Abernathy, Germany, Coal",2012,762,259,489,713,1298
"NF Lewis",2012,1609,317,1189,1555,2361
"NF Toutle",2012,1501,356,1009,1439,2345
"Salmon Creek",2012,981,361,472,920,1862
"SF Toutle",2012,2144,652,1223,2037,3706
"Tilton",2012,1269,36,1197,1269,1340
"Upper Cowlitz and Cispus",2012,1601,40,1524,1601,1682
"Washougal",2012,447,139,245,422,798
"Coweeman",2013,4248,851,2859,4144,6157
"EF Lewis",2013,2988,959,1633,2800,5319
"Elochoman, Skamokawa",2013,921,228,549,898,1432
"Grays, Chinook",2013,826,209,513,795,1311
"Kalama",2013,55,27,17,50,120
"Lower Cowlitz",2013,6644,2252,3982,6192,12261
"Lower Gorge",2013,746,210,439,712,1263
"Mill, Abernathy, Germany, Coal",2013,1006,521,725,935,1687
"NF Lewis",2013,1450,303,1060,1396,2140
"NF Toutle",2013,2507,514,1786,2422,3752
"Salmon Creek",2013,1262,426,625,1206,2310
"SF Toutle",2013,3170,971,1825,2979,5509
"Tilton",2013,2650,52,2549,2650,2752
"Upper Cowlitz and Cispus",2013,13,3,7,13,21
"Washougal",2013,503,158,272,477,878
"Coweeman",2014,7671,1761,4764,7469,11629
"EF Lewis",2014,5180,1775,2579,4884,9319
"Elochoman, Skamokawa",2014,3805,876,2463,3673,5810
"Grays, Chinook",2014,2771,531,1901,2705,3951
"Kalama",2014,155,78,49,139,351
"Lower Cowlitz",2014,25945,2268,21977,25766,30879
"Lower Gorge",2014,2042,656,888,1992,3459
"Mill, Abernathy, Germany, Coal",2014,3503,1516,2710,3281,5528
"NF Lewis",2014,10720,1605,8106,10564,14290
"NF Toutle",2014,5764,1401,3822,5519,9210
"Salmon Creek",2014,3784,1364,1726,3580,6986
"SF Toutle",2014,10790,3478,6091,10117,19438
"Tilton",2014,8915,95,8735,8915,9102
"Upper Cowlitz and Cispus",2014,6849,82,6690,6849,7013
"Washougal",2014,1026,377,445,979,1870
"Coweeman",2015,1314,326,783,1283,2020
"EF Lewis",2015,606,250,244,565,1204
"Elochoman, Skamokawa",2015,422,133,199,412,706
"Grays, Chinook",2015,347,87,189,341,534
"Kalama",2015,29,14,10,27,62
"Lower Cowlitz",2015,2690,504,1920,2623,3836
"Lower Gorge",2015,404,116,236,385,668
"Mill, Abernathy, Germany, Coal",2015,814,328,626,783,1126
"NF Lewis",2015,1085,198,784,1060,1527
"NF Toutle",2015,944,261,607,911,1485
"Salmon Creek",2015,717,255,347,677,1344
"SF Toutle",2015,1764,583,981,1649,3266
"Tilton",2015,1360,36,1292,1360,1431
"Upper Cowlitz and Cispus",2015,374,19,337,373,412
"Washougal",2015,162,61,66,154,299
"Coweeman",2016,3423,722,2235,3346,5059
"EF Lewis",2016,1327,548,515,1238,2620
"Elochoman, Skamokawa",2016,925,268,470,907,1505
"Grays, Chinook",2016,687,173,392,674,1067
"Kalama",2016,70,33,22,64,149
"Lower Cowlitz",2016,4738,832,3438,4634,6699
"Lower Gorge",2016,829,248,477,787,1426
"Mill, Abernathy, Germany, Coal",2016,1418,282,1145,1377,1930
"NF Lewis",2016,3732,591,2839,3651,5144
"NF Toutle",2016,1997,340,1479,1950,2753
"Salmon Creek",2016,1542,509,820,1452,2792
"SF Toutle",2016,2877,899,1622,2722,5061
"Tilton",2016,2626,51,2526,2626,2728
"Upper Cowlitz and Cispus",2016,912,30,854,911,972
"Washougal",2016,340,116,156,325,603
"Coweeman",2017,2775,656,1750,2687,4284
"EF Lewis",2017,1644,515,872,1559,2825
"Elochoman, Skamokawa",2017,1046,293,593,1006,1710
"Grays, Chinook",2017,467,132,234,459,761
"Kalama",2017,62,33,18,57,145
"Lower Cowlitz",2017,3046,631,2095,2957,4567
"Lower Gorge",2017,587,174,302,566,983
"Mill, Abernathy, Germany, Coal",2017,1052,129,845,1039,1319
"NF Lewis",2017,4731,568,3864,4655,6073
"NF Toutle",2017,1025,244,650,995,1573
"Salmon Creek",2017,1352,512,711,1245,2593
"SF Toutle",2017,1358,458,586,1321,2381
"Tilton",2017,5193,72,5051,5193,5337
"Upper Cowlitz and Cispus",2017,5200,73,5057,5200,5345
"Washougal",2017,295,95,148,283,519
"Coweeman",2018,3015,804,1658,2923,4804
"EF Lewis",2018,1727,500,969,1648,2904
"Elochoman, Skamokawa",2018,1258,399,698,1189,2251
"Grays, Chinook",2018,477,140,228,468,790
"Kalama",2018,82,41,29,74,182
"Lower Cowlitz",2018,2977,525,2146,2913,4204
"Lower Gorge",2018,652,201,369,617,1163
"Mill, Abernathy, Germany, Coal",2018,1158,103,971,1154,1371
"NF Lewis",2018,3928,1192,2352,3697,6796
"NF Toutle",2018,1050,233,677,1026,1562
"Salmon Creek",2018,1370,482,751,1273,2587
"SF Toutle",2018,1282,431,571,1238,2247
"Tilton",2018,1320,36,1248,1321,1391
"Upper Cowlitz and Cispus",2018,173,13,148,172,199
"Washougal",2018,319,104,148,310,555
"Coweeman",2019,3492,825,2123,3416,5292
"EF Lewis",2019,2410,692,1369,2304,4048
"Elochoman, Skamokawa",2019,1924,521,1133,1853,3130
"Grays, Chinook",2019,816,228,392,800,1317
"Kalama",2019,138,70,48,124,304
"Lower Cowlitz",2019,3456,701,2460,3331,5219
"Lower Gorge",2019,1217,351,738,1149,2124
"Mill, Abernathy, Germany, Coal",2019,1797,137,1546,1794,2064
"NF Lewis",2019,4661,1182,3030,4467,7702
"NF Toutle",2019,2243,354,1670,2203,3040
"Salmon Creek",2019,1827,603,1002,1714,3302
"SF Toutle",2019,2431,687,1402,2336,4033
"Tilton",2019,1557,39,1482,1556,1636
"Upper Cowlitz and Cispus",2019,3561,61,3445,3561,3680
"Washougal",2019,604,180,325,580,1023
"Coweeman",2020,4799,1043,3033,4708,7098
"EF Lewis",2020,2414,753,1263,2319,4190
"Elochoman, Skamokawa",2020,2056,512,1269,1982,3274
"Grays, Chinook",2020,1031,264,595,1007,1638
"Kalama",2020,259,131,106,228,605
"Lower Cowlitz",2020,4984,830,3590,4902,6816
"Lower Gorge",2020,1219,365,656,1172,2087
"Mill, Abernathy, Germany, Coal",2020,1850,180,1517,1843,2223
"NF Lewis",2020,7547,676,6459,7471,9106
"NF Toutle",2020,2180,404,1526,2134,3118
"Salmon Creek",2020,1841,597,960,1746,3230
"SF Toutle",2020,2619,781,1454,2508,4443
"Tilton",2020,2399,50,2305,2399,2499
"Upper Cowlitz and Cispus",2020,8912,94,8727,8911,9098
"Washougal",2020,939,302,527,878,1687
"Coweeman",2021,4903,1056,3186,4767,7387
