"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,404,172,153,377,817
"EF Lewis",2010,499,302,132,426,1257
"Elochoman, Skamokawa",2010,2557,806,1356,2413,4474
"Grays, Chinook",2010,2012,925,842,1813,4320
"Kalama",2010,2260,2525,428,1535,8621
"Lower Cowlitz",2010,1887,5018,253,909,10112
"Lower Gorge",2010,215,105,81,191,484
"Mill, Abernathy, Germany, Coal",2010,161,45,100,154,262
"NF Lewis",2010,823,159,619,792,1219
"NF Toutle",2010,2494,1421,1419,2214,5157
"Salmon Creek",2010,358,917,4,107,2265
"SF Toutle",2010,516,204,230,479,1005
"Tilton",2010,2038,146,1736,2044,2299
"Upper Cowlitz and Cispus",2010,19301,280,18739,19308,19813
"Washougal",2010,519,256,191,462,1159
"Coweeman",2011,218,114,66,196,493
"EF Lewis",2011,114,90,19,91,340
"Elochoman, Skamokawa",2011,1041,354,511,985,1919
"Grays, Chinook",2011,4859,2432,1908,4346,10747
"Kalama",2011,486,478,89,353,1726
"Lower Cowlitz",2011,1048,3083,124,513,4834
"Lower Gorge",2011,83,67,14,66,255
"Mill, Abernathy, Germany, Coal",2011,158,50,93,149,267
"NF Lewis",2011,451,105,328,428,713
"NF Toutle",2011,418,450,86,302,1424
"Salmon Creek",2011,94,132,3,49,463
"SF Toutle",2011,231,179,41,183,705
"Tilton",2011,4356,230,3878,4366,4772
"Upper Cowlitz and Cispus",2011,11778,251,11242,11792,12225
"Washougal",2011,72,56,12,57,214
"Coweeman",2012,196,145,34,159,584
"EF Lewis",2012,293,191,66,243,798
"Elochoman, Skamokawa",2012,254,141,70,224,605
"Grays, Chinook",2012,396,213,122,348,948
"Kalama",2012,259,153,87,222,640
"Lower Cowlitz",2012,1211,1506,171,790,4805
"Lower Gorge",2012,117,71,32,100,291
"Mill, Abernathy, Germany, Coal",2012,20,9,10,19,40
"NF Lewis",2012,302,82,187,288,490
"NF Toutle",2012,419,239,126,367,1031
"Salmon Creek",2012,75,82,4,48,305
"SF Toutle",2012,318,200,71,272,836
"Tilton",2012,3600,196,3183,3610,3948
"Upper Cowlitz and Cispus",2012,2215,69,2074,2218,2346
"Washougal",2012,74,50,15,61,204
"Coweeman",2013,637,293,224,585,1329
"EF Lewis",2013,312,161,101,277,716
"Elochoman, Skamokawa",2013,596,223,268,558,1134
"Grays, Chinook",2013,1548,446,894,1481,2579
"Kalama",2013,369,209,124,319,877
"Lower Cowlitz",2013,1636,601,775,1539,3067
"Lower Gorge",2013,233,130,66,204,553
"Mill, Abernathy, Germany, Coal",2013,81,43,44,75,152
"NF Lewis",2013,7554,237,7221,7519,8117
"NF Toutle",2013,686,318,281,620,1442
"Salmon Creek",2013,48,60,3,29,215
"SF Toutle",2013,555,289,185,495,1272
"Tilton",2013,3736,247,3222,3745,4191
"Upper Cowlitz and Cispus",2013,5798,274,5210,5811,6295
"Washougal",2013,286,146,95,260,641
"Coweeman",2014,1496,464,795,1435,2577
"EF Lewis",2014,1142,599,379,1010,2637
"Elochoman, Skamokawa",2014,2111,556,1255,2036,3398
"Grays, Chinook",2014,1955,499,1118,1897,3061
"Kalama",2014,1355,698,470,1184,3139
"Lower Cowlitz",2014,1395,547,749,1262,2773
"Lower Gorge",2014,779,426,233,692,1910
"Mill, Abernathy, Germany, Coal",2014,479,219,352,449,766
"NF Lewis",2014,9638,569,8820,9532,10973
"NF Toutle",2014,2805,862,1648,2642,4865
"Salmon Creek",2014,93,96,6,63,353
"SF Toutle",2014,2596,897,1352,2436,4796
"Tilton",2014,4877,150,4571,4881,5159
"Upper Cowlitz and Cispus",2014,22564,307,21924,22572,23120
"Washougal",2014,2194,907,914,2020,4300
"Coweeman",2015,340,170,111,307,751
"EF Lewis",2015,158,116,30,130,449
"Elochoman, Skamokawa",2015,244,119,81,221,547
"Grays, Chinook",2015,320,155,122,286,709
"Kalama",2015,220,117,77,193,521
"Lower Cowlitz",2015,288,222,77,226,881
"Lower Gorge",2015,70,51,13,57,204
"Mill, Abernathy, Germany, Coal",2015,64,26,38,62,104
"NF Lewis",2015,3760,124,3583,3742,4059
"NF Toutle",2015,1260,618,545,1128,2811
"Salmon Creek",2015,36,54,1,18,184
"SF Toutle",2015,1763,694,776,1641,3471
"Tilton",2015,1527,95,1323,1534,1693
"Upper Cowlitz and Cispus",2015,922,44,829,924,1004
"Washougal",2015,278,142,95,252,631
"Coweeman",2016,673,347,192,606,1527
"EF Lewis",2016,898,651,181,736,2479
"Elochoman, Skamokawa",2016,499,245,156,456,1101
"Grays, Chinook",2016,940,316,464,893,1689
"Kalama",2016,161,117,35,131,471
"Lower Cowlitz",2016,564,443,131,434,1729
"Lower Gorge",2016,77,53,16,65,206
"Mill, Abernathy, Germany, Coal",2016,211,48,157,206,291
"NF Lewis",2016,6155,244,5812,6112,6747
"NF Toutle",2016,3292,822,2082,3168,5109
"Salmon Creek",2016,126,161,6,72,588
"SF Toutle",2016,882,400,329,808,1872
"Tilton",2016,4257,234,3765,4270,4675
"Upper Cowlitz and Cispus",2016,8810,255,8263,8816,9275
"Washougal",2016,885,355,382,822,1731
"Coweeman",2017,409,303,64,331,1191
"EF Lewis",2017,1002,451,363,924,2134
"Elochoman, Skamokawa",2017,415,263,83,358,1073
"Grays, Chinook",2017,920,353,439,858,1778
"Kalama",2017,129,129,18,92,469
"Lower Cowlitz",2017,1081,899,170,843,3407
"Lower Gorge",2017,119,99,18,92,366
"Mill, Abernathy, Germany, Coal",2017,96,18,67,94,134
"NF Lewis",2017,5134,218,4791,5109,5657
"NF Toutle",2017,485,517,117,353,1676
"Salmon Creek",2017,216,218,16,150,759
"SF Toutle",2017,173,151,22,130,572
"Tilton",2017,5200,156,4869,5209,5481
"Upper Cowlitz and Cispus",2017,6413,177,6040,6419,6734
"Washougal",2017,924,345,438,859,1744
"Coweeman",2018,1117,837,128,911,3223
"EF Lewis",2018,274,161,69,240,691
"Elochoman, Skamokawa",2018,935,436,288,873,1928
"Grays, Chinook",2018,1042,401,482,977,2011
"Kalama",2018,187,120,50,160,494
"Lower Cowlitz",2018,365,316,84,272,1197
"Lower Gorge",2018,177,107,47,155,442
"Mill, Abernathy, Germany, Coal",2018,212,36,148,209,293
"NF Lewis",2018,7731,716,6779,7603,9378
"NF Toutle",2018,479,407,109,378,1526
"Salmon Creek",2018,190,133,33,158,540
"SF Toutle",2018,150,154,15,102,575
"Tilton",2018,3094,127,2817,3103,3312
"Upper Cowlitz and Cispus",2018,5789,111,5560,5794,5993
"Washougal",2018,769,356,302,704,1654
"Coweeman",2019,1249,559,405,1165,2533
"EF Lewis",2019,258,179,48,214,742
"Elochoman, Skamokawa",2019,1194,522,415,1111,2458
"Grays, Chinook",2019,1091,537,376,997,2379
"Kalama",2019,198,192,33,141,697
"Lower Cowlitz",2019,302,207,96,240,874
"Lower Gorge",2019,477,260,139,424,1153
"Mill, Abernathy, Germany, Coal",2019,658,72,528,656,808
"NF Lewis",2019,5123,598,4361,4994,6606
"NF Toutle",2019,693,398,225,603,1692
"Salmon Creek",2019,241,195,34,190,755
"SF Toutle",2019,317,206,71,271,804
"Tilton",2019,5616,182,5222,5629,5944
"Upper Cowlitz and Cispus",2019,6136,152,5821,6146,6413
"Washougal",2019,771,316,341,715,1507
"Coweeman",2020,959,495,290,861,2168
"EF Lewis",2020,266,180,58,221,722
"Elochoman, Skamokawa",2020,633,371,140,556,1552
"Grays, Chinook",2020,786,417,232,708,1847
"Kalama",2020,753,364,298,678,1682
"Lower Cowlitz",2020,405,257,163,340,1050
"Lower Gorge",2020,162,140,23,124,527
"Mill, Abernathy, Germany, Coal",2020,265,89,126,253,466
"NF Lewis",2020,10025,1399,7892,9839,13330
"NF Toutle",2020,469,225,189,428,1040
"Salmon Creek",2020,238,180,37,193,704
"SF Toutle",2020,184,122,38,153,501
"Tilton",2020,10809,268,10245,10829,11288
"Upper Cowlitz and Cispus",2020,12317,209,11886,12321,12697
"Washougal",2020,1505,506,763,1426,2720
"Coweeman",2021,1342,529,560,1265,2575
"EF Lewis",2021,376,168,142,347,772
"Elochoman, Skamokawa",2021,1537,399,914,1485,2462
"Grays, Chinook",2021,1592,381,1003,1541,2483
"Kalama",2021,740,455,259,635,1835
"Lower Cowlitz",2021,1112,365,590,1046,2011
"Lower Gorge",2021,114,76,25,95,305
"Mill, Abernathy, Germany, Coal",2021,303,62,197,300,442
"NF Lewis",2021,7736,780,6901,7561,9606
"NF Toutle",2021,462,307,149,392,1190
"Salmon Creek",2021,102,92,11,75,347
"SF Toutle",2021,355,158,136,327,728
"Tilton",2021,8538,432,7642,8564,9320
"Upper Cowlitz and Cispus",2021,19697,261,19158,19711,20169
"Washougal",2021,194,103,59,173,455
"Coweeman",2022,566,302,158,506,1314
"EF Lewis",2022,366,214,95,320,899
"Elochoman, Skamokawa",2022,243,142,64,211,611
"Grays, Chinook",2022,820,390,281,749,1756
"Kalama",2022,340,154,145,309,728
"Lower Cowlitz",2022,781,349,321,704,1661
"Lower Gorge",2022,398,255,88,340,1056
"Mill, Abernathy, Germany, Coal",2022,759,145,509,748,1070
"NF Lewis",2022,8382,1577,6926,7971,12423
"NF Toutle",2022,545,391,152,448,1549
"Salmon Creek",2022,103,107,8,71,388
"SF Toutle",2022,351,258,65,286,1020
"Tilton",2022,9013,387,8220,9037,9708
"Upper Cowlitz and Cispus",2022,11867,265,11311,11878,12345
"Washougal",2022,534,223,217,493,1069
"Coweeman",2023,541,264,169,490,1195
