"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,0.456,0.044,0.373,0.456,0.543
"Elochoman_Skamokawa",2010,0.432,0.045,0.343,0.432,0.52
"Abernathy",2010,0.496,0.028,0.441,0.496,0.553
"Abernathy_Above AFTC",2010,0.485,0.029,0.427,0.485,0.541
"Mill",2010,0.484,0.03,0.424,0.484,0.542
"Germany",2010,0.484,0.029,0.43,0.483,0.54
"Coal",2010,0.476,0.055,0.367,0.476,0.582
"Upper Cowlitz and Cispus",2010,0.476,0.058,0.363,0.476,0.59
"Tilton",2010,0.476,0.057,0.363,0.476,0.588
"Lower Cowlitz",2010,0.52,0.051,0.42,0.518,0.62
"Delameter_Above Weir",2010,0.472,0.055,0.367,0.471,0.581
"Lacamas_Above Weir",2010,0.475,0.055,0.367,0.474,0.582
"Olequa_Above Weir",2010,0.471,0.051,0.367,0.472,0.572
"Ostrander_Above Weir",2010,0.479,0.054,0.377,0.478,0.588
"Green",2010,0.502,0.028,0.448,0.501,0.556
"Upper NF Toutle",2010,0.475,0.057,0.363,0.474,0.586
"NF_MS Toutle",2010,0.472,0.056,0.364,0.471,0.579
"SF Toutle",2010,0.443,0.037,0.372,0.443,0.516
"Coweeman",2010,0.458,0.04,0.381,0.458,0.538
"Kalama",2010,0.462,0.054,0.359,0.461,0.568
"Lower Lewis",2010,0.452,0.052,0.35,0.451,0.554
"Upper NF Lewis",2010,0.476,0.057,0.368,0.476,0.585
"Cedar",2010,0.415,0.042,0.333,0.415,0.498
"EF Lewis",2010,0.48,0.05,0.383,0.48,0.579
"Salmon Creek",2010,0.475,0.056,0.365,0.475,0.586
"Washougal",2010,0.44,0.05,0.342,0.441,0.536
"Lower Gorge",2010,0.503,0.046,0.416,0.503,0.589
"Duncan_Above Weir",2010,0.491,0.048,0.398,0.491,0.584
"Grays_Chinook",2011,0.444,0.051,0.342,0.444,0.546
"Elochoman_Skamokawa",2011,0.456,0.052,0.351,0.457,0.559
"Abernathy",2011,0.572,0.032,0.509,0.572,0.635
"Abernathy_Above AFTC",2011,0.56,0.034,0.493,0.56,0.624
"Mill",2011,0.56,0.035,0.493,0.56,0.626
"Germany",2011,0.56,0.034,0.493,0.559,0.628
"Coal",2011,0.475,0.056,0.364,0.475,0.588
"Upper Cowlitz and Cispus",2011,0.476,0.055,0.367,0.475,0.585
"Tilton",2011,0.475,0.055,0.365,0.475,0.585
"Lower Cowlitz",2011,0.47,0.054,0.367,0.471,0.576
"Delameter_Above Weir",2011,0.469,0.053,0.365,0.469,0.572
"Lacamas_Above Weir",2011,0.476,0.056,0.366,0.475,0.586
"Olequa_Above Weir",2011,0.47,0.051,0.366,0.47,0.57
"Ostrander_Above Weir",2011,0.476,0.055,0.367,0.476,0.583
"Green",2011,0.438,0.054,0.334,0.438,0.542
"Upper NF Toutle",2011,0.475,0.056,0.368,0.475,0.583
"NF_MS Toutle",2011,0.473,0.055,0.364,0.473,0.584
"SF Toutle",2011,0.445,0.053,0.341,0.445,0.553
"Coweeman",2011,0.507,0.04,0.429,0.507,0.588
"Kalama",2011,0.474,0.055,0.37,0.473,0.579
"Lower Lewis",2011,0.565,0.05,0.471,0.565,0.662
"Upper NF Lewis",2011,0.476,0.054,0.367,0.476,0.585
"Cedar",2011,0.43,0.046,0.345,0.429,0.519
"EF Lewis",2011,0.5,0.051,0.401,0.5,0.595
"Salmon Creek",2011,0.485,0.055,0.378,0.484,0.598
"Washougal",2011,0.48,0.05,0.382,0.478,0.582
"Lower Gorge",2011,0.509,0.053,0.408,0.509,0.609
"Duncan_Above Weir",2011,0.511,0.046,0.422,0.511,0.604
"Grays_Chinook",2012,0.485,0.049,0.389,0.485,0.581
"Elochoman_Skamokawa",2012,0.467,0.053,0.364,0.466,0.569
"Abernathy",2012,0.464,0.031,0.404,0.465,0.524
"Abernathy_Above AFTC",2012,0.463,0.032,0.399,0.463,0.526
"Mill",2012,0.463,0.032,0.401,0.463,0.527
"Germany",2012,0.463,0.031,0.403,0.463,0.525
