"","2.5%","25%","50%","75%","97.5%","mean","sd"
"Delameter_Above Weir",0,0,0,0,0,0,0
"Lacamas_Above Weir",0.141777076633109,0.20107367146231,0.237473940327778,0.279239405924373,0.371000135968358,0.242845152140749,0.0590092532613588
"Olequa_Above Weir",0.016030662392271,0.0292062438063374,0.0396181310617048,0.0545034497856112,0.104215180485463,0.0448820494480344,0.0236530893566302
"Ostrander_Above Weir",0,0,0,0,0,0,0
