"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Lower Gorge",2018,582,173,323,555,1001
"Mill, Abernathy, Germany, Coal",2018,923,88,762,918,1103
"NF Lewis",2018,3129,881,1863,2984,5257
"NF Toutle",2018,940,218,590,913,1433
"Salmon Creek",2018,1874,678,1018,1733,3579
"SF Toutle",2018,1164,435,488,1117,2146
"Tilton",2018,1321,37,1251,1321,1394
"Upper Cowlitz and Cispus",2018,172,13,148,172,199
"Washougal",2018,314,104,147,302,555
"Coweeman",2019,3573,845,2128,3501,5401
"EF Lewis",2019,2622,823,1392,2497,4547
"Elochoman, Skamokawa",2019,1728,483,972,1664,2857
"Grays, Chinook",2019,778,291,310,746,1451
"Kalama",2019,158,77,55,143,351
"Lower Cowlitz",2019,3321,727,2297,3191,5071
"Lower Gorge",2019,1131,326,678,1075,1917
"Mill, Abernathy, Germany, Coal",2019,1445,118,1228,1440,1687
"NF Lewis",2019,4617,1024,3170,4433,7102
"NF Toutle",2019,2131,368,1545,2087,2968
"Salmon Creek",2019,2768,909,1472,2612,4997
"SF Toutle",2019,2358,757,1242,2243,4160
"Tilton",2019,1559,40,1484,1559,1639
"Upper Cowlitz and Cispus",2019,3562,59,3446,3562,3680
"Washougal",2019,610,194,312,584,1063
"Coweeman",2020,4480,995,2887,4362,6786
"EF Lewis",2020,2782,961,1311,2653,5011
"Elochoman, Skamokawa",2020,1795,482,1054,1725,2927
"Grays, Chinook",2020,1003,322,497,962,1774
"Kalama",2020,279,150,110,245,654
"Lower Cowlitz",2020,4835,894,3407,4740,6869
"Lower Gorge",2020,1172,382,602,1113,2078
"Mill, Abernathy, Germany, Coal",2020,1484,150,1210,1477,1800
"NF Lewis",2020,7826,690,6748,7739,9444
"NF Toutle",2020,2067,419,1410,2021,3008
"Salmon Creek",2020,2959,978,1500,2808,5309
"SF Toutle",2020,2543,834,1290,2418,4498
"Tilton",2020,2402,49,2307,2401,2499
"Upper Cowlitz and Cispus",2020,8915,94,8731,8915,9098
"Washougal",2020,914,296,510,858,1656
"Coweeman",2021,4675,1046,3017,4541,7120
"EF Lewis",2021,4848,1566,2690,4561,8742
"Elochoman, Skamokawa",2021,1498,362,936,1450,2333
"Grays, Chinook",2021,1160,303,706,1114,1873
"Kalama",2021,286,145,113,253,658
"Lower Cowlitz",2021,6049,1128,4296,5906,8640
"Lower Gorge",2021,1451,522,788,1344,2745
"Mill, Abernathy, Germany, Coal",2021,1399,140,1145,1392,1696
"NF Lewis",2021,4833,548,4020,4761,6021
"NF Toutle",2021,2382,541,1555,2316,3643
"Salmon Creek",2021,3073,1055,1528,2915,5640
"SF Toutle",2021,2715,873,1461,2581,4795
"Tilton",2021,6399,82,6239,6399,6562
"Upper Cowlitz and Cispus",2021,9666,99,9473,9666,9862
"Washougal",2021,906,291,478,860,1600
"Coweeman",2022,4445,1072,2731,4311,6918
"EF Lewis",2022,4388,1608,2232,4070,8455
"Elochoman, Skamokawa",2022,819,353,311,756,1657
"Grays, Chinook",2022,865,383,290,814,1743
"Kalama",2022,314,185,116,268,778
"Lower Cowlitz",2022,4468,1040,2957,4293,6956
"Lower Gorge",2022,1540,853,700,1363,3431
"Mill, Abernathy, Germany, Coal",2022,1712,174,1397,1703,2077
"NF Lewis",2022,4972,717,4234,4862,6312
"NF Toutle",2022,2679,637,1767,2584,4182
"Salmon Creek",2022,3172,1312,1400,2938,6373
"SF Toutle",2022,2200,959,906,2036,4452
"Tilton",2022,7270,115,7029,7275,7482
"Upper Cowlitz and Cispus",2022,11530,128,11271,11532,11772
"Washougal",2022,1110,421,552,1026,2173
