"Population","Recovery.Goal","med.NOR","min.NOR","max.NOR","med.HOR","min.HOR","max.HOR","med.NOR_Density","min.NOR_Density","max.NOR_Density","med.PHOS","min.pHOS","max.pHOS","n"
"Coweeman",1200,3501.43884140164,1237.64186232801,6876.12284697397,539.209361429002,128.974355361969,1309.42464720815,36.6649584613021,12.9598400907839,72.002616632364,0.151306899117761,0.0386505313929731,0.254215227486306,13
"EF Lewis",2000,2407.71137278347,543.968388270328,4560.99429522704,248.66130215503,95.8087291462716,881.141975382626,17.1000823496323,3.86338011281882,32.3931592989985,0.0888863681430604,0.0596880280880522,0.373237258254777,7
"Elochoman, Skamokawa",2400,858.205301050614,328.360791870673,3079.01608280945,486.353841672964,168.268823620439,2163.03996125737,5.31617362696831,2.03403891788633,19.0730400714194,0.361542364626066,0.183036569242126,0.716794259857898,1
"Grays, Chinook",2400,627.081538818413,301.467635362908,2688.54676540607,895.406024614465,287.531929399327,3910.91543934345,2.39490701830467,1.15134461952549,10.2679143284041,0.582617419026503,0.403012902057508,0.930325221671636,1
"Kalama",500,74.7039045246855,31.4803877553281,267.881957701448,342.763651632647,87.5663197892385,1607.74672688675,1.44832978449079,0.61032931951093,5.19358955245106,0.754134070379971,0.50974394798867,0.955780825860501,NA
"LCR ESU",23700,28311.1933171369,12348.2970623078,85910.2474304856,24396.9469550857,9421.99502952142,52862.7793901628,9.46947187461401,4.13023394743745,28.7350894280985,0.457755421675498,0.288661358659654,0.569614236386332,10
"Lower Cowlitz",3700,4365.1149490753,2474.25865281648,24544.2559587547,768.442983427426,214.361807878017,1557.62632607159,6.87318100929454,3.89589456017038,38.6466601477959,0.111347985895649,0.0466762356630653,0.219145681027284,9
"Lower Gorge",1900,631.145859227481,339.901918056163,1537.1926100541,108.292859798578,50.7883720315717,559.124274646317,11.9166463012268,6.41767806183763,29.0236882062345,0.15501450271642,0.0637456693871594,0.268115808186641,NA
"Mill, Abernathy, Germany, Coal",1800,918.461945635933,514.090358023395,2479.59749843515,161.479862760496,13.7187431528004,554.856240807768,9.60139994395198,5.3741879651796,25.9211689669021,0.1234120303201,0.0242940531457994,0.278112473942074,1
"NF Lewis",500,3350.4643256754,1007.39063942217,7738.97835829598,6024.61897950093,279.378217351341,9165.295958912,12.086869164003,3.63418251089201,27.9185240573836,0.622413900475013,0.153280872927362,0.843871783019679,13
"NF Toutle",1900,1818.42968928815,829.975421995127,4566.54215190574,419.081380389976,271.276781664587,2892.55153998409,7.92955897094842,3.61924307105022,19.9131511656265,0.223086470283406,0.13750226386478,0.613709835429711,6
"Salmon Creek",NA,1952.40768555372,952.68259983346,4627.48036059569,88.737295036226,24.2798622948454,273.295274678166,6.92094761040921,3.37709506655924,16.4036176362404,0.0511471284190949,0.015992251700175,0.106288801648187,NA
"SF Toutle",1900,2035.65615426032,1116.73303974193,8364.29720897027,254.739967703264,90.5632543328327,2002.43354266424,22.3204735389228,12.2447055763491,91.7124800933509,0.114314021200879,0.0560281216159975,0.493465439006606,7
"Tilton",NA,2401.4701037991,898.704485629608,8920.34929566738,4397.02341061648,1561.16934623901,10894.6450229627,12.0135312947931,4.49583546586823,44.6247051980585,0.620961491881816,0.355089111955769,0.819241500387591,NA
"Upper Cowlitz and Cispus",2000,3562.15412714048,11.897006318342,11532.004014609,8860.71745553667,941.0178117487,22620.3333076887,10.6159855908847,0.0354556381173681,34.3678527328039,0.671634744997107,0.515612313227446,0.997962145689206,8
"Washougal",1500,423.455785037491,151.009698627444,1026.48374262518,650.071685765371,47.0914491028687,1786.88598398818,5.31993287502908,1.89715547304483,12.8958554848675,0.548655730766819,0.104069837512696,0.750081312760683,NA
