"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,0.46,0.043,0.376,0.46,0.544
"Elochoman_Skamokawa",2010,0.438,0.044,0.351,0.438,0.522
"Abernathy",2010,0.494,0.027,0.44,0.493,0.548
"Abernathy_Above AFTC",2010,0.484,0.028,0.429,0.485,0.541
"Mill",2010,0.485,0.029,0.429,0.485,0.54
"Germany",2010,0.485,0.028,0.43,0.485,0.54
"Upper Cowlitz and Cispus",2010,0.477,0.053,0.371,0.477,0.581
"Tilton",2010,0.477,0.053,0.373,0.477,0.584
"Lower Cowlitz",2010,0.516,0.049,0.422,0.515,0.615
"Delameter_Above Weir",2010,0.474,0.052,0.37,0.475,0.579
"Lacamas_Above Weir",2010,0.477,0.052,0.376,0.476,0.58
"Olequa_Above Weir",2010,0.473,0.049,0.377,0.474,0.571
"Ostrander_Above Weir",2010,0.481,0.052,0.379,0.481,0.584
"Green",2010,0.501,0.028,0.447,0.501,0.555
"Upper NF Toutle",2010,0.477,0.053,0.371,0.477,0.581
"NF_MS Toutle",2010,0.474,0.053,0.369,0.474,0.578
"SF Toutle",2010,0.444,0.035,0.375,0.444,0.511
"Coweeman",2010,0.459,0.038,0.382,0.459,0.534
"Kalama",2010,0.465,0.051,0.365,0.465,0.564
"Lower Lewis",2010,0.456,0.05,0.357,0.457,0.554
"Upper NF Lewis",2010,0.477,0.053,0.374,0.477,0.584
"Cedar",2010,0.419,0.04,0.34,0.419,0.497
"EF Lewis",2010,0.481,0.048,0.385,0.48,0.576
"Salmon Creek",2010,0.477,0.053,0.372,0.477,0.582
"Washougal",2010,0.444,0.047,0.352,0.444,0.536
"Lower Gorge",2010,0.501,0.044,0.414,0.5,0.589
"Duncan_Above Weir",2010,0.487,0.045,0.399,0.487,0.576
"Grays_Chinook",2011,0.449,0.049,0.351,0.449,0.544
"Elochoman_Skamokawa",2011,0.457,0.049,0.359,0.457,0.554
