"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,4296,972,2735,4176,6520
"EF Lewis",2010,2329,932,1013,2176,4592
"Elochoman, Skamokawa",2010,3177,909,1829,3037,5389
"Grays, Chinook",2010,2620,1251,1088,2349,5749
"Kalama",2010,2316,2309,484,1692,7968
"Lower Cowlitz",2010,8006,6790,3731,6705,19611
"Lower Gorge",2010,787,272,416,736,1451
"Mill, Abernathy, Germany, Coal",2010,1047,261,704,998,1665
"NF Lewis",2010,3103,645,2366,2956,4688
"NF Toutle",2010,3994,1336,2533,3743,6985
"Salmon Creek",2010,2777,2107,940,2287,7463
"SF Toutle",2010,2211,822,1044,2077,4191
"Tilton",2010,2950,156,2626,2957,3235
"Upper Cowlitz and Cispus",2010,22118,279,21553,22125,22644
"Washougal",2010,1097,409,543,1012,2149
"Coweeman",2011,3604,817,2355,3492,5498
"EF Lewis",2011,1730,629,839,1616,3261
"Elochoman, Skamokawa",2011,1564,423,928,1502,2584
"Grays, Chinook",2011,4826,2556,1782,4224,11287
"Kalama",2011,660,718,124,457,2418
"Lower Cowlitz",2011,6496,8431,2677,5065,17514
"Lower Gorge",2011,545,164,318,517,939
"Mill, Abernathy, Germany, Coal",2011,666,179,431,633,1099
"NF Lewis",2011,1943,543,1449,1812,3210
"NF Toutle",2011,1379,602,698,1252,2841
"Salmon Creek",2011,1601,718,681,1457,3420
"SF Toutle",2011,1457,576,592,1379,2854
"Tilton",2011,6352,235,5872,6360,6786
"Upper Cowlitz and Cispus",2011,19439,277,18866,19451,19957
"Washougal",2011,489,179,249,454,942
"Coweeman",2012,3453,763,2261,3354,5250
"EF Lewis",2012,3104,1195,1575,2842,6124
"Elochoman, Skamokawa",2012,695,211,370,665,1181
"Grays, Chinook",2012,868,332,404,807,1698
"Kalama",2012,358,207,123,308,889
"Lower Cowlitz",2012,7944,9502,2969,6285,21406
"Lower Gorge",2012,632,193,353,601,1107
"Mill, Abernathy, Germany, Coal",2012,582,126,397,563,878
"NF Lewis",2012,1883,399,1432,1806,2773
"NF Toutle",2012,1851,587,1165,1732,3283
"Salmon Creek",2012,1646,646,758,1534,3219
"SF Toutle",2012,2290,766,1215,2147,4165
"Tilton",2012,4912,197,4506,4920,5270
"Upper Cowlitz and Cispus",2012,3836,79,3676,3838,3984
"Washougal",2012,474,152,257,448,841
"Coweeman",2013,4382,915,2968,4265,6481
"EF Lewis",2013,2860,999,1533,2658,5372
"Elochoman, Skamokawa",2013,1311,333,791,1267,2079
"Grays, Chinook",2013,2574,737,1520,2440,4349
"Kalama",2013,475,274,165,406,1184
"Lower Cowlitz",2013,9620,5436,4990,8422,21004
"Lower Gorge",2013,876,255,527,827,1484
"Mill, Abernathy, Germany, Coal",2013,762,78,622,758,927
"NF Lewis",2013,8995,481,8395,8902,10149
"NF Toutle",2013,3069,867,2038,2896,5157
"Salmon Creek",2013,1918,685,920,1810,3502
"SF Toutle",2013,3581,1273,1927,3323,6746
"Tilton",2013,6431,259,5880,6446,6906
"Upper Cowlitz and Cispus",2013,5850,277,5267,5866,6346
"Washougal",2013,682,212,374,648,1181
"Coweeman",2014,8373,1954,5088,8211,12630
"EF Lewis",2014,5082,1766,2466,4814,9322
"Elochoman, Skamokawa",2014,4993,1233,3165,4801,7943
"Grays, Chinook",2014,4658,849,3468,4504,6726
"Kalama",2014,1681,909,575,1481,3951
"Lower Cowlitz",2014,25993,2223,22208,25813,30851
"Lower Gorge",2014,2223,756,1017,2125,3953
"Mill, Abernathy, Germany, Coal",2014,2826,196,2461,2821,3223
"NF Lewis",2014,14190,1156,12662,14003,16853
"NF Toutle",2014,7184,2089,4574,6777,12258
"Salmon Creek",2014,5004,1792,2352,4741,9274
"SF Toutle",2014,11256,4132,5967,10392,21502
"Tilton",2014,13828,195,13438,13832,14197
"Upper Cowlitz and Cispus",2014,29463,316,28830,29471,30047
"Washougal",2014,2798,1058,1237,2640,5302
"Coweeman",2015,1567,387,909,1533,2415
"EF Lewis",2015,728,301,294,676,1431
"Elochoman, Skamokawa",2015,544,180,265,520,960
"Grays, Chinook",2015,642,201,380,602,1136
"Kalama",2015,295,159,102,259,693
"Lower Cowlitz",2015,2820,545,1991,2747,4096
"Lower Gorge",2015,420,127,235,399,719
"Mill, Abernathy, Germany, Coal",2015,685,69,561,682,829
"NF Lewis",2015,4840,258,4465,4801,5445
"NF Toutle",2015,2035,777,1166,1872,3930
"Salmon Creek",2015,1050,362,508,998,1898
"SF Toutle",2015,3130,1081,1662,2919,5832
"Tilton",2015,2918,107,2691,2923,3110
"Upper Cowlitz and Cispus",2015,1314,45,1222,1315,1399
"Washougal",2015,432,188,178,396,886
"Coweeman",2016,3660,757,2430,3574,5388
"EF Lewis",2016,1937,822,788,1788,3898
"Elochoman, Skamokawa",2016,1204,344,676,1157,2004
"Grays, Chinook",2016,1561,373,1040,1491,2487
"Kalama",2016,246,143,91,210,611
"Lower Cowlitz",2016,5034,983,3569,4884,7420
"Lower Gorge",2016,812,248,462,770,1422
"Mill, Abernathy, Germany, Coal",2016,1253,101,1068,1250,1464
"NF Lewis",2016,9745,638,8759,9654,11214
"NF Toutle",2016,4887,1004,3395,4743,7233
"Salmon Creek",2016,2314,794,1193,2175,4201
"SF Toutle",2016,3279,1068,1808,3082,5872
"Tilton",2016,6927,246,6412,6940,7382
"Upper Cowlitz and Cispus",2016,9762,254,9228,9773,10226
"Washougal",2016,1237,455,584,1158,2338
"Coweeman",2017,2779,622,1811,2702,4198
"EF Lewis",2017,2525,823,1364,2385,4565
"Elochoman, Skamokawa",2017,1285,343,774,1235,2094
"Grays, Chinook",2017,1281,378,787,1207,2214
"Kalama",2017,199,149,62,159,583
"Lower Cowlitz",2017,3757,1029,2416,3552,6295
"Lower Gorge",2017,648,216,327,614,1163
"Mill, Abernathy, Germany, Coal",2017,900,82,750,896,1072
"NF Lewis",2017,9698,643,8688,9613,11190
"NF Toutle",2017,1286,480,730,1199,2392
"Salmon Creek",2017,2058,746,1088,1910,3948
"SF Toutle",2017,1364,515,564,1302,2547
"Tilton",2017,10439,176,10075,10447,10761
"Upper Cowlitz and Cispus",2017,11647,192,11249,11653,12000
"Washougal",2017,1155,405,587,1085,2132
"Coweeman",2018,3752,995,2335,3582,6129
"EF Lewis",2018,1982,638,1077,1872,3559
"Elochoman, Skamokawa",2018,1925,497,1179,1861,3097
"Grays, Chinook",2018,1385,409,832,1304,2397
"Kalama",2018,249,115,113,222,545
"Lower Cowlitz",2018,3177,642,2225,3077,4704
"Lower Gorge",2018,741,229,406,703,1293
"Mill, Abernathy, Germany, Coal",2018,1091,102,906,1086,1300
"NF Lewis",2018,10616,1161,8995,10417,13460
"NF Toutle",2018,1320,417,801,1243,2297
"Salmon Creek",2018,2132,770,1159,1971,4028
"SF Toutle",2018,1300,492,549,1238,2426
"Tilton",2018,4463,125,4202,4470,4690
"Upper Cowlitz and Cispus",2018,6001,104,5789,6004,6192
"Washougal",2018,1108,446,518,1019,2241
"Coweeman",2019,4870,1125,2992,4755,7397
"EF Lewis",2019,2898,913,1545,2760,5021
"Elochoman, Skamokawa",2019,2751,663,1732,2658,4313
"Grays, Chinook",2019,1939,666,1114,1796,3590
"Kalama",2019,370,249,123,304,1021
"Lower Cowlitz",2019,3599,778,2507,3457,5470
"Lower Gorge",2019,1566,457,946,1479,2671
"Mill, Abernathy, Germany, Coal",2019,2002,154,1714,1996,2321
"NF Lewis",2019,9553,1341,7679,9307,12776
"NF Toutle",2019,2745,607,1887,2641,4203
"Salmon Creek",2019,3123,1040,1659,2947,5720
"SF Toutle",2019,2660,856,1415,2522,4695
"Tilton",2019,7222,185,6841,7230,7560
"Upper Cowlitz and Cispus",2019,9729,168,9383,9733,10043
"Washougal",2019,1382,475,697,1304,2526
"Coweeman",2020,5359,1181,3471,5221,8124
"EF Lewis",2020,3087,1070,1458,2938,5567
"Elochoman, Skamokawa",2020,2320,575,1447,2237,3673
"Grays, Chinook",2020,1797,539,1073,1689,3140
"Kalama",2020,1053,506,454,940,2318
"Lower Cowlitz",2020,5254,988,3709,5131,7531
"Lower Gorge",2020,1322,444,671,1251,2396
"Mill, Abernathy, Germany, Coal",2020,1673,158,1391,1664,2008
"NF Lewis",2020,14057,1328,12297,13831,17138
"NF Toutle",2020,2500,535,1686,2428,3718
"Salmon Creek",2020,3313,1110,1657,3140,5977
"SF Toutle",2020,2715,894,1380,2580,4831
"Tilton",2020,13281,271,12703,13299,13769
"Upper Cowlitz and Cispus",2020,21289,226,20822,21294,21709
"Washougal",2020,2356,741,1316,2223,4131
"Coweeman",2021,5914,1323,3830,5746,8992
"EF Lewis",2021,5221,1678,2893,4907,9371
"Elochoman, Skamokawa",2021,2778,648,1780,2688,4279
"Grays, Chinook",2021,2692,604,1844,2585,4184
"Kalama",2021,1221,680,452,1057,2939
"Lower Cowlitz",2021,7193,1331,5159,7014,10318
"Lower Gorge",2021,1563,560,848,1449,2958
"Mill, Abernathy, Germany, Coal",2021,1639,159,1351,1629,1981
"NF Lewis",2021,12886,1532,11192,12589,16281
"NF Toutle",2021,2891,777,1825,2767,4686
