"X2.5.","X25.","X50.","X75.","X97.5.","mean","sd","year","Population"
0.046708582787739,0.0960937635717578,0.138437819148045,0.211388945049402,0.572141987248585,0.179457284028394,0.135081994536368,2010,"Lower Cowlitz DIP"
0.0177432867433237,0.0611488433945714,0.102129416537432,0.158825927473312,0.307470250344631,0.118135423575154,0.0768569246672069,2010,"Lower Cowlitz"
0.0014314528148933,0.0128831175316724,0.0363799692392919,0.0956502246995201,0.418284518610242,0.078738353750513,0.108465180690431,2010,"Delameter_Above Weir"
0.00589175345670409,0.0485213009568615,0.152689752244017,0.3710519876626,0.842088853228484,0.240657974998408,0.239657171472682,2010,"Lacamas_Above Weir"
0.0175137214803581,0.0568945226200467,0.0947716947065853,0.143237013532112,0.283639153220119,0.108509223022532,0.0690962249122784,2010,"Olequa_Above Weir"
0.0166029721999792,0.0951202819849532,0.194823675157641,0.346027887848277,0.668526511084488,0.238568727152941,0.178732811207823,2010,"Ostrander_Above Weir"
0.0299876091486727,0.0692182535359953,0.108191131807438,0.170831814122883,0.447246960406255,0.139539569039367,0.109689963996396,2011,"Lower Cowlitz DIP"
0.019175388746803,0.0628846482728146,0.110008341716592,0.182742462648582,0.392333633522102,0.134804345091598,0.0980506062357853,2011,"Lower Cowlitz"
0.00114135974290062,0.00853797243430983,0.0230046390520518,0.0584727904643825,0.232997729346105,0.0462951234938385,0.0622181510220512,2011,"Delameter_Above Weir"
0.00618659271921583,0.0428727425476338,0.110035085237527,0.27075611634503,0.713252999625101,0.187754140173963,0.194872727911594,2011,"Lacamas_Above Weir"
0.0045629223241563,0.0180982669685613,0.0357316281703021,0.0685441694398983,0.187439039269019,0.0521807390273371,0.0500696781830212,2011,"Olequa_Above Weir"
0.00669418091706534,0.0393159222909637,0.0937631884426526,0.20143369241992,0.558245270382996,0.145833281653161,0.14708071079817,2011,"Ostrander_Above Weir"
0.0362307547355668,0.0869180712899805,0.139918004567925,0.214432499433969,0.448993894077102,0.166778758138214,0.110851769262294,2012,"Lower Cowlitz DIP"
0.0370643357392953,0.129422209314344,0.231974548001942,0.366112747928299,0.660682138335013,0.26524717841157,0.170701664490674,2012,"Lower Cowlitz"
0.00118274040255545,0.0069049951557703,0.017538794021204,0.0402044340114134,0.174401967703863,0.0340264298622645,0.0468973154671045,2012,"Delameter_Above Weir"
0.00910792955417075,0.0411922488026523,0.0850528862396544,0.175390414329952,0.496313723167458,0.130601496400054,0.129620667523346,2012,"Lacamas_Above Weir"
0.00207177194690442,0.00862666267343881,0.0174599277208709,0.0344515537518111,0.103869875539012,0.0265918785275755,0.0280417496831036,2012,"Olequa_Above Weir"
0.00370550239366218,0.0201062772366698,0.0455040964553822,0.0976187645810791,0.335898871234114,0.0767550594420471,0.0882212168034067,2012,"Ostrander_Above Weir"
0.112484197500418,0.166808338396358,0.19878207520695,0.23495856641129,0.317927849633525,0.203240486906662,0.0521044599213533,2013,"Lower Cowlitz DIP"
0.302644203132542,0.379499361843993,0.423018175647384,0.465714064247832,0.552760144395665,0.423682035811586,0.0639285218968215,2013,"Lower Cowlitz"
0.00189378259993538,0.00697321204294023,0.0136056742601883,0.0247016375899747,0.0668742991178866,0.0188859660585,0.0176772815519001,2013,"Delameter_Above Weir"
0.0266130376356583,0.0502110637395073,0.0683733701451219,0.0903622408833176,0.143265305196351,0.0726606447039244,0.0300731330153573,2013,"Lacamas_Above Weir"
0.00208461425781922,0.00663028823278563,0.0114973874814476,0.0183880060403967,0.0403066113198854,0.0140476893022072,0.0103003929542392,2013,"Olequa_Above Weir"
0.00340346898233277,0.0121820143757092,0.0224543252402929,0.0381984006654928,0.0886370975911032,0.0287801269306438,0.0234355192875347,2013,"Ostrander_Above Weir"
0.0289800974862402,0.0388163895323338,0.0475967977770302,0.0587963480432876,0.0946671247745624,0.0512094291175248,0.0175692780995253,2014,"Lower Cowlitz DIP"
0.0232904986987474,0.0631049353509604,0.100282851453029,0.149662646846727,0.27133190916402,0.113099184899111,0.0661734043765433,2014,"Lower Cowlitz"
0.00937122384858739,0.01609196020945,0.0208541007677498,0.0265456352535495,0.040357935022623,0.0218879751776997,0.00796589415809821,2014,"Delameter_Above Weir"
0.0214917995542539,0.0300544280549604,0.0354963399904227,0.0415975854054609,0.0548688459475558,0.0361101911335581,0.0084818677416191,2014,"Lacamas_Above Weir"
0.0187012759229165,0.025220226339687,0.029567197824872,0.0344071333400018,0.0446208029099285,0.030110681807223,0.00666952708187097,2014,"Olequa_Above Weir"
0.0159772729181092,0.0239024774342125,0.0291021440232923,0.0351152324486973,0.0481660127057165,0.0298786745242574,0.00833202759354361,2014,"Ostrander_Above Weir"
0.0290115694423662,0.0534140304826145,0.076700993261522,0.113494479758356,0.244312423080655,0.0924612408348187,0.057324625754932,2015,"Lower Cowlitz DIP"
0.0143157882636252,0.0616510061048045,0.116294214634149,0.203668025201421,0.458274329001502,0.148828545180407,0.117602410940138,2015,"Lower Cowlitz"
0.0263003062705518,0.0540060637817834,0.0773900564706819,0.104936273980882,0.176647004070117,0.0830078906132052,0.0388605745765342,2015,"Delameter_Above Weir"
0.00439184722024826,0.0142412924123224,0.0245199219023878,0.0410455882206266,0.100364187375054,0.0315170040605058,0.0252626516487807,2015,"Lacamas_Above Weir"
0.0116348603123801,0.0324882841660065,0.0518308194314516,0.0780256360982143,0.162574774542706,0.0606632500640199,0.0398522317543814,2015,"Olequa_Above Weir"
0.0280472810816166,0.0563446058110042,0.0807794116758982,0.112027129601708,0.18387611241458,0.087435771144583,0.0408687716807873,2015,"Ostrander_Above Weir"
0.0265462723549388,0.0578011496094698,0.0884193907949921,0.134125761275851,0.27687379067383,0.104790297272627,0.065704778538244,2016,"Lower Cowlitz DIP"
0.0219188709447445,0.0867327480564774,0.15013763627217,0.23757170037652,0.47805751775614,0.176061406020492,0.119524385641077,2016,"Lower Cowlitz"
0.0828246395724803,0.127285341891716,0.157256603237335,0.1898042288083,0.260804539634043,0.160699005033081,0.046315217390686,2016,"Delameter_Above Weir"
0.00118952659075458,0.00446897067975247,0.00844898965158371,0.0155272788553858,0.0408260750458907,0.0117992575234703,0.0107644323800344,2016,"Lacamas_Above Weir"
0.00422487740397041,0.0138386988226747,0.0250883462956061,0.0422598242133635,0.0992539594213466,0.032111311109879,0.0257956249744131,2016,"Olequa_Above Weir"
0.0115834179565819,0.0281704935452342,0.0428519956385197,0.0626328493368913,0.112738505440326,0.0479519106883465,0.0267194301170676,2016,"Ostrander_Above Weir"
0.0501512766962478,0.14429351377302,0.228136669606079,0.332787842462102,0.550508096139802,0.247928331006254,0.132861491265635,2017,"Lower Cowlitz DIP"
0.0586985077719654,0.217344439507472,0.349956264098621,0.489533341343495,0.71798631285749,0.359129474751889,0.17808155363121,2017,"Lower Cowlitz"
0.0455457566451633,0.0915541264786431,0.12455837572327,0.163510089638933,0.253036067411071,0.131311326606861,0.0542203390548637,2017,"Delameter_Above Weir"
0.000722311349979796,0.00312698676753996,0.00633311498828394,0.0120703766553329,0.0345959755090334,0.00933181137578342,0.00954157911552767,2017,"Lacamas_Above Weir"
0.00547518605966076,0.0173802993366866,0.0296909445657506,0.0485794938631135,0.102633732023162,0.0362597395695353,0.0260185612635017,2017,"Olequa_Above Weir"
0.0273809490871998,0.0600657592703967,0.0860793649053938,0.120268303980982,0.205180018608854,0.0946280423929609,0.0465404953966774,2017,"Ostrander_Above Weir"
0.0262732302024975,0.0563254397887927,0.087941039919058,0.140361075002441,0.306731533769379,0.109222981554694,0.0749154912971941,2018,"Lower Cowlitz DIP"
0.0157176160937867,0.0664437582351665,0.128038100955128,0.22412599591076,0.46782700106694,0.160358733478511,0.123302317751093,2018,"Lower Cowlitz"
0.056805520235845,0.103387940255899,0.137263940481408,0.177728492082179,0.261167642099961,0.143541807792258,0.0542476786892308,2018,"Delameter_Above Weir"
0.000814955749617512,0.00338127918790339,0.0067890772327752,0.0129245873539508,0.0379130802222309,0.0100503066069177,0.0102029270705456,2018,"Lacamas_Above Weir"
0.00633004964536811,0.0200310324044084,0.0348856280818565,0.0587183077076558,0.137634945015455,0.0446527425880116,0.0346073775152048,2018,"Olequa_Above Weir"
0.025229010608805,0.0645355742046612,0.0979756390102658,0.142393833511173,0.259476909746784,0.109719940170415,0.0610750533816308,2018,"Ostrander_Above Weir"
0.0267859586127189,0.0473288857086018,0.0676793532182199,0.100982079495424,0.209372593032152,0.0814404167105022,0.0493371020805395,2019,"Lower Cowlitz DIP"
0.00781390236918318,0.0312182040634324,0.0620887439623317,0.108782808012033,0.258458670444946,0.0801969221360187,0.0677502985452978,2019,"Lower Cowlitz"
0.0570056642017616,0.115659855633374,0.158660201434176,0.210017061997682,0.329683234921718,0.168003129503656,0.0708806490638811,2019,"Delameter_Above Weir"
0.00174673236966473,0.00651151147452434,0.0116869145101278,0.0202034743800605,0.0506827814589594,0.0154255345262909,0.0131277675760592,2019,"Lacamas_Above Weir"
0.00502152478213855,0.0168623988236661,0.0295991984441328,0.049241700049776,0.1154127334694,0.0374452631666867,0.0290811598588221,2019,"Olequa_Above Weir"
0.107011834237236,0.154822797453159,0.186907208329536,0.22067010460007,0.29135148924513,0.189734600968675,0.0482440156644743,2019,"Ostrander_Above Weir"
0.0333734509818034,0.050927221357952,0.0656048345302252,0.0869514095687615,0.174657878499686,0.0749630714828808,0.0369595648854468,2020,"Lower Cowlitz DIP"
