"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,4631,920,3127,4540,6623
"EF Lewis",2010,2124,732,1059,1998,3829
"Elochoman, Skamokawa",2010,3600,974,2144,3467,5964
"Grays, Chinook",2010,2668,1100,1226,2450,5351
"Kalama",2010,2310,2240,493,1671,7817
"Lower Cowlitz",2010,7944,9865,3801,6665,17298
"Lower Gorge",2010,883,294,474,828,1559
"Mill, Abernathy, Germany, Coal",2010,1324,328,897,1264,2079
"NF Lewis",2010,3187,622,2429,3047,4777
"NF Toutle",2010,4418,1613,2867,4132,7652
"Salmon Creek",2010,1836,1199,644,1521,4883
"SF Toutle",2010,2641,896,1335,2503,4704
"Tilton",2010,2940,151,2629,2947,3214
"Upper Cowlitz and Cispus",2010,22074,287,21475,22078,22618
"Washougal",2010,1268,477,642,1180,2432
"Coweeman",2011,4289,875,2907,4179,6302
"EF Lewis",2011,1606,514,857,1525,2863
"Elochoman, Skamokawa",2011,1765,440,1064,1715,2805
"Grays, Chinook",2011,5597,2564,2320,5043,11845
"Kalama",2011,574,563,123,417,2070
"Lower Cowlitz",2011,5577,3543,2654,4819,12931
"Lower Gorge",2011,592,184,347,562,1027
"Mill, Abernathy, Germany, Coal",2011,860,243,544,811,1472
"NF Lewis",2011,1990,447,1489,1883,3112
"NF Toutle",2011,1541,582,855,1419,2920
"Salmon Creek",2011,1033,430,466,949,2130
"SF Toutle",2011,1666,573,784,1588,2978
"Tilton",2011,6320,232,5837,6331,6756
"Upper Cowlitz and Cispus",2011,19394,277,18827,19404,19910
"Washougal",2011,552,198,292,510,1073
"Coweeman",2012,4099,862,2690,3992,6089
"EF Lewis",2012,3591,1180,1890,3414,6465
"Elochoman, Skamokawa",2012,915,266,491,882,1537
"Grays, Chinook",2012,919,302,486,870,1676
"Kalama",2012,326,181,118,284,802
"Lower Cowlitz",2012,6612,3698,3013,5796,15036
"Lower Gorge",2012,692,194,394,666,1147
"Mill, Abernathy, Germany, Coal",2012,800,264,509,753,1367
"NF Lewis",2012,1926,387,1456,1861,2748
"NF Toutle",2012,1958,486,1306,1875,3126
"Salmon Creek",2012,1062,390,502,999,2000
"SF Toutle",2012,2529,758,1457,2403,4409
"Tilton",2012,4868,208,4433,4878,5251
"Upper Cowlitz and Cispus",2012,3813,81,3656,3816,3964
"Washougal",2012,528,159,297,501,907
"Coweeman",2013,5035,969,3507,4909,7213
"EF Lewis",2013,3339,1036,1857,3161,5893
"Elochoman, Skamokawa",2013,1581,375,977,1534,2441
"Grays, Chinook",2013,2471,576,1599,2383,3856
"Kalama",2013,460,253,167,399,1123
"Lower Cowlitz",2013,8479,2529,5240,8007,14594
"Lower Gorge",2013,994,264,609,949,1637
"Mill, Abernathy, Germany, Coal",2013,1116,475,802,1042,1857
"NF Lewis",2013,9022,498,8410,8929,10262
"NF Toutle",2013,3210,720,2224,3086,4964
"Salmon Creek",2013,1354,471,659,1273,2486
"SF Toutle",2013,3835,1113,2244,3634,6548
"Tilton",2013,6406,255,5867,6417,6875
"Upper Cowlitz and Cispus",2013,5818,276,5237,5840,6303
"Washougal",2013,815,244,455,779,1381
"Coweeman",2014,9600,2132,6103,9374,14310
"EF Lewis",2014,6512,2173,3323,6225,11694
"Elochoman, Skamokawa",2014,5879,1301,3950,5678,8884
"Grays, Chinook",2014,4783,655,3797,4683,6328
"Kalama",2014,1623,823,583,1442,3681
"Lower Cowlitz",2014,27453,2371,23371,27277,32538
"Lower Gorge",2014,2893,922,1366,2787,4993
