"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Salmon Creek",2018,198,143,36,162,566
"SF Toutle",2018,155,163,15,106,558
"Tilton",2018,3086,125,2815,3093,3303
"Upper Cowlitz and Cispus",2018,5783,109,5552,5786,5988
"Washougal",2018,786,348,311,716,1656
"Coweeman",2019,1295,593,430,1193,2753
"EF Lewis",2019,264,185,49,221,738
"Elochoman, Skamokawa",2019,1228,539,433,1138,2497
"Grays, Chinook",2019,1123,549,380,1011,2456
"Kalama",2019,216,245,35,150,795
"Lower Cowlitz",2019,314,227,99,247,900
"Lower Gorge",2019,479,270,138,423,1134
"Mill, Abernathy, Germany, Coal",2019,674,72,545,670,827
"NF Lewis",2019,5138,636,4353,4996,6683
"NF Toutle",2019,746,468,240,643,1890
"Salmon Creek",2019,249,202,38,198,739
"SF Toutle",2019,323,201,67,279,816
"Tilton",2019,5612,180,5218,5622,5932
"Upper Cowlitz and Cispus",2019,6132,154,5817,6139,6419
"Washougal",2019,799,327,337,738,1573
"Coweeman",2020,998,515,282,900,2240
"EF Lewis",2020,271,179,62,230,720
"Elochoman, Skamokawa",2020,660,385,149,578,1600
"Grays, Chinook",2020,780,401,226,707,1768
"Kalama",2020,746,378,287,665,1674
"Lower Cowlitz",2020,421,257,170,349,1092
"Lower Gorge",2020,172,164,22,124,595
"Mill, Abernathy, Germany, Coal",2020,276,90,133,266,485
"NF Lewis",2020,9917,1369,7813,9719,13184
"NF Toutle",2020,494,253,190,440,1127
"Salmon Creek",2020,244,189,41,195,731
"SF Toutle",2020,188,125,40,158,530
"Tilton",2020,10799,271,10226,10813,11274
"Upper Cowlitz and Cispus",2020,12312,213,11872,12329,12692
"Washougal",2020,1562,525,806,1469,2867
"Coweeman",2021,1380,536,589,1300,2642
"EF Lewis",2021,375,168,133,345,770
"Elochoman, Skamokawa",2021,1566,398,952,1515,2496
"Grays, Chinook",2021,1628,383,1035,1573,2512
"Kalama",2021,743,408,262,651,1807
"Lower Cowlitz",2021,1121,373,597,1052,2021
"Lower Gorge",2021,115,78,23,96,317
"Mill, Abernathy, Germany, Coal",2021,313,64,205,307,454
"NF Lewis",2021,7738,718,6877,7576,9604
"NF Toutle",2021,465,304,140,390,1249
"Salmon Creek",2021,102,96,11,74,356
"SF Toutle",2021,368,154,147,342,738
"Tilton",2021,8546,441,7588,8571,9329
"Upper Cowlitz and Cispus",2021,19689,261,19119,19702,20174
"Washougal",2021,201,108,61,175,474
"Coweeman",2022,558,287,165,503,1266
"EF Lewis",2022,364,211,91,318,889
"Elochoman, Skamokawa",2022,255,153,63,220,647
"Grays, Chinook",2022,828,398,285,751,1841
"Kalama",2022,341,149,147,309,727
"Lower Cowlitz",2022,776,358,326,701,1713
"Lower Gorge",2022,383,243,84,327,981
"Mill, Abernathy, Germany, Coal",2022,775,149,513,767,1103
"NF Lewis",2022,8278,1263,6954,7969,11391
"NF Toutle",2022,528,427,147,430,1456
"Salmon Creek",2022,97,105,7,65,369
"SF Toutle",2022,366,276,73,291,1068
"Tilton",2022,9013,388,8175,9034,9699
