"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,0.453,0.044,0.37,0.452,0.541
"Elochoman_Skamokawa",2010,0.43,0.046,0.344,0.43,0.521
"Abernathy",2010,0.498,0.029,0.441,0.497,0.554
"Abernathy_Above AFTC",2010,0.484,0.03,0.427,0.483,0.543
"Mill",2010,0.484,0.03,0.425,0.484,0.541
"Germany",2010,0.484,0.03,0.426,0.484,0.542
"Coal",2010,0.472,0.057,0.361,0.474,0.588
"Upper Cowlitz and Cispus",2010,0.473,0.056,0.363,0.473,0.581
"Tilton",2010,0.472,0.056,0.36,0.473,0.581
"Lower Cowlitz",2010,0.521,0.051,0.422,0.52,0.62
"Delameter_Above Weir",2010,0.471,0.057,0.359,0.471,0.581
"Lacamas_Above Weir",2010,0.474,0.058,0.358,0.474,0.587
"Olequa_Above Weir",2010,0.468,0.052,0.369,0.469,0.571
"Ostrander_Above Weir",2010,0.478,0.057,0.367,0.478,0.592
"Green",2010,0.502,0.028,0.448,0.501,0.555
"Upper NF Toutle",2010,0.475,0.057,0.37,0.474,0.586
"NF_MS Toutle",2010,0.469,0.053,0.363,0.47,0.572
"SF Toutle",2010,0.441,0.037,0.37,0.441,0.514
"Coweeman",2010,0.455,0.039,0.379,0.454,0.53
"Kalama",2010,0.46,0.054,0.357,0.46,0.567
"Lower Lewis",2010,0.449,0.054,0.342,0.45,0.553
"Upper NF Lewis",2010,0.474,0.056,0.361,0.473,0.582
"Cedar",2010,0.413,0.042,0.332,0.412,0.496
"EF Lewis",2010,0.479,0.051,0.378,0.477,0.58
"Salmon Creek",2010,0.473,0.058,0.361,0.473,0.583
"Washougal",2010,0.439,0.049,0.344,0.439,0.534
"Lower Gorge",2010,0.502,0.046,0.412,0.501,0.593
"Duncan_Above Weir",2010,0.49,0.047,0.398,0.49,0.584
"Grays_Chinook",2011,0.443,0.05,0.348,0.441,0.54
"Elochoman_Skamokawa",2011,0.453,0.052,0.352,0.454,0.555
"Abernathy",2011,0.573,0.031,0.512,0.574,0.634
"Abernathy_Above AFTC",2011,0.56,0.034,0.495,0.559,0.626
"Mill",2011,0.561,0.033,0.496,0.561,0.625
"Germany",2011,0.56,0.034,0.491,0.561,0.627
"Coal",2011,0.472,0.058,0.356,0.472,0.588
"Upper Cowlitz and Cispus",2011,0.473,0.058,0.361,0.472,0.589
"Tilton",2011,0.473,0.055,0.364,0.473,0.582
"Lower Cowlitz",2011,0.469,0.056,0.364,0.469,0.581
"Delameter_Above Weir",2011,0.467,0.055,0.363,0.466,0.574
"Lacamas_Above Weir",2011,0.473,0.056,0.364,0.473,0.586
"Olequa_Above Weir",2011,0.469,0.056,0.361,0.469,0.578
"Ostrander_Above Weir",2011,0.471,0.058,0.357,0.471,0.587
"Green",2011,0.434,0.056,0.326,0.434,0.544
"Upper NF Toutle",2011,0.473,0.058,0.361,0.473,0.585
"NF_MS Toutle",2011,0.471,0.056,0.363,0.47,0.584
"SF Toutle",2011,0.441,0.053,0.335,0.441,0.548
"Coweeman",2011,0.508,0.041,0.429,0.508,0.588
"Kalama",2011,0.471,0.058,0.354,0.471,0.583
"Lower Lewis",2011,0.566,0.051,0.467,0.566,0.668
"Upper NF Lewis",2011,0.474,0.058,0.363,0.473,0.589
"Cedar",2011,0.427,0.048,0.335,0.427,0.518
"EF Lewis",2011,0.498,0.051,0.399,0.498,0.6
"Salmon Creek",2011,0.484,0.054,0.378,0.484,0.59
"Washougal",2011,0.48,0.053,0.377,0.479,0.583
"Lower Gorge",2011,0.508,0.053,0.408,0.507,0.613
"Duncan_Above Weir",2011,0.512,0.046,0.425,0.512,0.606
"Grays_Chinook",2012,0.482,0.049,0.387,0.482,0.579
"Elochoman_Skamokawa",2012,0.464,0.053,0.365,0.464,0.568
"Abernathy",2012,0.464,0.03,0.407,0.464,0.524
"Abernathy_Above AFTC",2012,0.463,0.033,0.398,0.463,0.527
"Mill",2012,0.462,0.033,0.398,0.462,0.526
"Germany",2012,0.462,0.031,0.402,0.462,0.521
"Coal",2012,0.473,0.056,0.361,0.473,0.584
"Upper Cowlitz and Cispus",2012,0.473,0.058,0.361,0.473,0.584
"Tilton",2012,0.474,0.057,0.364,0.474,0.582
"Lower Cowlitz",2012,0.474,0.057,0.364,0.472,0.586
"Delameter_Above Weir",2012,0.473,0.059,0.357,0.472,0.593
"Lacamas_Above Weir",2012,0.474,0.057,0.364,0.474,0.587
