"","Population","Year","X2.5.","X25.","X50.","X75.","X97.5.","Origin"
"1","Coweeman",2010,1.55730366030872,2.94704807266825,3.97140520504065,5.24012070614236,8.70097320283868,"Hatchery"
"2","Coweeman",2011,0.576218217410169,1.25371886634638,1.83110728002911,2.59256155287421,4.74483437875723,"Hatchery"
"3","Coweeman",2012,0.271471382257743,0.812300170237284,1.39316661066996,2.27676165942521,5.26182654697989,"Hatchery"
"4","Coweeman",2013,2.11813121797726,4.31448769793039,5.94887813343134,8.06921521641012,13.9258907248929,"Hatchery"
"5","Coweeman",2014,7.56102011825373,11.5233487620737,14.2963540276183,17.7724774992936,25.9835308611094,"Hatchery"
"6","Coweeman",2015,0.981285315574572,2.0208920105493,2.91162366615573,4.0995002074287,7.44099088227719,"Hatchery"
"7","Coweeman",2016,1.79014311637984,4.07845712170226,5.95176685812445,8.41161711142484,15.3610867635338,"Hatchery"
"8","Coweeman",2017,0.490401983835736,1.68802794187542,2.98870530677652,5.03670813631154,11.7605329826842,"Hatchery"
"9","Coweeman",2018,0.970344855691305,4.51715591776577,9.21454657201185,16.5916769279683,38.5512222128896,"Hatchery"
"10","Coweeman",2019,4.62019578660339,9.32882565696008,12.9799981060122,17.5500918999001,30.3879599933863,"Hatchery"
"11","Coweeman",2020,2.65151203456438,5.9662893235084,8.76233309237709,12.5937848601783,23.9630403595446,"Hatchery"
"12","Coweeman",2021,5.90051513894578,10.6045561299068,13.9796930652839,18.2977479787645,30.3532982516498,"Hatchery"
"13","EF Lewis",2010,1.06263897710876,2.44761734906822,3.63802054707268,5.35416297405984,11.0485677116457,"Hatchery"
"14","EF Lewis",2011,0.131884716144068,0.404578382978872,0.699032703203076,1.15766372056435,2.81777818408893,"Hatchery"
"15","EF Lewis",2012,0.38505640321142,0.975518244502836,1.53698482809386,2.38037329266173,5.10947934129012,"Hatchery"
"16","EF Lewis",2013,0.628069607379699,1.24656305613771,1.76212442587769,2.49165095101076,4.75352603096507,"Hatchery"
"17","EF Lewis",2014,2.11160238772995,4.36505083765993,6.09936930788738,8.60418740667488,16.6098303547137,"Hatchery"
"18","EF Lewis",2015,0.182151719981174,0.49316945242498,0.816886352577182,1.30728663943982,3.07796507615196,"Hatchery"
"19","EF Lewis",2016,1.05095237660456,2.70530258060018,4.27554192192645,6.66442269478636,14.6806508715305,"Hatchery"
"20","EF Lewis",2017,2.46457193566689,4.7668318837373,6.63981355896984,9.09173234420475,16.538385331198,"Hatchery"
"21","EF Lewis",2018,0.486875412644231,1.13979821997783,1.73345728644328,2.61548410772902,5.39602123751895,"Hatchery"
"22","EF Lewis",2019,0.347153559163049,0.996962432481895,1.64437484034333,2.62405905870934,6.15351671253086,"Hatchery"
"23","EF Lewis",2020,0.433399679802022,1.13942775210457,1.82839915000256,2.89398316205444,6.51866504403057,"Hatchery"
"24","EF Lewis",2021,0.941672519707935,1.82476983238287,2.59135174518528,3.62379764828882,6.87343659589681,"Hatchery"
"25","Elochoman, Skamokawa",2010,7.80022130194075,11.4036960172072,13.984327956051,17.2562124921241,26.2780235777482,"Hatchery"
"26","Elochoman, Skamokawa",2011,2.90215425022947,4.51256612653939,5.6397377159905,7.0557766160441,10.9652746138832,"Hatchery"
"27","Elochoman, Skamokawa",2012,0.334548103747872,0.781647900989163,1.17026805400842,1.69261693247532,3.28587808484975,"Hatchery"
"28","Elochoman, Skamokawa",2013,1.46841451152023,2.46233602576256,3.18430610910257,4.08360891874583,6.52918502293501,"Hatchery"
"29","Elochoman, Skamokawa",2014,6.50997718830205,8.89461282857539,10.5329232114523,12.4799660308649,17.8506502613037,"Hatchery"
"30","Elochoman, Skamokawa",2015,0.461686642738873,0.914546445948898,1.27600658313071,1.77026550775675,3.12718902575397,"Hatchery"
"31","Elochoman, Skamokawa",2016,0.882194584591279,1.83234301904477,2.57800442252981,3.58183515348627,6.48775071689502,"Hatchery"
"32","Elochoman, Skamokawa",2017,0.384807377303553,1.13154217986636,1.89140666761687,2.94518209597117,5.88781923137737,"Hatchery"
"33","Elochoman, Skamokawa",2018,1.63437538122462,3.48785369399224,4.9151577637849,6.66302828106661,11.0780918945488,"Hatchery"
"34","Elochoman, Skamokawa",2019,2.28659478992159,4.49803068062472,6.15551091652369,8.25638956134505,13.5310461418048,"Hatchery"
"35","Elochoman, Skamokawa",2020,0.700244193134625,1.82988273008462,2.90324450065117,4.35676578027045,8.54529777669221,"Hatchery"
"36","Elochoman, Skamokawa",2021,5.69739678829694,7.90505427783873,9.40073253419865,11.2962166580168,16.1886965662232,"Hatchery"
"37","Grays, Chinook",2010,3.3546861922743,5.65970935677653,7.59016793264376,10.5525473899854,20.2940674283146,"Hatchery"
"38","Grays, Chinook",2011,6.97644424438435,11.9754545912783,16.6035334911527,23.3244214445276,44.7981917993972,"Hatchery"
"39","Grays, Chinook",2012,0.41699101863087,0.90449690039916,1.33507657539007,1.90988843104145,3.75620876475877,"Hatchery"
"40","Grays, Chinook",2013,3.6189550563932,5.10603404265902,6.19218263829874,7.53552296116191,11.4649381812005,"Hatchery"
"41","Grays, Chinook",2014,4.1680495104171,6.01956060740089,7.21523498504491,8.66423558694683,12.0383608789221,"Hatchery"
"42","Grays, Chinook",2015,0.467109216646466,0.858075925126178,1.15852200272427,1.55589101487912,2.99412587492834,"Hatchery"
"43","Grays, Chinook",2016,1.73941314862545,2.72826196398689,3.41799360470346,4.28754587741381,6.76375007595726,"Hatchery"
"44","Grays, Chinook",2017,1.5435518382014,2.51282387545777,3.20028428532989,4.10451086028455,7.00036942114474,"Hatchery"
