"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,568,253,224,522,1179
"Elochoman_Skamokawa",2010,936,273,505,903,1566
"Abernathy",2010,493,50,401,491,598
"Abernathy_Above AFTC",2010,242,125,82,219,555
"Mill",2010,261,173,67,220,708
"Germany",2010,207,141,54,172,565
"Upper Cowlitz and Cispus",2010,2775,53,2671,2774,2878
"Tilton",2010,899,29,841,899,958
"Lower Cowlitz",2010,2471,1049,1161,2244,5091
"Delameter_Above Weir",2010,211,108,68,192,477
"Lacamas_Above Weir",2010,1727,1847,263,1243,6022
"Olequa_Above Weir",2010,1700,1008,577,1454,4306
"Ostrander_Above Weir",2010,164,110,41,137,441
"Green",2010,919,203,591,895,1379
"Upper NF Toutle",2010,203,14,176,203,232
"NF_MS Toutle",2010,676,433,168,580,1730
"SF Toutle",2010,1867,701,849,1755,3505
"Coweeman",2010,4060,933,2531,3966,6202
"Kalama",2010,92,60,24,77,245
"Lower Lewis",2010,919,660,284,742,2518
"Upper NF Lewis",2010,0,0,0,0,0
"Cedar",2010,1450,112,1246,1444,1682
"EF Lewis",2010,1793,740,766,1660,3545
"Salmon Creek",2010,2296,1242,852,2039,5280
"Washougal",2010,661,252,333,610,1289
"Lower Gorge",2010,542,201,268,505,1032
"Duncan_Above Weir",2010,66,14,43,65,98
"Grays_Chinook",2011,361,161,123,335,737
"Elochoman_Skamokawa",2011,647,180,363,626,1070
"Abernathy",2011,263,30,208,262,326
"Abernathy_Above AFTC",2011,168,81,63,153,369
"Mill",2011,158,110,42,135,413
"Germany",2011,142,93,38,121,378
"Upper Cowlitz and Cispus",2011,7614,88,7444,7615,7784
"Tilton",2011,1962,44,1876,1962,2051
"Lower Cowlitz",2011,1477,624,667,1352,3006
"Delameter_Above Weir",2011,152,73,55,140,322
"Lacamas_Above Weir",2011,1950,2851,173,1218,8282
"Olequa_Above Weir",2011,1486,904,589,1255,3677
"Ostrander_Above Weir",2011,113,80,23,95,312
"Green",2011,481,147,224,474,792
"Upper NF Toutle",2011,63,8,49,63,80
"NF_MS Toutle",2011,497,324,137,429,1271
"SF Toutle",2011,1324,505,543,1264,2470
"Coweeman",2011,3625,822,2386,3498,5569
"Kalama",2011,55,34,15,48,139
