"Population","Recovery.Goal","med.NOR","min.NOR","max.NOR","med.HOR","min.HOR","max.HOR","med.NOR_Density","min.NOR_Density","max.NOR_Density","med.PHOS","min.pHOS","max.pHOS","n"
"Coweeman",1200,3568.63690890837,1237.61821197453,7239.35155665763,568.245299597777,133.044953215814,1365.2765851505,37.3686161475885,12.9595924385281,75.8061288899628,0.15178443432233,0.0377090741651083,0.253663857384729,12
"EF Lewis",2000,2140.39634887824,527.985939888275,4983.99327008954,252.774936141754,98.4246131122177,934.893428711316,15.2015537412016,3.74986933799289,35.3973887036205,0.106054020510266,0.0585546900894287,0.375981037632745,6
"Elochoman, Skamokawa",2400,903.552255570181,399.531937694916,2988.58085486501,653.759952093961,188.919760352703,2257.53055216847,5.59707644053184,2.47491031307437,18.5128368506299,0.365234575664318,0.197011263545122,0.716641306036486,1
"Grays, Chinook",2400,595.292996206238,328.307867475829,2788.03926197023,982.536967907755,303.346958637919,4347.46286677364,2.27350238574759,1.25385100231787,10.6478892814846,0.573778959363014,0.397832142875621,0.929952558564072,1
"Kalama",500,76.2403042717054,31.6358084901618,224.047877667211,315.436402754037,93.4659212139867,1707.74443890523,1.47811689573552,0.613342555309237,4.3437517281328,0.81707288371171,0.522677841653883,0.956309690993907,NA
"LCR ESU",23700,28271.9168014271,12483.4879996499,88493.1544917193,24629.4234304048,9609.75822928777,53766.0154458709,9.4563347434207,4.17545234443409,29.5990150668772,0.455468369813241,0.283080596122438,0.565415556102604,10
"Lower Cowlitz",3700,4705.13360761585,2494.52953099688,24905.8202337108,698.389284137289,215.30687311893,1594.64076829872,7.40856434145208,3.92781248594707,39.2159685708867,0.101092366089513,0.046807625486025,0.22160802214143,8
"Lower Gorge",1900,626.543023044335,344.106217393222,1643.59176535105,93.9084656924414,51.7275985568415,595.240542356446,11.8297402873869,6.49705931327376,31.0326075105218,0.150414764673098,0.0409642673679615,0.269210111729458,NA
"Mill, Abernathy, Germany, Coal",1800,940.087644313194,536.093517192747,2608.64102315079,149.539574592218,14.2383249678986,582.322329075776,9.82747025971668,5.60420417022674,27.2701617007429,0.121779760963093,0.0238693219248837,0.277968890661259,1
"NF Lewis",500,2981.93706806609,978.495064625058,7702.65107150882,5720.8337652635,281.077144121834,9167.89116605643,10.7573994806645,3.52994112879014,27.7874726209857,0.598892657204913,0.15361027290077,0.84201473350702,12
"NF Toutle",1900,1800.15394910192,850.022083245694,4924.12742275585,509.368941719498,282.180938658703,3064.22334259305,7.84986462785771,3.7066598040113,21.4724600072339,0.231517732334761,0.150407045259833,0.618675825779682,5
"Salmon Creek",NA,1956.98337760922,967.807403427847,5017.1571872064,106.118401801234,24.3487784283726,302.356167742257,6.93716764745976,3.43070987973019,17.7849545987603,0.0535264872919045,0.0154472459758985,0.106260135549145,NA
"SF Toutle",1900,2205.64390321367,1263.62765161909,8753.34853687837,324.988855379637,101.433050627107,2099.31195237409,24.1843477715695,13.8553691899227,95.9783330723432,0.119353181198825,0.0545050410980428,0.495337052726833,7
"Tilton",NA,2181.66402969019,898.669973568644,8920.63401922345,4356.55924660727,1564.60686182184,10906.1567953223,10.9139351990868,4.4956628167381,44.6261295486451,0.65632473179247,0.355335657786853,0.819471899661695,NA
"Upper Cowlitz and Cispus",2000,3168.50928208022,11.5429418081616,9610.95029176298,7652.90386484573,940.190706371122,22614.3599048244,9.44283927157017,0.034400449710533,28.6426993808853,0.688212027516003,0.553408287212604,0.998020263466821,7
"Washougal",1500,418.967263169832,155.852160111287,900.836676200668,564.410244063561,47.2318331458234,1941.95837560234,5.26354296163603,1.9579919781871,11.3173342249358,0.580945440013301,0.102427984835719,0.749720256638797,NA
