"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"SF Toutle",2013,0.537,0.045,0.451,0.536,0.628
"Coweeman",2013,0.477,0.042,0.396,0.477,0.56
"Kalama",2013,0.466,0.052,0.365,0.466,0.568
"Lower Lewis",2013,0.497,0.048,0.406,0.497,0.594
"Upper NF Lewis",2013,0.476,0.053,0.371,0.475,0.581
"Cedar",2013,0.453,0.039,0.379,0.453,0.53
"EF Lewis",2013,0.459,0.039,0.383,0.458,0.536
"Salmon Creek",2013,0.487,0.05,0.39,0.486,0.585
"Washougal",2013,0.478,0.046,0.388,0.478,0.569
"Lower Gorge",2013,0.481,0.042,0.399,0.481,0.563
"Duncan_Above Weir",2013,0.52,0.048,0.43,0.519,0.616
"Grays_Chinook",2014,0.502,0.019,0.465,0.502,0.539
"Elochoman_Skamokawa",2014,0.528,0.03,0.468,0.528,0.587
"Abernathy",2014,0.45,0.021,0.408,0.45,0.492
"Abernathy_Above AFTC",2014,0.457,0.021,0.417,0.457,0.498
"Mill",2014,0.461,0.021,0.419,0.461,0.502
"Germany",2014,0.455,0.022,0.413,0.454,0.497
"Upper Cowlitz and Cispus",2014,0.476,0.053,0.373,0.476,0.581
"Tilton",2014,0.476,0.053,0.372,0.476,0.582
"Lower Cowlitz",2014,0.429,0.027,0.376,0.429,0.483
"Delameter_Above Weir",2014,0.426,0.031,0.366,0.426,0.488
"Lacamas_Above Weir",2014,0.483,0.029,0.427,0.484,0.54
"Olequa_Above Weir",2014,0.503,0.025,0.454,0.503,0.553
"Ostrander_Above Weir",2014,0.516,0.033,0.452,0.515,0.579
"Green",2014,0.476,0.034,0.411,0.476,0.543
"Upper NF Toutle",2014,0.476,0.053,0.374,0.476,0.581
"NF_MS Toutle",2014,0.527,0.04,0.448,0.526,0.606
"SF Toutle",2014,0.498,0.026,0.449,0.497,0.549
"Coweeman",2014,0.509,0.035,0.44,0.509,0.579
"Kalama",2014,0.532,0.035,0.464,0.533,0.602
"Lower Lewis",2014,0.458,0.037,0.387,0.458,0.53
"Upper NF Lewis",2014,0.476,0.053,0.372,0.476,0.581
"Cedar",2014,0.479,0.045,0.392,0.479,0.568
"EF Lewis",2014,0.447,0.039,0.372,0.447,0.523
"Salmon Creek",2014,0.459,0.047,0.367,0.459,0.552
"Washougal",2014,0.471,0.038,0.397,0.471,0.545
"Lower Gorge",2014,0.522,0.041,0.443,0.522,0.602
