"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,408,175,149,379,831
"EF Lewis",2010,601,379,150,512,1556
"Elochoman, Skamokawa",2010,2385,768,1259,2258,4242
"Grays, Chinook",2010,2279,1183,878,1987,5314
"Kalama",2010,2405,2589,471,1708,8473
"Lower Cowlitz",2010,2338,8017,269,996,12788
"Lower Gorge",2010,203,105,74,179,470
"Mill, Abernathy, Germany, Coal",2010,136,37,83,129,226
"NF Lewis",2010,825,202,613,786,1289
"NF Toutle",2010,2413,1302,1368,2148,5163
"Salmon Creek",2010,630,1631,6,181,4166
"SF Toutle",2010,483,213,190,444,1007
"Tilton",2010,2055,144,1753,2061,2320
"Upper Cowlitz and Cispus",2010,19340,272,18784,19351,19842
"Washougal",2010,468,234,169,418,1050
"Coweeman",2011,195,105,55,175,453
"EF Lewis",2011,127,106,19,98,397
"Elochoman, Skamokawa",2011,962,334,469,910,1770
"Grays, Chinook",2011,4981,2687,1827,4347,11730
"Kalama",2011,654,1054,89,434,2523
"Lower Cowlitz",2011,1379,3913,123,591,7257
"Lower Gorge",2011,77,65,12,59,246
"Mill, Abernathy, Germany, Coal",2011,130,41,76,123,226
"NF Lewis",2011,472,183,325,430,855
"NF Toutle",2011,398,420,74,282,1446
"Salmon Creek",2011,162,253,5,81,809
"SF Toutle",2011,225,178,34,176,707
"Tilton",2011,4393,226,3921,4403,4805
"Upper Cowlitz and Cispus",2011,11812,250,11282,11823,12275
"Washougal",2011,60,49,9,47,183
"Coweeman",2012,166,128,26,133,502
"EF Lewis",2012,261,182,54,216,719
"Elochoman, Skamokawa",2012,215,125,54,189,530
"Grays, Chinook",2012,399,233,109,350,984
"Kalama",2012,326,217,94,270,882
"Lower Cowlitz",2012,1622,5013,163,897,7235
"Lower Gorge",2012,114,74,30,96,297
"Mill, Abernathy, Germany, Coal",2012,15,5,7,14,28
"NF Lewis",2012,298,98,182,281,513
"NF Toutle",2012,431,286,124,358,1172
"Salmon Creek",2012,131,154,7,81,551
"SF Toutle",2012,302,208,65,251,846
"Tilton",2012,3644,193,3241,3654,3989
"Upper Cowlitz and Cispus",2012,2231,66,2094,2233,2357
"Washougal",2012,66,46,13,55,183
"Coweeman",2013,619,291,202,568,1330
"EF Lewis",2013,282,156,88,248,669
"Elochoman, Skamokawa",2013,547,209,237,514,1054
"Grays, Chinook",2013,1709,535,948,1621,3002
"Kalama",2013,436,301,128,361,1193
"Lower Cowlitz",2013,1722,707,765,1595,3419
"Lower Gorge",2013,219,127,62,192,531
"Mill, Abernathy, Germany, Coal",2013,59,15,34,57,94
"NF Lewis",2013,7560,286,7218,7511,8185
"NF Toutle",2013,681,364,256,603,1592
"Salmon Creek",2013,70,89,3,41,297
"SF Toutle",2013,547,308,164,481,1301
"Tilton",2013,3779,245,3266,3794,4229
"Upper Cowlitz and Cispus",2013,5826,277,5239,5842,6322
"Washougal",2013,245,122,81,220,548
"Coweeman",2014,1432,462,722,1365,2481
"EF Lewis",2014,976,534,297,859,2339
"Elochoman, Skamokawa",2014,1764,464,1051,1700,2882
"Grays, Chinook",2014,1955,538,1091,1889,3152
"Kalama",2014,1634,885,549,1441,3863
"Lower Cowlitz",2014,1336,507,720,1223,2591
"Lower Gorge",2014,673,365,199,595,1603
"Mill, Abernathy, Germany, Coal",2014,359,37,290,357,436
"NF Lewis",2014,9283,561,8634,9168,10632
"NF Toutle",2014,2555,930,1445,2371,4808
"Salmon Creek",2014,124,144,7,79,515
"SF Toutle",2014,2295,933,1118,2099,4641
"Tilton",2014,4912,150,4601,4919,5192
"Upper Cowlitz and Cispus",2014,22606,304,21991,22614,23179
"Washougal",2014,2093,873,883,1942,4244
"Coweeman",2015,310,162,94,278,711
"EF Lewis",2015,144,110,26,115,433
"Elochoman, Skamokawa",2015,229,114,75,206,505
"Grays, Chinook",2015,340,179,122,303,784
"Kalama",2015,268,152,88,234,650
"Lower Cowlitz",2015,277,214,76,215,845
"Lower Gorge",2015,65,48,12,52,192
"Mill, Abernathy, Germany, Coal",2015,52,13,30,50,82
"NF Lewis",2015,3810,162,3606,3782,4186
"NF Toutle",2015,1233,679,487,1079,2891
"Salmon Creek",2015,49,78,2,24,249
"SF Toutle",2015,1586,670,699,1453,3228
"Tilton",2015,1559,93,1361,1565,1725
"Upper Cowlitz and Cispus",2015,939,40,854,940,1014
"Washougal",2015,285,161,89,248,698
"Coweeman",2016,633,341,171,568,1467
"EF Lewis",2016,737,537,148,602,2067
"Elochoman, Skamokawa",2016,461,233,142,416,1047
"Grays, Chinook",2016,953,344,455,895,1771
"Kalama",2016,174,142,31,136,544
"Lower Cowlitz",2016,567,440,133,443,1735
"Lower Gorge",2016,71,50,14,59,200
"Mill, Abernathy, Germany, Coal",2016,171,23,131,170,219
"NF Lewis",2016,6337,314,5906,6291,7040
"NF Toutle",2016,3206,875,1959,3064,5225
"Salmon Creek",2016,180,246,7,101,816
"SF Toutle",2016,791,377,290,717,1715
"Tilton",2016,4300,231,3808,4310,4722
"Upper Cowlitz and Cispus",2016,8846,248,8331,8858,9296
"Washougal",2016,950,419,396,867,1993
"Coweeman",2017,361,286,47,285,1123
"EF Lewis",2017,1035,516,347,935,2329
"Elochoman, Skamokawa",2017,358,237,62,305,950
"Grays, Chinook",2017,907,370,404,838,1833
"Kalama",2017,138,163,14,93,513
"Lower Cowlitz",2017,1039,879,159,805,3224
"Lower Gorge",2017,121,106,20,90,395
"Mill, Abernathy, Germany, Coal",2017,78,14,54,77,107
"NF Lewis",2017,5379,417,4786,5306,6374
"NF Toutle",2017,389,362,91,293,1299
"Salmon Creek",2017,301,323,24,202,1164
"SF Toutle",2017,167,171,16,116,617
"Tilton",2017,5248,150,4932,5254,5519
"Upper Cowlitz and Cispus",2017,6439,173,6075,6448,6755
"Washougal",2017,903,357,410,839,1786
"Coweeman",2018,1144,967,93,880,3682
"EF Lewis",2018,288,183,69,244,760
"Elochoman, Skamokawa",2018,853,401,264,793,1788
"Grays, Chinook",2018,996,416,422,918,2039
"Kalama",2018,173,118,43,145,466
"Lower Cowlitz",2018,371,392,72,257,1384
"Lower Gorge",2018,171,109,42,145,451
"Mill, Abernathy, Germany, Coal",2018,177,29,126,176,240
"NF Lewis",2018,7567,896,6484,7356,9842
"NF Toutle",2018,408,348,90,323,1246
"Salmon Creek",2018,280,209,49,227,826
"SF Toutle",2018,157,186,13,101,625
"Tilton",2018,3148,115,2902,3155,3356
"Upper Cowlitz and Cispus",2018,5827,101,5617,5831,6018
"Washougal",2018,833,421,299,745,1887
"Coweeman",2019,1348,638,441,1240,2902
"EF Lewis",2019,287,216,49,232,866
"Elochoman, Skamokawa",2019,1070,476,369,994,2184
"Grays, Chinook",2019,1191,683,333,1047,2866
"Kalama",2019,210,218,29,145,766
