"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,4468,1024,2802,4362,6818
"EF Lewis",2010,2394,987,1039,2210,4756
"Elochoman, Skamokawa",2010,3321,922,1949,3181,5530
"Grays, Chinook",2010,2847,1377,1164,2524,6352
"Kalama",2010,2497,2622,510,1793,8677
"Lower Cowlitz",2010,8611,8690,3825,7127,21569
"Lower Gorge",2010,812,285,434,756,1499
"Mill, Abernathy, Germany, Coal",2010,1096,269,738,1044,1763
"NF Lewis",2010,3194,790,2369,3001,5074
"NF Toutle",2010,4211,1545,2638,3918,7511
"Salmon Creek",2010,2926,2222,982,2407,8058
"SF Toutle",2010,2349,881,1080,2207,4402
"Tilton",2010,2953,151,2639,2961,3233
"Upper Cowlitz and Cispus",2010,22115,280,21545,22127,22634
"Washougal",2010,1129,433,558,1043,2197
"Coweeman",2011,3820,863,2514,3690,5849
"EF Lewis",2011,1813,683,866,1687,3475
"Elochoman, Skamokawa",2011,1609,421,965,1548,2596
"Grays, Chinook",2011,5343,2799,1992,4693,12378
"Kalama",2011,709,1065,128,487,2627
"Lower Cowlitz",2011,6557,5542,2777,5328,17612
"Lower Gorge",2011,564,171,326,535,983
"Mill, Abernathy, Germany, Coal",2011,693,191,449,660,1141
"NF Lewis",2011,2053,775,1448,1868,3698
"NF Toutle",2011,1439,642,714,1307,3008
"Salmon Creek",2011,1689,811,704,1522,3726
"SF Toutle",2011,1549,597,635,1469,2926
"Tilton",2011,6355,237,5857,6365,6786
"Upper Cowlitz and Cispus",2011,19426,277,18842,19438,19937
"Washougal",2011,500,194,254,461,965
"Coweeman",2012,3651,808,2371,3539,5553
"EF Lewis",2012,3399,1361,1684,3109,6728
"Elochoman, Skamokawa",2012,806,228,436,780,1315
"Grays, Chinook",2012,920,337,435,861,1748
"Kalama",2012,382,231,127,323,968
"Lower Cowlitz",2012,8079,9993,3136,6567,21773
"Lower Gorge",2012,662,208,363,629,1160
"Mill, Abernathy, Germany, Coal",2012,610,130,415,591,911
"NF Lewis",2012,1902,497,1402,1806,2973
"NF Toutle",2012,1951,613,1216,1821,3422
"Salmon Creek",2012,1740,699,782,1619,3399
"SF Toutle",2012,2384,827,1264,2225,4379
"Tilton",2012,4915,200,4498,4926,5277
"Upper Cowlitz and Cispus",2012,3834,79,3677,3836,3985
"Washougal",2012,490,156,266,464,873
"Coweeman",2013,4591,974,3069,4465,6878
"EF Lewis",2013,3029,1109,1578,2811,5797
"Elochoman, Skamokawa",2013,1403,329,872,1366,2163
"Grays, Chinook",2013,2642,741,1586,2516,4427
"Kalama",2013,502,313,174,427,1293
"Lower Cowlitz",2013,9429,4190,5072,8520,19093
"Lower Gorge",2013,908,267,546,861,1557
"Mill, Abernathy, Germany, Coal",2013,792,82,644,789,965
"NF Lewis",2013,9038,602,8390,8918,10422
"NF Toutle",2013,3214,861,2119,3045,5305
"Salmon Creek",2013,2002,747,918,1883,3774
"SF Toutle",2013,3658,1371,1944,3368,7017
"Tilton",2013,6433,261,5882,6450,6914
"Upper Cowlitz and Cispus",2013,5838,277,5251,5853,6333
"Washougal",2013,699,212,382,667,1196
"Coweeman",2014,8804,2074,5360,8637,13326
"EF Lewis",2014,5358,1917,2577,5041,9854
"Elochoman, Skamokawa",2014,4870,1086,3248,4698,7561
"Grays, Chinook",2014,4836,858,3598,4691,6935
"Kalama",2014,1811,954,618,1605,4218
"Lower Cowlitz",2014,26423,2379,22470,26193,31755
"Lower Gorge",2014,2370,820,1029,2275,4312
"Mill, Abernathy, Germany, Coal",2014,2974,209,2585,2968,3402
"NF Lewis",2014,14302,1395,12643,14034,17606
"NF Toutle",2014,7780,2360,4909,7312,13597
"Salmon Creek",2014,5431,1983,2457,5140,10028
"SF Toutle",2014,11841,4559,6260,10869,23597
"Tilton",2014,13833,192,13445,13839,14197
"Upper Cowlitz and Cispus",2014,29454,321,28803,29461,30052
"Washougal",2014,3032,1145,1347,2859,5750
"Coweeman",2015,1570,397,909,1533,2459
"EF Lewis",2015,714,302,283,658,1429
"Elochoman, Skamokawa",2015,633,188,320,617,1053
"Grays, Chinook",2015,677,218,401,631,1211
"Kalama",2015,303,162,104,267,708
"Lower Cowlitz",2015,2842,555,2007,2757,4172
"Lower Gorge",2015,428,135,239,404,752
"Mill, Abernathy, Germany, Coal",2015,710,73,577,707,864
"NF Lewis",2015,4814,273,4443,4768,5466
"NF Toutle",2015,2124,816,1210,1947,4114
"Salmon Creek",2015,1069,380,512,1013,1963
"SF Toutle",2015,3162,1103,1709,2947,5876
"Tilton",2015,2922,106,2699,2929,3113
"Upper Cowlitz and Cispus",2015,1314,46,1221,1315,1399
"Washougal",2015,447,192,185,411,930
"Coweeman",2016,3842,808,2544,3747,5677
"EF Lewis",2016,1952,838,815,1795,3955
"Elochoman, Skamokawa",2016,1363,367,766,1320,2218
"Grays, Chinook",2016,1639,392,1092,1570,2572
"Kalama",2016,256,153,93,217,653
"Lower Cowlitz",2016,5212,1036,3690,5058,7716
"Lower Gorge",2016,853,287,482,802,1536
"Mill, Abernathy, Germany, Coal",2016,1318,106,1120,1313,1539
"NF Lewis",2016,9672,655,8716,9582,11117
"NF Toutle",2016,5146,1099,3543,4985,7668
"Salmon Creek",2016,2427,846,1219,2276,4414
"SF Toutle",2016,3446,1135,1900,3237,6248
"Tilton",2016,6928,246,6402,6939,7382
"Upper Cowlitz and Cispus",2016,9758,252,9241,9768,10220
"Washougal",2016,1300,489,613,1215,2493
"Coweeman",2017,2929,650,1897,2849,4434
"EF Lewis",2017,2679,897,1413,2519,4937
"Elochoman, Skamokawa",2017,1298,327,804,1250,2076
"Grays, Chinook",2017,1358,400,830,1278,2360
"Kalama",2017,209,171,62,166,601
"Lower Cowlitz",2017,3967,1166,2518,3732,6680
"Lower Gorge",2017,682,232,336,645,1236
"Mill, Abernathy, Germany, Coal",2017,941,86,782,938,1120
"NF Lewis",2017,9588,626,8637,9495,11018
"NF Toutle",2017,1358,490,762,1261,2564
"Salmon Creek",2017,2189,837,1135,2015,4303
"SF Toutle",2017,1516,581,596,1451,2825
"Tilton",2017,10443,175,10080,10450,10770
"Upper Cowlitz and Cispus",2017,11638,196,11226,11647,11998
"Washougal",2017,1197,416,602,1129,2207
"Coweeman",2018,4012,1059,2480,3840,6602
"EF Lewis",2018,2134,717,1128,2011,3882
"Elochoman, Skamokawa",2018,1970,487,1231,1902,3086
"Grays, Chinook",2018,1468,444,874,1379,2574
"Kalama",2018,261,129,118,230,585
"Lower Cowlitz",2018,3336,751,2293,3215,5141
"Lower Gorge",2018,802,263,433,756,1422
"Mill, Abernathy, Germany, Coal",2018,1146,108,950,1142,1369
"NF Lewis",2018,10392,1069,8907,10200,12989
"NF Toutle",2018,1435,474,843,1347,2553
"Salmon Creek",2018,2318,883,1229,2130,4574
"SF Toutle",2018,1504,596,602,1426,2887
"Tilton",2018,4469,124,4207,4476,4697
"Upper Cowlitz and Cispus",2018,5999,103,5788,6002,6192
"Washougal",2018,1162,464,549,1072,2328
"Coweeman",2019,5062,1191,3104,4945,7732
"EF Lewis",2019,3010,961,1573,2856,5316
"Elochoman, Skamokawa",2019,2817,642,1823,2730,4361
"Grays, Chinook",2019,2034,703,1175,1876,3747
"Kalama",2019,362,251,121,294,989
"Lower Cowlitz",2019,3733,876,2551,3575,5872
"Lower Gorge",2019,1631,511,975,1530,2857
"Mill, Abernathy, Germany, Coal",2019,2103,164,1798,2098,2438
"NF Lewis",2019,9274,1176,7615,9072,12147
"NF Toutle",2019,2905,695,1981,2784,4587
"Salmon Creek",2019,3274,1161,1650,3067,6142
"SF Toutle",2019,2921,954,1502,2770,5203
"Tilton",2019,7225,185,6836,7234,7564
"Upper Cowlitz and Cispus",2019,9727,167,9374,9732,10034
"Washougal",2019,1383,477,706,1300,2541
"Coweeman",2020,5742,1306,3715,5576,8722
"EF Lewis",2020,3218,1160,1468,3056,5916
"Elochoman, Skamokawa",2020,2480,564,1596,2408,3791
"Grays, Chinook",2020,1935,597,1140,1819,3446
"Kalama",2020,1050,587,433,922,2400
"Lower Cowlitz",2020,5422,1086,3741,5294,7867
"Lower Gorge",2020,1364,477,680,1283,2510
"Mill, Abernathy, Germany, Coal",2020,1746,169,1443,1736,2101
"NF Lewis",2020,14232,1580,12416,13916,18008
"NF Toutle",2020,2723,627,1792,2629,4203
"Salmon Creek",2020,3568,1343,1663,3359,6681
"SF Toutle",2020,3179,1115,1526,3003,5843
"Tilton",2020,13295,269,12725,13307,13789
"Upper Cowlitz and Cispus",2020,21283,230,20813,21289,21711
"Washougal",2020,2302,752,1264,2168,4131
"Coweeman",2021,6474,1602,3989,6255,10272
"EF Lewis",2021,5812,2129,3000,5362,10965
"Elochoman, Skamokawa",2021,3460,833,2179,3350,5410
"Grays, Chinook",2021,3060,815,2003,2899,5044
"Kalama",2021,1284,888,421,1051,3547
"Lower Cowlitz",2021,7864,1787,5352,7565,12002
"Lower Gorge",2021,1584,654,824,1453,3154
"Mill, Abernathy, Germany, Coal",2021,1661,165,1361,1652,2008
"NF Lewis",2021,15116,4836,11747,14060,25212
"NF Toutle",2021,3329,1198,1971,3115,5831
"Salmon Creek",2021,3411,1383,1528,3165,6845
"SF Toutle",2021,3829,1463,1886,3544,7450
