"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,443,208,164,402,949
"Elochoman_Skamokawa",2010,761,274,353,720,1406
"Abernathy",2010,504,50,412,502,611
"Abernathy_Above AFTC",2010,322,186,99,278,757
"Mill",2010,383,254,102,320,1019
"Germany",2010,269,152,83,239,641
"Upper Cowlitz and Cispus",2010,2775,54,2673,2774,2883
"Tilton",2010,898,30,839,898,959
"Lower Cowlitz",2010,3330,1470,1427,3024,7097
"Delameter_Above Weir",2010,251,142,66,225,589
"Lacamas_Above Weir",2010,1884,1827,158,1400,6606
"Olequa_Above Weir",2010,2028,1234,682,1746,5015
"Ostrander_Above Weir",2010,175,128,28,145,496
"Green",2010,855,207,532,826,1314
"Upper NF Toutle",2010,205,14,178,205,233
"NF_MS Toutle",2010,743,600,63,590,2271
"SF Toutle",2010,1837,716,860,1697,3613
"Coweeman",2010,4081,932,2542,3969,6129
"Kalama",2010,11,11,1,8,40
"Lower Lewis",2010,1180,650,407,1027,2874
"Upper NF Lewis",2010,0,0,0,0,0
"Cedar",2010,1447,113,1245,1442,1683
"EF Lewis",2010,1837,755,781,1692,3650
"Salmon Creek",2010,2976,1721,729,2607,7361
"Washougal",2010,681,262,318,638,1312
"Lower Gorge",2010,526,221,251,480,1080
"Duncan_Above Weir",2010,68,14,45,67,100
"Grays_Chinook",2011,89,46,27,80,201
"Elochoman_Skamokawa",2011,702,227,342,671,1236
"Abernathy",2011,257,31,200,255,320
"Abernathy_Above AFTC",2011,202,120,65,178,473
"Mill",2011,197,134,53,164,529
"Germany",2011,163,91,52,146,378
"Upper Cowlitz and Cispus",2011,7610,86,7444,7608,7780
"Tilton",2011,1964,44,1881,1964,2051
"Lower Cowlitz",2011,1869,875,701,1706,4015
"Delameter_Above Weir",2011,189,94,70,169,423
"Lacamas_Above Weir",2011,2268,3831,138,1385,9723
"Olequa_Above Weir",2011,1644,1009,621,1382,4277
"Ostrander_Above Weir",2011,137,106,22,114,372
"Green",2011,405,185,143,371,865
"Upper NF Toutle",2011,64,8,49,63,80
"NF_MS Toutle",2011,599,425,104,503,1725
"SF Toutle",2011,1372,631,508,1256,2903
"Coweeman",2011,4029,896,2614,3906,6052
"Kalama",2011,26,36,1,14,118
"Lower Lewis",2011,716,409,258,625,1729
"Upper NF Lewis",2011,0,0,0,0,0
"Cedar",2011,926,54,829,923,1042
"EF Lewis",2011,2017,745,962,1883,3810
"Salmon Creek",2011,2013,1010,760,1804,4520
"Washougal",2011,662,238,330,619,1257
"Lower Gorge",2011,512,193,254,475,973
"Duncan_Above Weir",2011,60,11,42,59,84
"Grays_Chinook",2012,791,319,310,748,1545
"Elochoman_Skamokawa",2012,584,215,244,556,1070
"Abernathy",2012,280,38,211,278,359
"Abernathy_Above AFTC",2012,196,95,79,179,409
"Mill",2012,155,100,50,138,354
"Germany",2012,152,69,58,139,329
"Upper Cowlitz and Cispus",2012,1604,40,1529,1604,1681
"Tilton",2012,1269,35,1200,1268,1340
"Lower Cowlitz",2012,1293,720,333,1164,3053
"Delameter_Above Weir",2012,165,69,68,155,321
"Lacamas_Above Weir",2012,2713,3934,237,1704,10897
"Olequa_Above Weir",2012,1271,749,412,1089,3205
"Ostrander_Above Weir",2012,119,70,32,103,303
"Green",2012,651,173,373,629,1044
"Upper NF Toutle",2012,137,12,115,137,160
"NF_MS Toutle",2012,757,702,231,633,1936
"SF Toutle",2012,2090,798,1024,1941,3979
"Coweeman",2012,3294,750,2111,3198,5033
"Kalama",2012,37,30,5,30,115
"Lower Lewis",2012,519,293,177,451,1251
"Upper NF Lewis",2012,34,6,23,33,46
"Cedar",2012,1083,122,861,1074,1338
"EF Lewis",2012,2726,963,1443,2545,5200
"Salmon Creek",2012,1523,693,643,1371,3200
"Washougal",2012,511,166,265,484,907
"Lower Gorge",2012,435,162,205,406,821
"Duncan_Above Weir",2012,56,15,32,54,91
"Grays_Chinook",2013,842,250,476,803,1447
