"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,0.093,0.031,0.04,0.089,0.163
"EF Lewis",2010,0.266,0.101,0.099,0.255,0.49
"Elochoman, Skamokawa",2010,0.723,0.069,0.583,0.726,0.844
"Grays, Chinook",2010,0.823,0.051,0.71,0.827,0.911
"Kalama",2010,0.981,0.016,0.94,0.985,0.998
"Lower Cowlitz",2010,0.158,0.089,0.045,0.135,0.387
"Lower Gorge",2010,0.253,0.063,0.141,0.249,0.386
"Mill, Abernathy, Germany, Coal",2010,0.122,0.014,0.096,0.122,0.152
"NF Lewis",2010,0.244,0.043,0.161,0.244,0.334
"NF Toutle",2010,0.555,0.095,0.362,0.559,0.726
"Salmon Creek",2010,0.156,0.184,0.003,0.082,0.683
"SF Toutle",2010,0.205,0.039,0.134,0.203,0.289
"Tilton",2010,0.698,0.016,0.663,0.699,0.725
"Upper Cowlitz and Cispus",2010,0.874,0.003,0.869,0.874,0.879
"Washougal",2010,0.402,0.089,0.237,0.402,0.579
"Coweeman",2011,0.046,0.022,0.014,0.043,0.102
"EF Lewis",2011,0.065,0.045,0.011,0.054,0.184
"Elochoman, Skamokawa",2011,0.564,0.096,0.372,0.565,0.75
"Grays, Chinook",2011,0.952,0.02,0.904,0.955,0.983
"Kalama",2011,0.933,0.079,0.694,0.96,0.996
"Lower Cowlitz",2011,0.14,0.104,0.027,0.11,0.425
"Lower Gorge",2011,0.119,0.076,0.022,0.102,0.307
"Mill, Abernathy, Germany, Coal",2011,0.192,0.024,0.147,0.191,0.24
"NF Lewis",2011,0.227,0.031,0.17,0.226,0.293
"NF Toutle",2011,0.324,0.143,0.093,0.311,0.63
"Salmon Creek",2011,0.087,0.096,0.003,0.052,0.369
"SF Toutle",2011,0.157,0.092,0.032,0.139,0.391
"Tilton",2011,0.689,0.012,0.664,0.69,0.711
"Upper Cowlitz and Cispus",2011,0.607,0.006,0.596,0.607,0.618
"Washougal",2011,0.101,0.065,0.018,0.088,0.264
"Coweeman",2012,0.043,0.032,0.006,0.035,0.126
"EF Lewis",2012,0.071,0.04,0.016,0.063,0.17
"Elochoman, Skamokawa",2012,0.34,0.146,0.097,0.328,0.647
"Grays, Chinook",2012,0.438,0.143,0.17,0.433,0.712
"Kalama",2012,0.875,0.079,0.673,0.892,0.978
"Lower Cowlitz",2012,0.155,0.098,0.032,0.133,0.398
"Lower Gorge",2012,0.166,0.075,0.054,0.155,0.34
"Mill, Abernathy, Germany, Coal",2012,0.023,0.007,0.012,0.023,0.039
"NF Lewis",2012,0.148,0.035,0.093,0.143,0.228
"NF Toutle",2012,0.213,0.084,0.079,0.203,0.405
"Salmon Creek",2012,0.075,0.073,0.004,0.053,0.277
"SF Toutle",2012,0.121,0.064,0.03,0.11,0.272
"Tilton",2012,0.742,0.011,0.718,0.743,0.762
"Upper Cowlitz and Cispus",2012,0.581,0.009,0.562,0.581,0.599
"Washougal",2012,0.121,0.068,0.027,0.107,0.282
"Coweeman",2013,0.126,0.049,0.047,0.119,0.237
"EF Lewis",2013,0.09,0.034,0.035,0.086,0.164
"Elochoman, Skamokawa",2013,0.412,0.096,0.232,0.409,0.611
"Grays, Chinook",2013,0.629,0.059,0.511,0.63,0.738
"Kalama",2013,0.861,0.095,0.615,0.884,0.979
"Lower Cowlitz",2013,0.164,0.047,0.084,0.159,0.267
"Lower Gorge",2013,0.22,0.09,0.077,0.21,0.416
"Mill, Abernathy, Germany, Coal",2013,0.075,0.018,0.045,0.074,0.114
"NF Lewis",2013,0.848,0.024,0.793,0.851,0.883
"NF Toutle",2013,0.184,0.06,0.086,0.177,0.32
"Salmon Creek",2013,0.033,0.037,0.001,0.021,0.142
"SF Toutle",2013,0.144,0.054,0.058,0.138,0.263
"Tilton",2013,0.587,0.016,0.552,0.588,0.614
"Upper Cowlitz and Cispus",2013,0.998,0.001,0.997,0.998,0.999
"Washougal",2013,0.325,0.105,0.143,0.319,0.546
"Coweeman",2014,0.169,0.033,0.109,0.167,0.238
"EF Lewis",2014,0.189,0.065,0.079,0.182,0.337
"Elochoman, Skamokawa",2014,0.344,0.043,0.261,0.344,0.431
"Grays, Chinook",2014,0.36,0.077,0.221,0.356,0.517
"Kalama",2014,0.906,0.026,0.85,0.908,0.952
"Lower Cowlitz",2014,0.049,0.016,0.027,0.046,0.09
"Lower Gorge",2014,0.303,0.09,0.147,0.299,0.495
"Mill, Abernathy, Germany, Coal",2014,0.121,0.009,0.104,0.121,0.139
"NF Lewis",2014,0.65,0.025,0.597,0.652,0.694
"NF Toutle",2014,0.325,0.036,0.259,0.324,0.402
"Salmon Creek",2014,0.021,0.022,0.001,0.014,0.081
"SF Toutle",2014,0.192,0.023,0.149,0.192,0.239
