"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,416,172,168,386,823
"EF Lewis",2010,667,374,189,587,1595
"Elochoman, Skamokawa",2010,1991,537,1162,1919,3268
"Grays, Chinook",2010,2062,753,1039,1918,3951
"Kalama",2010,566,256,237,513,1209
"Lower Cowlitz",2010,1449,1138,360,1155,4345
"Lower Gorge",2010,203,96,80,184,438
"Mill, Abernathy, Germany, Coal",2010,161,47,95,153,271
"NF Lewis",2010,827,168,614,795,1221
"NF Toutle",2010,2241,688,1269,2135,3900
"Salmon Creek",2010,555,836,7,242,2704
"SF Toutle",2010,474,207,195,431,973
"Tilton",2010,2085,143,1779,2093,2348
"Upper Cowlitz and Cispus",2010,19306,284,18711,19313,19844
"Washougal",2010,459,196,193,420,946
"Coweeman",2011,196,106,53,174,458
"EF Lewis",2011,141,116,20,109,447
"Elochoman, Skamokawa",2011,909,273,484,870,1566
"Grays, Chinook",2011,1774,498,1077,1695,2960
"Kalama",2011,357,163,141,324,766
"Lower Cowlitz",2011,1074,1553,141,674,4279
"Lower Gorge",2011,78,63,12,62,238
"Mill, Abernathy, Germany, Coal",2011,146,43,86,139,250
"NF Lewis",2011,477,118,337,451,782
"NF Toutle",2011,527,357,114,442,1413
"Salmon Creek",2011,188,247,5,103,862
"SF Toutle",2011,256,196,38,206,751
"Tilton",2011,4368,229,3900,4377,4781
"Upper Cowlitz and Cispus",2011,11769,253,11239,11782,12236
"Washougal",2011,74,54,11,60,216
"Coweeman",2012,147,116,20,116,470
"EF Lewis",2012,208,143,40,172,568
"Elochoman, Skamokawa",2012,299,155,73,277,661
"Grays, Chinook",2012,619,284,195,576,1276
"Kalama",2012,262,109,117,244,514
"Lower Cowlitz",2012,1048,1397,155,742,3707
"Lower Gorge",2012,98,56,27,86,240
"Mill, Abernathy, Germany, Coal",2012,14,5,6,13,26
"NF Lewis",2012,281,76,179,266,461
"NF Toutle",2012,426,280,125,365,1057
"Salmon Creek",2012,124,143,5,80,504
"SF Toutle",2012,287,189,55,242,762
"Tilton",2012,3657,193,3235,3666,4005
"Upper Cowlitz and Cispus",2012,2225,70,2082,2226,2353
"Washougal",2012,70,47,13,59,190
"Coweeman",2013,575,262,198,529,1213
"EF Lewis",2013,270,145,82,239,635
"Elochoman, Skamokawa",2013,566,184,270,547,977
"Grays, Chinook",2013,1426,368,879,1368,2303
"Kalama",2013,348,146,152,323,681
"Lower Cowlitz",2013,1379,579,646,1261,2745
"Lower Gorge",2013,190,100,58,172,437
"Mill, Abernathy, Germany, Coal",2013,60,15,34,58,93
"NF Lewis",2013,7542,190,7249,7517,7969
"NF Toutle",2013,705,389,264,619,1655
"Salmon Creek",2013,68,86,3,40,305
"SF Toutle",2013,597,319,180,527,1376
"Tilton",2013,3779,246,3249,3790,4217
"Upper Cowlitz and Cispus",2013,5760,283,5172,5774,6284
"Washougal",2013,257,113,94,236,529
"Coweeman",2014,1377,426,731,1310,2363
"EF Lewis",2014,1006,504,334,909,2241
"Elochoman, Skamokawa",2014,1746,451,1060,1676,2826
"Grays, Chinook",2014,1901,543,1026,1826,3113
"Kalama",2014,948,366,442,884,1813
"Lower Cowlitz",2014,1322,489,710,1207,2562
"Lower Gorge",2014,600,286,208,545,1311
"Mill, Abernathy, Germany, Coal",2014,354,36,288,353,428
"NF Lewis",2014,9181,454,8649,9110,10145
"NF Toutle",2014,2746,1050,1510,2546,5297
"Salmon Creek",2014,112,132,5,70,472
"SF Toutle",2014,2687,1081,1282,2472,5461
"Tilton",2014,4935,151,4624,4939,5217
"Upper Cowlitz and Cispus",2014,22563,304,21950,22568,23130
"Washougal",2014,1447,465,739,1384,2534
"Coweeman",2015,317,147,106,291,660
"EF Lewis",2015,186,125,35,156,509
"Elochoman, Skamokawa",2015,260,105,93,245,505
"Grays, Chinook",2015,446,152,196,430,795
"Kalama",2015,161,64,73,151,313
"Lower Cowlitz",2015,251,168,72,203,701
"Lower Gorge",2015,59,41,12,49,168
"Mill, Abernathy, Germany, Coal",2015,48,13,27,47,77
"NF Lewis",2015,3798,117,3617,3784,4060
"NF Toutle",2015,899,355,432,836,1713
"Salmon Creek",2015,47,69,1,23,245
"SF Toutle",2015,1312,551,607,1201,2671
"Tilton",2015,1570,93,1367,1577,1729
"Upper Cowlitz and Cispus",2015,938,43,850,940,1020
"Washougal",2015,268,99,117,253,514
"Coweeman",2016,591,304,162,537,1333
"EF Lewis",2016,929,484,231,854,2058
"Elochoman, Skamokawa",2016,515,228,175,478,1060
"Grays, Chinook",2016,957,282,489,932,1586
"Kalama",2016,234,129,53,214,553
"Lower Cowlitz",2016,515,380,118,405,1518
"Lower Gorge",2016,75,50,15,62,203
"Mill, Abernathy, Germany, Coal",2016,171,23,129,170,219
"NF Lewis",2016,6325,273,5892,6289,6976
"NF Toutle",2016,2639,645,1659,2554,4155
"Salmon Creek",2016,189,257,6,101,886
"SF Toutle",2016,847,417,316,754,1894
"Tilton",2016,4331,233,3847,4349,4750
"Upper Cowlitz and Cispus",2016,8787,263,8248,8799,9270
"Washougal",2016,760,238,408,727,1336
"Coweeman",2017,320,261,35,248,992
"EF Lewis",2017,825,376,305,755,1699
"Elochoman, Skamokawa",2017,318,207,53,274,862
"Grays, Chinook",2017,926,250,504,903,1495
"Kalama",2017,180,108,33,161,453
"Lower Cowlitz",2017,736,494,136,627,1963
"Lower Gorge",2017,133,101,21,108,393
"Mill, Abernathy, Germany, Coal",2017,77,14,53,76,107
"NF Lewis",2017,5261,356,4753,5206,6086
"NF Toutle",2017,508,324,138,439,1315
"Salmon Creek",2017,290,275,26,206,1036
"SF Toutle",2017,190,191,14,130,710
"Tilton",2017,5266,152,4946,5273,5540
"Upper Cowlitz and Cispus",2017,6399,173,6041,6403,6709
"Washougal",2017,704,221,378,671,1219
"Coweeman",2018,789,687,66,579,2622
"EF Lewis",2018,270,166,61,234,694
"Elochoman, Skamokawa",2018,693,319,211,650,1420
"Grays, Chinook",2018,985,264,548,961,1592
"Kalama",2018,211,112,61,190,492
"Lower Cowlitz",2018,367,345,62,250,1292
"Lower Gorge",2018,171,103,46,149,416
"Mill, Abernathy, Germany, Coal",2018,174,29,124,172,236
"NF Lewis",2018,6971,433,6405,6875,8050
"NF Toutle",2018,483,306,117,415,1190
"Salmon Creek",2018,299,208,56,248,832
"SF Toutle",2018,170,192,9,105,689
"Tilton",2018,3189,107,2959,3194,3388
"Upper Cowlitz and Cispus",2018,5829,104,5619,5831,6026
"Washougal",2018,737,249,360,702,1308
"Coweeman",2019,1393,607,463,1312,2803
"EF Lewis",2019,255,199,35,202,781
"Elochoman, Skamokawa",2019,920,399,300,868,1859
"Grays, Chinook",2019,1261,501,374,1233,2351
"Kalama",2019,360,210,74,323,869
"Lower Cowlitz",2019,280,220,73,213,872
"Lower Gorge",2019,383,205,113,340,898
"Mill, Abernathy, Germany, Coal",2019,565,59,457,563,686
"NF Lewis",2019,4847,462,4224,4763,5986
"NF Toutle",2019,665,390,210,582,1615
"Salmon Creek",2019,445,352,66,354,1360
"SF Toutle",2019,288,203,51,238,832
"Tilton",2019,5705,170,5344,5718,6013
