"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,4081,932,2542,3969,6129
"EF Lewis",2010,1837,755,781,1692,3650
"Elochoman, Skamokawa",2010,761,274,353,720,1406
"Grays, Chinook",2010,443,208,164,402,949
"Kalama",2010,11,11,1,8,40
"Lower Cowlitz",2010,7669,2762,3843,7156,14333
"Lower Gorge",2010,595,221,313,549,1142
"Mill, Abernathy, Germany, Coal",2010,1156,308,735,1100,1867
"NF Lewis",2010,2627,665,1810,2485,4327
"NF Toutle",2010,1803,644,986,1666,3435
"Salmon Creek",2010,2976,1721,729,2607,7361
"SF Toutle",2010,1837,716,860,1697,3613
"Tilton",2010,898,30,839,898,959
"Upper Cowlitz and Cispus",2010,2775,54,2673,2774,2883
"Washougal",2010,681,262,318,638,1312
"Coweeman",2011,4029,896,2614,3906,6052
"EF Lewis",2011,2017,745,962,1883,3810
"Elochoman, Skamokawa",2011,702,227,342,671,1236
"Grays, Chinook",2011,89,46,27,80,201
"Kalama",2011,26,36,1,14,118
"Lower Cowlitz",2011,6107,4094,2723,5288,13853
"Lower Gorge",2011,573,193,312,535,1038
"Mill, Abernathy, Germany, Coal",2011,617,168,387,588,1011
"NF Lewis",2011,1642,413,1163,1554,2666
"NF Toutle",2011,1067,468,450,975,2265
"Salmon Creek",2011,2013,1010,760,1804,4520
"SF Toutle",2011,1372,631,508,1256,2903
"Tilton",2011,1964,44,1881,1964,2051
"Upper Cowlitz and Cispus",2011,7610,86,7444,7608,7780
"Washougal",2011,662,238,330,619,1257
"Coweeman",2012,3294,750,2111,3198,5033
"EF Lewis",2012,2726,963,1443,2545,5200
"Elochoman, Skamokawa",2012,584,215,244,556,1070
"Grays, Chinook",2012,791,319,310,748,1545
"Kalama",2012,37,30,5,30,115
"Lower Cowlitz",2012,5560,4094,2212,4674,13755
"Lower Gorge",2012,491,163,259,463,877
"Mill, Abernathy, Germany, Coal",2012,587,136,403,570,864
"NF Lewis",2012,1636,324,1191,1576,2432
