TRT_Population,Recovery Goal,Recovery Designation
Coweeman,1200,Primary
EF Lewis,2000,Primary
"Elochoman, Skamokawa",2400,Primary
"Grays, Chinook",2400,Primary
Kalama,500,Contributing
Lower Cowlitz,3700,Primary
Lower Gorge,1900,Primary
"Mill, Abernathy, Germany, Coal",1800,Contributing
NF Lewis,500,Contributing
NF Toutle,1900,Primary
Salmon Creek,NA,Stabilizing
SF Toutle,1900,Primary
Tilton,NA,Stabilizing
Upper Cowlitz and Cispus,2000,Primary
Washougal,1500,Contributing
WA LCR ESU,23700,NA
