"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,0.09,0.029,0.043,0.087,0.156
"EF Lewis",2010,0.244,0.095,0.084,0.238,0.467
"Elochoman, Skamokawa",2010,0.713,0.056,0.593,0.717,0.817
"Grays, Chinook",2010,0.785,0.051,0.676,0.789,0.871
"Kalama",2010,0.952,0.023,0.896,0.954,0.989
"Lower Cowlitz",2010,0.164,0.11,0.048,0.132,0.494
"Lower Gorge",2010,0.249,0.064,0.145,0.242,0.38
"Mill, Abernathy, Germany, Coal",2010,0.124,0.015,0.098,0.123,0.153
"NF Lewis",2010,0.265,0.042,0.183,0.265,0.339
"NF Toutle",2010,0.563,0.071,0.419,0.559,0.724
"Salmon Creek",2010,0.155,0.185,0.003,0.087,0.692
"SF Toutle",2010,0.206,0.04,0.135,0.204,0.288
"Tilton",2010,0.693,0.016,0.659,0.695,0.721
"Upper Cowlitz and Cispus",2010,0.874,0.002,0.87,0.874,0.879
"Washougal",2010,0.403,0.091,0.235,0.394,0.591
"Coweeman",2011,0.053,0.023,0.016,0.05,0.104
"EF Lewis",2011,0.073,0.049,0.012,0.06,0.205
"Elochoman, Skamokawa",2011,0.583,0.086,0.428,0.583,0.743
"Grays, Chinook",2011,0.923,0.023,0.867,0.927,0.961
"Kalama",2011,0.89,0.078,0.682,0.908,0.976
"Lower Cowlitz",2011,0.13,0.094,0.031,0.105,0.364
"Lower Gorge",2011,0.132,0.072,0.031,0.116,0.311
"Mill, Abernathy, Germany, Coal",2011,0.187,0.021,0.149,0.185,0.229
"NF Lewis",2011,0.232,0.029,0.174,0.232,0.289
"NF Toutle",2011,0.255,0.124,0.075,0.229,0.563
"Salmon Creek",2011,0.091,0.097,0.005,0.059,0.37
"SF Toutle",2011,0.144,0.071,0.043,0.13,0.305
"Tilton",2011,0.689,0.011,0.664,0.69,0.709
"Upper Cowlitz and Cispus",2011,0.608,0.006,0.595,0.607,0.619
"Washougal",2011,0.122,0.066,0.029,0.109,0.288
"Coweeman",2012,0.05,0.033,0.009,0.043,0.131
"EF Lewis",2012,0.077,0.044,0.017,0.071,0.182
"Elochoman, Skamokawa",2012,0.298,0.119,0.091,0.288,0.555
"Grays, Chinook",2012,0.437,0.132,0.187,0.431,0.702
"Kalama",2012,0.841,0.075,0.653,0.855,0.951
"Lower Cowlitz",2012,0.16,0.105,0.035,0.138,0.441
"Lower Gorge",2012,0.166,0.071,0.063,0.157,0.323
"Mill, Abernathy, Germany, Coal",2012,0.026,0.007,0.014,0.026,0.042
"NF Lewis",2012,0.16,0.034,0.108,0.155,0.251
"NF Toutle",2012,0.215,0.088,0.071,0.207,0.438
"Salmon Creek",2012,0.074,0.074,0.004,0.056,0.276
"SF Toutle",2012,0.127,0.063,0.035,0.117,0.269
"Tilton",2012,0.739,0.011,0.716,0.739,0.758
"Upper Cowlitz and Cispus",2012,0.581,0.009,0.564,0.581,0.599
"Washougal",2012,0.141,0.07,0.04,0.127,0.305
"Coweeman",2013,0.13,0.045,0.061,0.126,0.229
"EF Lewis",2013,0.093,0.032,0.04,0.088,0.164
"Elochoman, Skamokawa",2013,0.391,0.084,0.23,0.388,0.553
"Grays, Chinook",2013,0.643,0.055,0.529,0.645,0.746
"Kalama",2013,0.845,0.079,0.645,0.863,0.952
"Lower Cowlitz",2013,0.186,0.053,0.094,0.179,0.301
"Lower Gorge",2013,0.234,0.09,0.089,0.222,0.423
"Mill, Abernathy, Germany, Coal",2013,0.074,0.015,0.048,0.073,0.108
"NF Lewis",2013,0.84,0.023,0.789,0.843,0.875
"NF Toutle",2013,0.208,0.064,0.1,0.201,0.339
"Salmon Creek",2013,0.036,0.037,0.003,0.025,0.125
"SF Toutle",2013,0.144,0.053,0.061,0.136,0.261
"Tilton",2013,0.586,0.015,0.551,0.587,0.613
"Upper Cowlitz and Cispus",2013,0.998,0.001,0.996,0.998,0.999
"Washougal",2013,0.345,0.101,0.162,0.341,0.562
"Coweeman",2014,0.161,0.035,0.096,0.16,0.229
"EF Lewis",2014,0.177,0.058,0.079,0.171,0.296
"Elochoman, Skamokawa",2014,0.355,0.041,0.278,0.354,0.44
"Grays, Chinook",2014,0.42,0.076,0.275,0.415,0.571
"Kalama",2014,0.895,0.027,0.84,0.896,0.945
"Lower Cowlitz",2014,0.049,0.016,0.028,0.046,0.089
"Lower Gorge",2014,0.274,0.085,0.135,0.27,0.455
"Mill, Abernathy, Germany, Coal",2014,0.12,0.008,0.104,0.12,0.135
"NF Lewis",2014,0.646,0.025,0.593,0.647,0.69
"NF Toutle",2014,0.326,0.037,0.255,0.326,0.395
"Salmon Creek",2014,0.025,0.024,0.002,0.017,0.087
"SF Toutle",2014,0.195,0.021,0.153,0.195,0.242
"Tilton",2014,0.354,0.007,0.341,0.354,0.367
"Upper Cowlitz and Cispus",2014,0.767,0.003,0.761,0.767,0.773
"Washougal",2014,0.677,0.056,0.569,0.679,0.785
"Coweeman",2015,0.197,0.079,0.077,0.187,0.372
"EF Lewis",2015,0.197,0.103,0.053,0.179,0.435
"Elochoman, Skamokawa",2015,0.368,0.108,0.175,0.359,0.599
"Grays, Chinook",2015,0.473,0.132,0.224,0.479,0.726
"Kalama",2015,0.875,0.041,0.791,0.878,0.944
"Lower Cowlitz",2015,0.091,0.059,0.029,0.072,0.242
"Lower Gorge",2015,0.143,0.088,0.025,0.126,0.343
"Mill, Abernathy, Germany, Coal",2015,0.073,0.016,0.048,0.072,0.107
"NF Lewis",2015,0.78,0.027,0.723,0.781,0.824
"NF Toutle",2015,0.55,0.101,0.351,0.554,0.741
"Salmon Creek",2015,0.045,0.05,0.002,0.027,0.171
"SF Toutle",2015,0.493,0.073,0.352,0.492,0.625
"Tilton",2015,0.528,0.017,0.491,0.53,0.556
"Upper Cowlitz and Cispus",2015,0.711,0.015,0.68,0.711,0.738
"Washougal",2015,0.613,0.109,0.38,0.615,0.797
"Coweeman",2016,0.175,0.081,0.055,0.163,0.356
"EF Lewis",2016,0.355,0.141,0.117,0.341,0.639
"Elochoman, Skamokawa",2016,0.356,0.104,0.171,0.355,0.557
"Grays, Chinook",2016,0.573,0.105,0.368,0.581,0.761
"Kalama",2016,0.633,0.164,0.24,0.66,0.894
"Lower Cowlitz",2016,0.101,0.063,0.028,0.084,0.269
"Lower Gorge",2016,0.085,0.048,0.018,0.078,0.206
"Mill, Abernathy, Germany, Coal",2016,0.13,0.013,0.105,0.13,0.157
"NF Lewis",2016,0.627,0.031,0.558,0.629,0.678
"NF Toutle",2016,0.619,0.053,0.513,0.621,0.725
"Salmon Creek",2016,0.07,0.069,0.005,0.047,0.235
"SF Toutle",2016,0.236,0.066,0.125,0.231,0.376
"Tilton",2016,0.619,0.013,0.594,0.62,0.643
"Upper Cowlitz and Cispus",2016,0.906,0.003,0.9,0.906,0.913
"Washougal",2016,0.717,0.074,0.559,0.72,0.843
"Coweeman",2017,0.137,0.084,0.025,0.122,0.329
"EF Lewis",2017,0.372,0.104,0.193,0.366,0.588
"Elochoman, Skamokawa",2017,0.268,0.134,0.06,0.248,0.546
"Grays, Chinook",2017,0.662,0.103,0.437,0.669,0.834
"Kalama",2017,0.59,0.202,0.17,0.614,0.896
"Lower Cowlitz",2017,0.238,0.124,0.051,0.226,0.504
"Lower Gorge",2017,0.164,0.09,0.033,0.146,0.398
"Mill, Abernathy, Germany, Coal",2017,0.083,0.012,0.059,0.083,0.107
"NF Lewis",2017,0.528,0.025,0.472,0.532,0.573
"NF Toutle",2017,0.275,0.113,0.099,0.263,0.526
"Salmon Creek",2017,0.12,0.098,0.014,0.09,0.369
"SF Toutle",2017,0.115,0.085,0.017,0.097,0.351
"Tilton",2017,0.5,0.008,0.484,0.5,0.513
"Upper Cowlitz and Cispus",2017,0.553,0.007,0.539,0.552,0.566
"Washougal",2017,0.747,0.054,0.633,0.749,0.845
"Coweeman",2018,0.29,0.17,0.038,0.269,0.655
"EF Lewis",2018,0.137,0.061,0.041,0.132,0.265
"Elochoman, Skamokawa",2018,0.413,0.127,0.185,0.412,0.648
"Grays, Chinook",2018,0.686,0.104,0.453,0.689,0.86
"Kalama",2018,0.651,0.155,0.313,0.671,0.901
"Lower Cowlitz",2018,0.106,0.069,0.029,0.086,0.285
"Lower Gorge",2018,0.203,0.09,0.071,0.19,0.414
"Mill, Abernathy, Germany, Coal",2018,0.156,0.026,0.114,0.155,0.21
"NF Lewis",2018,0.704,0.042,0.618,0.707,0.777
"NF Toutle",2018,0.277,0.118,0.077,0.263,0.53
"Salmon Creek",2018,0.119,0.067,0.024,0.106,0.28
"SF Toutle",2018,0.103,0.085,0.014,0.076,0.337
"Tilton",2018,0.7,0.01,0.677,0.701,0.719
"Upper Cowlitz and Cispus",2018,0.971,0.002,0.967,0.971,0.975
"Washougal",2018,0.695,0.102,0.488,0.704,0.875
"Coweeman",2019,0.264,0.093,0.11,0.255,0.457
"EF Lewis",2019,0.095,0.058,0.022,0.082,0.231
"Elochoman, Skamokawa",2019,0.36,0.115,0.166,0.352,0.595
"Grays, Chinook",2019,0.569,0.146,0.251,0.586,0.81
"Kalama",2019,0.511,0.182,0.192,0.509,0.853
"Lower Cowlitz",2019,0.079,0.044,0.026,0.068,0.186
"Lower Gorge",2019,0.27,0.104,0.093,0.262,0.485
"Mill, Abernathy, Germany, Coal",2019,0.267,0.021,0.23,0.266,0.309
"NF Lewis",2019,0.547,0.045,0.447,0.55,0.631
"NF Toutle",2019,0.219,0.084,0.087,0.211,0.403
