"","2.5%","25%","50%","75%","97.5%","mean","sd"
"Delameter_Above Weir",0,0,0,0,0,0,0
"Lacamas_Above Weir",0.37452753474627,0.470000409102522,0.519533279047494,0.5666818318751,0.656773229981514,0.51831094499838,0.0730531970755013
"Olequa_Above Weir",0.025249074929526,0.035703335555553,0.0442645948474709,0.0534013333035506,0.0736155772371106,0.0457194635472605,0.0131734090222247
"Ostrander_Above Weir",0,0,0,0,0,0,0
