"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,4269,1073,2581,4112,6709
"EF Lewis",2010,1659,624,761,1525,3095
"Elochoman, Skamokawa",2010,1015,340,554,946,1889
"Grays, Chinook",2010,507,192,218,467,942
"Kalama",2010,75,48,21,64,185
"Lower Cowlitz",2010,6060,2046,3392,5518,10552
"Lower Gorge",2010,640,229,337,598,1215
"Mill, Abernathy, Germany, Coal",2010,1148,283,753,1100,1904
"NF Lewis",2010,2352,636,1662,2192,3901
"NF Toutle",2010,1892,521,1189,1802,3306
"Salmon Creek",2010,1731,1248,507,1437,5061
"SF Toutle",2010,1880,687,920,1744,3557
"Tilton",2010,897,30,845,896,961
"Upper Cowlitz and Cispus",2010,2774,51,2669,2771,2877
"Washougal",2010,664,229,343,619,1280
"Coweeman",2011,3826,935,2437,3655,5919
"EF Lewis",2011,1661,666,742,1546,3384
"Elochoman, Skamokawa",2011,713,212,402,683,1172
"Grays, Chinook",2011,332,126,138,318,608
"Kalama",2011,45,25,14,40,104
"Lower Cowlitz",2011,4890,2291,2612,4214,10932
"Lower Gorge",2011,513,163,290,485,905
"Mill, Abernathy, Germany, Coal",2011,700,201,440,663,1228
"NF Lewis",2011,1504,383,1090,1423,2273
"NF Toutle",2011,1089,348,598,1036,1814
"Salmon Creek",2011,1095,612,422,955,2944
"SF Toutle",2011,1336,512,539,1259,2570
"Tilton",2011,1964,41,1888,1964,2050
"Upper Cowlitz and Cispus",2011,7610,89,7436,7613,7777
"Washougal",2011,445,157,243,415,825
"Coweeman",2012,3636,804,2269,3545,5730
"EF Lewis",2012,3053,1088,1628,2797,5848
"Elochoman, Skamokawa",2012,586,180,284,571,937
"Grays, Chinook",2012,472,156,208,466,801
"Kalama",2012,47,25,16,42,104
"Lower Cowlitz",2012,6416,4727,2740,5083,20492
"Lower Gorge",2012,578,166,322,557,981
"Mill, Abernathy, Germany, Coal",2012,775,224,484,731,1360
"NF Lewis",2012,1613,314,1195,1571,2411
"NF Toutle",2012,1591,484,1022,1485,2681
"Salmon Creek",2012,1106,552,430,1020,2587
"SF Toutle",2012,2152,676,1185,2036,3697
"Tilton",2012,1268,35,1195,1268,1338
"Upper Cowlitz and Cispus",2012,1599,41,1521,1596,1676
"Washougal",2012,422,119,232,410,709
"Coweeman",2013,4152,872,2885,4061,6145
"EF Lewis",2013,2625,895,1434,2489,4618
"Elochoman, Skamokawa",2013,892,232,509,863,1390
"Grays, Chinook",2013,856,218,553,831,1382
"Kalama",2013,55,25,19,50,118
"Lower Cowlitz",2013,8479,8972,4137,7043,21598
"Lower Gorge",2013,733,208,419,705,1239
"Mill, Abernathy, Germany, Coal",2013,998,300,683,916,1998
"NF Lewis",2013,1455,283,1068,1406,2092
"NF Toutle",2013,2613,592,1857,2530,4171
"Salmon Creek",2013,1353,665,613,1206,3231
"SF Toutle",2013,3348,1222,1830,3170,6057
"Tilton",2013,2650,52,2546,2649,2755
"Upper Cowlitz and Cispus",2013,13,3,8,13,19
"Washougal",2013,468,140,262,448,849
"Coweeman",2014,7955,1859,4706,7932,12213
