"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,1917,802,879,1746,4132
"Elochoman_Skamokawa",2010,2567,877,1364,2439,4684
"Abernathy",2010,74,16,46,72,108
"Abernathy_Above AFTC",2010,38,22,15,34,87
"Mill",2010,37,26,9,31,107
"Germany",2010,28,18,9,24,81
"Coal",2010,23,22,4,18,65
"Upper Cowlitz and Cispus",2010,19287,283,18725,19293,19792
"Tilton",2010,2031,147,1719,2037,2295
"Lower Cowlitz",2010,333,325,41,241,1135
"Delameter_Above Weir",2010,22,45,0,6,124
"Lacamas_Above Weir",2010,678,1380,5,151,4937
"Olequa_Above Weir",2010,223,216,26,154,811
"Ostrander_Above Weir",2010,81,117,2,35,453
"Green",2010,1970,424,1309,1910,3044
"Upper NF Toutle",2010,0,0,0,0,2
"NF_MS Toutle",2010,555,996,14,219,3364
"SF Toutle",2010,486,198,202,449,934
"Coweeman",2010,421,168,166,392,807
"Kalama",2010,1872,1697,447,1379,5323
"Lower Lewis",2010,139,180,7,73,730
"Upper NF Lewis",2010,0,0,0,0,0
"Cedar",2010,694,70,559,691,838
"EF Lewis",2010,558,343,127,477,1420
"Salmon Creek",2010,699,3322,4,121,3124
"Washougal",2010,468,234,167,422,1108
"Lower Gorge",2010,219,120,77,187,502
"Duncan_Above Weir",2010,2,2,0,1,8
"Grays_Chinook",2011,4231,1943,1688,3855,8987
"Elochoman_Skamokawa",2011,1024,358,506,963,1840
"Abernathy",2011,60,15,37,59,91
"Abernathy_Above AFTC",2011,43,18,14,40,84
"Mill",2011,37,23,10,33,94
"Germany",2011,33,23,9,27,90
"Coal",2011,32,35,4,22,122
"Upper Cowlitz and Cispus",2011,11785,265,11223,11784,12258
"Tilton",2011,4360,217,3921,4357,4792
"Lower Cowlitz",2011,259,270,18,177,1012
"Delameter_Above Weir",2011,8,14,0,4,46
"Lacamas_Above Weir",2011,511,2620,4,123,2520
"Olequa_Above Weir",2011,77,119,5,47,298
"Ostrander_Above Weir",2011,27,46,1,11,140
"Green",2011,108,68,24,95,274
"Upper NF Toutle",2011,0,0,0,0,0
"NF_MS Toutle",2011,316,362,22,186,1385
"SF Toutle",2011,236,186,45,188,707
"Coweeman",2011,211,103,66,193,423
"Kalama",2011,551,603,86,393,1731
"Lower Lewis",2011,145,98,33,118,385
"Upper NF Lewis",2011,0,0,0,0,0
"Cedar",2011,307,23,261,306,357
"EF Lewis",2011,134,118,17,101,454
"Salmon Creek",2011,122,188,3,60,623
"Washougal",2011,63,43,13,50,186
"Lower Gorge",2011,77,54,14,64,231
"Duncan_Above Weir",2011,2,2,0,2,6
"Grays_Chinook",2012,391,217,108,342,908
"Elochoman_Skamokawa",2012,255,143,63,228,607
"Abernathy",2012,8,4,3,7,17
"Abernathy_Above AFTC",2012,6,3,2,5,13
"Mill",2012,4,3,1,4,11
"Germany",2012,4,3,1,3,12
"Coal",2012,4,5,0,2,17
"Upper Cowlitz and Cispus",2012,2216,64,2098,2217,2332
"Tilton",2012,3595,192,3182,3598,3942
"Lower Cowlitz",2012,768,1026,50,459,3179
"Delameter_Above Weir",2012,6,13,0,3,31
"Lacamas_Above Weir",2012,456,1298,11,155,2051
"Olequa_Above Weir",2012,42,64,2,22,226
"Ostrander_Above Weir",2012,13,23,0,5,66
"Green",2012,152,87,38,135,369
"Upper NF Toutle",2012,0,0,0,0,0
"NF_MS Toutle",2012,306,303,44,230,1101
"SF Toutle",2012,321,204,78,274,771
"Coweeman",2012,192,143,30,160,551
"Kalama",2012,287,185,91,238,767
"Lower Lewis",2012,64,56,10,47,203
"Upper NF Lewis",2012,133,11,114,132,158
"Cedar",2012,109,58,34,96,256
"EF Lewis",2012,259,193,50,210,745
"Salmon Creek",2012,95,122,4,56,513
"Washougal",2012,71,46,16,58,195
"Lower Gorge",2012,106,68,29,89,276
"Duncan_Above Weir",2012,10,7,2,9,29
"Grays_Chinook",2013,1574,464,879,1505,2703
"Elochoman_Skamokawa",2013,583,219,281,548,1043
"Abernathy",2013,35,14,14,33,68
"Abernathy_Above AFTC",2013,22,9,9,21,42
"Mill",2013,12,5,5,11,23
"Germany",2013,14,6,6,14,28
"Coal",2013,18,24,1,10,74
"Upper Cowlitz and Cispus",2013,5788,292,5190,5827,6288
"Tilton",2013,3756,236,3240,3765,4195
"Lower Cowlitz",2013,1365,582,589,1248,2752
"Delameter_Above Weir",2013,5,5,0,3,20
"Lacamas_Above Weir",2013,431,1532,51,234,1317
"Olequa_Above Weir",2013,20,16,3,15,62
"Ostrander_Above Weir",2013,4,4,0,3,15
"Green",2013,213,100,60,193,459
"Upper NF Toutle",2013,0,0,0,0,1
"NF_MS Toutle",2013,497,339,117,425,1350
"SF Toutle",2013,566,287,169,512,1235
"Coweeman",2013,625,282,252,560,1351
"Kalama",2013,353,214,114,308,895
"Lower Lewis",2013,297,218,58,235,861
"Upper NF Lewis",2013,6925,83,6768,6921,7090
"Cedar",2013,346,66,233,340,470
"EF Lewis",2013,269,143,94,237,574
"Salmon Creek",2013,51,68,3,31,200
"Washougal",2013,258,132,83,222,586
"Lower Gorge",2013,230,130,63,200,554
"Duncan_Above Weir",2013,2,2,0,1,6
"Grays_Chinook",2014,2034,509,1184,1950,3183
"Elochoman_Skamokawa",2014,2079,540,1267,2026,3373
"Abernathy",2014,144,24,102,142,196
"Abernathy_Above AFTC",2014,122,19,89,121,158
"Mill",2014,151,24,111,148,203
"Germany",2014,81,13,57,80,110
"Coal",2014,102,182,7,60,487
"Upper Cowlitz and Cispus",2014,22571,294,21987,22586,23140
"Tilton",2014,4882,154,4582,4881,5189
"Lower Cowlitz",2014,639,458,102,517,1848
"Delameter_Above Weir",2014,16,6,8,15,32
"Lacamas_Above Weir",2014,404,100,236,397,615
"Olequa_Above Weir",2014,246,61,142,239,373
"Ostrander_Above Weir",2014,31,9,17,30,53
"Green",2014,1204,285,730,1189,1838
"Upper NF Toutle",2014,0,0,0,0,0
"NF_MS Toutle",2014,1559,863,548,1354,3334
"SF Toutle",2014,2646,1153,1404,2429,5641
"Coweeman",2014,1544,546,763,1446,2913
"Kalama",2014,1414,683,513,1283,3010
"Lower Lewis",2014,833,466,244,738,1849
"Upper NF Lewis",2014,8310,90,8138,8309,8479
"Cedar",2014,186,94,56,168,424
"EF Lewis",2014,936,492,267,830,2185
"Salmon Creek",2014,100,119,5,60,425
"Washougal",2014,2133,839,916,2025,4523
"Lower Gorge",2014,759,412,217,667,1720
"Duncan_Above Weir",2014,2,2,1,2,6
"Grays_Chinook",2015,325,157,107,302,701
"Elochoman_Skamokawa",2015,235,115,82,211,553
