"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,0.09,0.031,0.04,0.088,0.159
"EF Lewis",2010,0.243,0.093,0.088,0.235,0.445
"Elochoman, Skamokawa",2010,0.712,0.063,0.579,0.715,0.827
"Grays, Chinook",2010,0.788,0.051,0.68,0.79,0.879
"Kalama",2010,0.953,0.025,0.89,0.957,0.989
"Lower Cowlitz",2010,0.181,0.138,0.048,0.141,0.602
"Lower Gorge",2010,0.246,0.063,0.134,0.242,0.379
"Mill, Abernathy, Germany, Coal",2010,0.124,0.013,0.099,0.123,0.151
"NF Lewis",2010,0.266,0.036,0.192,0.267,0.339
"NF Toutle",2010,0.561,0.067,0.433,0.56,0.707
"Salmon Creek",2010,0.136,0.157,0.003,0.074,0.599
"SF Toutle",2010,0.205,0.039,0.133,0.203,0.286
"Tilton",2010,0.694,0.016,0.658,0.694,0.722
"Upper Cowlitz and Cispus",2010,0.874,0.003,0.869,0.874,0.879
"Washougal",2010,0.406,0.089,0.237,0.404,0.584
"Coweeman",2011,0.051,0.023,0.017,0.048,0.105
"EF Lewis",2011,0.071,0.045,0.013,0.061,0.181
"Elochoman, Skamokawa",2011,0.586,0.09,0.405,0.59,0.754
"Grays, Chinook",2011,0.927,0.023,0.874,0.93,0.965
"Kalama",2011,0.879,0.084,0.664,0.9,0.977
"Lower Cowlitz",2011,0.146,0.118,0.031,0.113,0.493
"Lower Gorge",2011,0.136,0.081,0.03,0.118,0.336
"Mill, Abernathy, Germany, Coal",2011,0.187,0.02,0.149,0.186,0.229
"NF Lewis",2011,0.232,0.028,0.179,0.232,0.291
"NF Toutle",2011,0.249,0.118,0.081,0.229,0.54
"Salmon Creek",2011,0.083,0.089,0.003,0.053,0.335
"SF Toutle",2011,0.142,0.079,0.031,0.125,0.337
"Tilton",2011,0.689,0.012,0.664,0.69,0.71
"Upper Cowlitz and Cispus",2011,0.607,0.006,0.596,0.608,0.617
"Washougal",2011,0.124,0.071,0.026,0.11,0.298
"Coweeman",2012,0.047,0.032,0.009,0.039,0.131
"EF Lewis",2012,0.08,0.043,0.02,0.071,0.185
"Elochoman, Skamokawa",2012,0.292,0.115,0.101,0.282,0.547
"Grays, Chinook",2012,0.432,0.123,0.203,0.428,0.674
"Kalama",2012,0.836,0.074,0.66,0.846,0.949
"Lower Cowlitz",2012,0.168,0.112,0.035,0.138,0.454
"Lower Gorge",2012,0.163,0.072,0.057,0.152,0.329
"Mill, Abernathy, Germany, Coal",2012,0.026,0.006,0.015,0.025,0.04
"NF Lewis",2012,0.161,0.036,0.102,0.156,0.241
"NF Toutle",2012,0.211,0.083,0.078,0.201,0.401
"Salmon Creek",2012,0.07,0.065,0.005,0.05,0.256
"SF Toutle",2012,0.126,0.063,0.034,0.115,0.282
"Tilton",2012,0.739,0.012,0.714,0.74,0.759
"Upper Cowlitz and Cispus",2012,0.58,0.009,0.562,0.581,0.598
"Washougal",2012,0.136,0.071,0.034,0.124,0.306
"Coweeman",2013,0.131,0.049,0.051,0.126,0.242
"EF Lewis",2013,0.093,0.035,0.038,0.089,0.169
"Elochoman, Skamokawa",2013,0.391,0.092,0.222,0.389,0.574
"Grays, Chinook",2013,0.644,0.057,0.529,0.646,0.746
"Kalama",2013,0.854,0.075,0.674,0.868,0.957
"Lower Cowlitz",2013,0.198,0.051,0.111,0.193,0.31
"Lower Gorge",2013,0.233,0.093,0.081,0.223,0.44
"Mill, Abernathy, Germany, Coal",2013,0.074,0.016,0.047,0.073,0.108
"NF Lewis",2013,0.843,0.022,0.794,0.845,0.877
"NF Toutle",2013,0.207,0.063,0.102,0.201,0.348
"Salmon Creek",2013,0.036,0.037,0.002,0.023,0.144
"SF Toutle",2013,0.147,0.052,0.063,0.142,0.264
"Tilton",2013,0.585,0.015,0.551,0.586,0.611
"Upper Cowlitz and Cispus",2013,0.998,0.001,0.996,0.998,0.999
"Washougal",2013,0.349,0.1,0.169,0.345,0.557
"Coweeman",2014,0.161,0.031,0.104,0.159,0.228
"EF Lewis",2014,0.18,0.061,0.08,0.174,0.312
"Elochoman, Skamokawa",2014,0.357,0.043,0.275,0.357,0.442
"Grays, Chinook",2014,0.408,0.08,0.254,0.408,0.567
"Kalama",2014,0.895,0.027,0.837,0.897,0.941
"Lower Cowlitz",2014,0.05,0.017,0.028,0.046,0.094
"Lower Gorge",2014,0.269,0.081,0.128,0.263,0.445
"Mill, Abernathy, Germany, Coal",2014,0.12,0.008,0.105,0.12,0.137
"NF Lewis",2014,0.652,0.025,0.601,0.654,0.696
"NF Toutle",2014,0.326,0.036,0.259,0.324,0.4
"Salmon Creek",2014,0.025,0.024,0.002,0.017,0.09
"SF Toutle",2014,0.193,0.023,0.152,0.192,0.24
"Tilton",2014,0.354,0.007,0.339,0.354,0.367
"Upper Cowlitz and Cispus",2014,0.767,0.003,0.761,0.767,0.773
"Washougal",2014,0.682,0.054,0.572,0.685,0.783
"Coweeman",2015,0.197,0.075,0.073,0.189,0.359
"EF Lewis",2015,0.207,0.105,0.053,0.19,0.449
"Elochoman, Skamokawa",2015,0.371,0.106,0.181,0.367,0.593
"Grays, Chinook",2015,0.468,0.116,0.245,0.468,0.69
"Kalama",2015,0.876,0.041,0.787,0.881,0.944
"Lower Cowlitz",2015,0.092,0.059,0.027,0.075,0.251
"Lower Gorge",2015,0.144,0.079,0.034,0.128,0.327
"Mill, Abernathy, Germany, Coal",2015,0.073,0.016,0.047,0.072,0.107
