"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,4121,852,2761,4031,6116
"EF Lewis",2010,1469,510,733,1385,2684
"Elochoman, Skamokawa",2010,992,315,517,942,1742
"Grays, Chinook",2010,495,198,205,463,947
"Kalama",2010,82,56,20,68,226
"Lower Cowlitz",2010,5845,1928,3132,5473,10464
"Lower Gorge",2010,617,206,336,575,1127
"Mill, Abernathy, Germany, Coal",2010,1144,295,742,1089,1860
"NF Lewis",2010,2258,449,1678,2160,3412
"NF Toutle",2010,1813,461,1176,1737,2895
"Salmon Creek",2010,1449,848,487,1258,3581
"SF Toutle",2010,1947,705,914,1822,3678
"Tilton",2010,897,29,841,897,955
"Upper Cowlitz and Cispus",2010,2775,52,2674,2775,2876
"Washougal",2010,730,290,349,669,1461
"Coweeman",2011,3845,788,2601,3738,5685
"EF Lewis",2011,1435,473,745,1365,2515
"Elochoman, Skamokawa",2011,717,227,388,683,1265
"Grays, Chinook",2011,337,134,137,315,644
"Kalama",2011,46,32,11,39,113
"Lower Cowlitz",2011,4705,2179,2339,4216,10140
"Lower Gorge",2011,503,149,291,477,871
"Mill, Abernathy, Germany, Coal",2011,705,263,423,656,1231
"NF Lewis",2011,1469,305,1112,1402,2226
"NF Toutle",2011,1046,324,572,997,1816
"Salmon Creek",2011,924,472,393,826,1973
"SF Toutle",2011,1347,508,588,1287,2540
"Tilton",2011,1962,44,1876,1963,2046
"Upper Cowlitz and Cispus",2011,7613,87,7445,7610,7786
"Washougal",2011,487,188,240,446,955
"Coweeman",2012,3762,791,2480,3659,5575
"EF Lewis",2012,3519,1141,1903,3327,6263
"Elochoman, Skamokawa",2012,579,179,285,555,985
"Grays, Chinook",2012,480,157,229,460,846
"Kalama",2012,44,23,14,40,99
"Lower Cowlitz",2012,5754,3886,2554,4979,13082
"Lower Gorge",2012,561,177,301,534,989
"Mill, Abernathy, Germany, Coal",2012,776,334,482,722,1389
"NF Lewis",2012,1565,298,1166,1514,2287
"NF Toutle",2012,1527,349,1011,1478,2350
"Salmon Creek",2012,953,379,443,884,1891
"SF Toutle",2012,2208,713,1206,2082,3922
"Tilton",2012,1270,36,1200,1269,1341
"Upper Cowlitz and Cispus",2012,1601,40,1522,1600,1680
"Washougal",2012,447,145,238,422,786
"Coweeman",2013,4162,780,2922,4068,6018
"EF Lewis",2013,3026,975,1658,2863,5398
"Elochoman, Skamokawa",2013,898,239,511,874,1439
"Grays, Chinook",2013,872,237,534,833,1444
"Kalama",2013,54,27,18,49,116
"Lower Cowlitz",2013,6852,2385,4109,6343,13163
"Lower Gorge",2013,737,215,438,701,1252
"Mill, Abernathy, Germany, Coal",2013,1006,685,704,919,1698
"NF Lewis",2013,1415,317,1045,1374,2034
"NF Toutle",2013,2621,538,1856,2536,3920
"Salmon Creek",2013,1221,452,586,1145,2282
"SF Toutle",2013,3230,1035,1793,3033,5772
"Tilton",2013,2652,52,2549,2652,2757
"Upper Cowlitz and Cispus",2013,13,3,7,13,20
"Washougal",2013,492,162,266,464,885
"Coweeman",2014,7989,1776,4949,7871,11930
"EF Lewis",2014,4917,1673,2469,4646,8962
"Elochoman, Skamokawa",2014,3814,920,2463,3684,6010
"Grays, Chinook",2014,2809,578,1883,2746,4114
"Kalama",2014,140,67,49,128,305
"Lower Cowlitz",2014,25573,2246,21677,25388,30503
"Lower Gorge",2014,1845,638,779,1786,3293
"Mill, Abernathy, Germany, Coal",2014,3427,1813,2614,3201,5421
"NF Lewis",2014,4926,697,3850,4835,6557
"NF Toutle",2014,5584,1318,3691,5359,8669
"Salmon Creek",2014,3306,1265,1403,3104,6340
"SF Toutle",2014,10541,3568,5797,9817,19613
"Tilton",2014,8914,95,8737,8912,9103
"Upper Cowlitz and Cispus",2014,6847,81,6690,6846,7006
"Washougal",2014,926,339,409,883,1691
"Coweeman",2015,1395,336,824,1366,2139
"EF Lewis",2015,589,241,235,551,1176
"Elochoman, Skamokawa",2015,388,132,174,374,682
"Grays, Chinook",2015,337,94,178,330,548
"Kalama",2015,28,13,9,26,59
"Lower Cowlitz",2015,2692,516,1888,2619,3867
"Lower Gorge",2015,400,131,214,377,736
"Mill, Abernathy, Germany, Coal",2015,820,190,617,790,1181
"NF Lewis",2015,1042,168,778,1020,1424
"NF Toutle",2015,945,239,604,911,1509
"Salmon Creek",2015,690,262,320,643,1336
"SF Toutle",2015,1783,611,956,1660,3320
"Tilton",2015,1360,37,1288,1359,1432
"Upper Cowlitz and Cispus",2015,374,19,337,374,413
"Washougal",2015,154,57,62,147,282
"Coweeman",2016,3394,680,2274,3312,4897
"EF Lewis",2016,1320,543,512,1238,2602
"Elochoman, Skamokawa",2016,881,265,434,862,1464
"Grays, Chinook",2016,676,181,365,658,1070
"Kalama",2016,70,33,23,64,151
"Lower Cowlitz",2016,4764,875,3414,4652,6823
"Lower Gorge",2016,831,270,460,780,1494
"Mill, Abernathy, Germany, Coal",2016,1419,312,1120,1367,1997
"NF Lewis",2016,3586,531,2768,3524,4789
"NF Toutle",2016,1978,337,1445,1937,2772
"Salmon Creek",2016,1523,557,768,1426,2829
"SF Toutle",2016,2918,992,1551,2732,5329
"Tilton",2016,2626,51,2526,2625,2725
"Upper Cowlitz and Cispus",2016,912,30,855,912,970
"Washougal",2016,327,108,157,314,572
"Coweeman",2017,2739,627,1723,2661,4125
"EF Lewis",2017,1655,520,881,1577,2879
"Elochoman, Skamokawa",2017,1080,317,588,1036,1818
"Grays, Chinook",2017,458,142,215,446,774
"Kalama",2017,64,34,19,58,145
"Lower Cowlitz",2017,3083,708,2087,2961,4744
"Lower Gorge",2017,582,191,283,554,1031
"Mill, Abernathy, Germany, Coal",2017,1048,167,839,1029,1346
"NF Lewis",2017,4540,511,3769,4471,5748
"NF Toutle",2017,998,240,619,972,1549
"Salmon Creek",2017,1433,581,724,1300,2924
"SF Toutle",2017,1337,489,556,1281,2430
"Tilton",2017,5192,73,5053,5192,5333
"Upper Cowlitz and Cispus",2017,5198,72,5058,5196,5340
"Washougal",2017,289,99,142,277,509
"Coweeman",2018,2896,739,1694,2817,4527
"EF Lewis",2018,1702,483,993,1641,2885
"Elochoman, Skamokawa",2018,1314,394,695,1259,2255
"Grays, Chinook",2018,467,155,204,454,800
"Kalama",2018,84,42,30,76,188
"Lower Cowlitz",2018,2959,539,2130,2892,4228
"Lower Gorge",2018,658,224,355,617,1194
"Mill, Abernathy, Germany, Coal",2018,1147,104,957,1143,1362
"NF Lewis",2018,3181,802,2064,3011,5107
"NF Toutle",2018,1028,231,642,1002,1546
"Salmon Creek",2018,1438,521,755,1327,2743
"SF Toutle",2018,1253,441,560,1199,2257
"Tilton",2018,1319,37,1249,1318,1391
"Upper Cowlitz and Cispus",2018,173,13,148,172,199
"Washougal",2018,312,107,153,298,570
"Coweeman",2019,3640,812,2280,3566,5457
"EF Lewis",2019,2354,664,1354,2253,3907
"Elochoman, Skamokawa",2019,1978,530,1135,1909,3233
"Grays, Chinook",2019,810,265,368,786,1406
"Kalama",2019,144,76,46,129,330
"Lower Cowlitz",2019,3445,783,2388,3306,5386
"Lower Gorge",2019,1249,395,744,1174,2198
"Mill, Abernathy, Germany, Coal",2019,1780,140,1519,1773,2074
"NF Lewis",2019,4075,833,2869,3930,6039
"NF Toutle",2019,2220,359,1650,2170,3058
"Salmon Creek",2019,1817,639,953,1702,3430
"SF Toutle",2019,2448,751,1351,2334,4237
"Tilton",2019,1557,39,1482,1558,1635
"Upper Cowlitz and Cispus",2019,3561,61,3445,3560,3683
"Washougal",2019,590,195,303,559,1048
"Coweeman",2020,4697,944,3161,4593,6837
"EF Lewis",2020,2300,700,1229,2194,3905
"Elochoman, Skamokawa",2020,2076,540,1251,2000,3334
"Grays, Chinook",2020,1025,282,564,995,1676
"Kalama",2020,268,137,109,235,628
"Lower Cowlitz",2020,4836,826,3493,4730,6693
