"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,4531,926,3054,4426,6667
"EF Lewis",2010,1950,660,991,1844,3572
"Elochoman, Skamokawa",2010,3491,984,1998,3345,5803
"Grays, Chinook",2010,2408,1021,1087,2180,4879
"Kalama",2010,2220,2302,459,1593,7659
"Lower Cowlitz",2010,7773,6194,3649,6622,18274
"Lower Gorge",2010,824,286,443,764,1527
"Mill, Abernathy, Germany, Coal",2010,1306,336,849,1244,2123
"NF Lewis",2010,3068,530,2386,2960,4423
"NF Toutle",2010,4217,1361,2721,3971,7089
"Salmon Creek",2010,1767,1193,533,1485,4860
"SF Toutle",2010,2455,892,1170,2301,4579
"Tilton",2010,2935,153,2616,2942,3213
"Upper Cowlitz and Cispus",2010,22079,283,21497,22088,22617
"Washougal",2010,1242,488,591,1141,2472
"Coweeman",2011,4053,826,2743,3939,5975
"EF Lewis",2011,1545,508,814,1462,2746
"Elochoman, Skamokawa",2011,1756,480,1037,1687,2912
"Grays, Chinook",2011,5000,2472,1961,4467,11234
"Kalama",2011,516,447,115,393,1623
"Lower Cowlitz",2011,5776,3690,2660,4880,14507
"Lower Gorge",2011,586,177,340,556,1024
"Mill, Abernathy, Germany, Coal",2011,868,322,522,808,1521
"NF Lewis",2011,1912,380,1477,1827,2863
"NF Toutle",2011,1439,566,733,1324,2878
"Salmon Creek",2011,1015,518,426,906,2186
"SF Toutle",2011,1580,614,678,1490,3037
"Tilton",2011,6315,240,5815,6328,6750
"Upper Cowlitz and Cispus",2011,19395,279,18827,19406,19919
"Washougal",2011,557,216,279,514,1097
"Coweeman",2012,3951,830,2622,3840,5819
"EF Lewis",2012,3824,1225,2077,3630,6823
"Elochoman, Skamokawa",2012,826,244,444,797,1383
"Grays, Chinook",2012,871,304,428,820,1615
"Kalama",2012,295,155,112,261,688
"Lower Cowlitz",2012,7091,5087,2970,6052,17016
"Lower Gorge",2012,675,220,362,638,1219
"Mill, Abernathy, Germany, Coal",2012,796,345,494,741,1431
"NF Lewis",2012,1862,333,1425,1800,2654
"NF Toutle",2012,1956,494,1267,1863,3166
"Salmon Creek",2012,1027,410,481,952,2045
"SF Toutle",2012,2530,807,1376,2395,4433
"Tilton",2012,4871,210,4427,4880,5246
"Upper Cowlitz and Cispus",2012,3815,80,3654,3818,3965
"Washougal",2012,520,168,276,493,939
"Coweeman",2013,4797,885,3385,4707,6853
"EF Lewis",2013,3336,1071,1822,3153,6029
"Elochoman, Skamokawa",2013,1486,375,905,1434,2343
"Grays, Chinook",2013,2475,637,1528,2375,3993
"Kalama",2013,417,230,158,364,972
"Lower Cowlitz",2013,8524,2757,5024,8007,15604
"Lower Gorge",2013,968,278,581,921,1649
"Mill, Abernathy, Germany, Coal",2013,1087,745,760,992,1823
"NF Lewis",2013,8960,543,8402,8878,9980
"NF Toutle",2013,3326,745,2301,3193,5115
"Salmon Creek",2013,1267,470,619,1190,2354
"SF Toutle",2013,3795,1226,2124,3554,6790
"Tilton",2013,6394,256,5859,6408,6866
"Upper Cowlitz and Cispus",2013,5829,276,5237,5846,6313
"Washougal",2013,768,260,411,719,1412
"Coweeman",2014,9521,2100,5975,9350,14123
"EF Lewis",2014,6013,2036,3095,5670,10943
"Elochoman, Skamokawa",2014,5937,1382,3880,5734,9127
"Grays, Chinook",2014,4748,743,3648,4636,6461
