"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,410,167,165,383,803
"EF Lewis",2010,481,274,131,428,1183
"Elochoman, Skamokawa",2010,2498,792,1320,2377,4351
"Grays, Chinook",2010,1913,877,836,1711,4095
"Kalama",2010,2139,2270,432,1515,7503
"Lower Cowlitz",2010,1928,5653,254,907,9812
"Lower Gorge",2010,207,104,77,184,471
"Mill, Abernathy, Germany, Coal",2010,162,45,98,154,271
"NF Lewis",2010,810,151,609,783,1181
"NF Toutle",2010,2404,1139,1423,2183,4664
"Salmon Creek",2010,318,695,4,102,2147
"SF Toutle",2010,507,222,212,466,1043
"Tilton",2010,2037,146,1735,2043,2300
"Upper Cowlitz and Cispus",2010,19304,275,18741,19313,19819
"Washougal",2010,512,254,185,455,1162
"Coweeman",2011,208,106,60,189,466
"EF Lewis",2011,110,85,16,88,332
"Elochoman, Skamokawa",2011,1040,359,501,977,1910
"Grays, Chinook",2011,4663,2386,1785,4136,10739
"Kalama",2011,470,436,86,350,1570
"Lower Cowlitz",2011,1071,2512,123,537,5729
"Lower Gorge",2011,83,64,14,64,252
"Mill, Abernathy, Germany, Coal",2011,163,63,91,152,300
"NF Lewis",2011,443,102,329,421,689
"NF Toutle",2011,393,360,81,293,1393
"Salmon Creek",2011,91,136,3,47,415
"SF Toutle",2011,233,192,39,179,768
"Tilton",2011,4354,229,3871,4365,4772
"Upper Cowlitz and Cispus",2011,11782,254,11255,11791,12254
"Washougal",2011,71,57,11,57,209
"Coweeman",2012,189,142,33,150,576
"EF Lewis",2012,305,199,66,255,844
"Elochoman, Skamokawa",2012,247,139,66,216,584
"Grays, Chinook",2012,391,218,118,341,957
"Kalama",2012,251,146,86,218,624
"Lower Cowlitz",2012,1337,2147,164,835,5266
"Lower Gorge",2012,114,75,30,96,296
"Mill, Abernathy, Germany, Coal",2012,21,13,9,19,40
"NF Lewis",2012,298,81,188,283,494
"NF Toutle",2012,429,259,129,371,1047
"Salmon Creek",2012,74,85,4,48,306
"SF Toutle",2012,322,207,70,276,848
"Tilton",2012,3601,202,3174,3613,3956
"Upper Cowlitz and Cispus",2012,2215,66,2080,2217,2340
"Washougal",2012,73,50,14,61,206
"Coweeman",2013,635,281,217,594,1311
"EF Lewis",2013,311,161,100,279,707
"Elochoman, Skamokawa",2013,588,228,254,550,1122
"Grays, Chinook",2013,1603,468,902,1528,2689
"Kalama",2013,364,221,118,312,902
"Lower Cowlitz",2013,1673,652,758,1562,3196
"Lower Gorge",2013,231,130,64,203,556
"Mill, Abernathy, Germany, Coal",2013,81,67,43,75,152
"NF Lewis",2013,7546,269,7229,7509,8078
"NF Toutle",2013,704,331,283,637,1485
"Salmon Creek",2013,46,56,3,27,207
"SF Toutle",2013,565,302,185,500,1336
"Tilton",2013,3742,239,3241,3758,4173
