"","2.5%","25%","50%","75%","97.5%","mean","sd"
"Delameter_Above Weir",0,0,0,0,0,0,0
"Lacamas_Above Weir",0.405121508405091,0.484087822315269,0.527346772419881,0.574085469497816,0.662959079384922,0.52948264595259,0.0660174766432272
"Olequa_Above Weir",0.0234222662045297,0.0355715501306761,0.0434444507140089,0.0523773804596736,0.0742927531762293,0.0448221499099979,0.0129528668239124
"Ostrander_Above Weir",0,0,0,0,0,0,0
