"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Lower Cowlitz",2018,2974,493,2199,2911,4174
"Lower Gorge",2018,675,232,376,631,1236
"Mill, Abernathy, Germany, Coal",2018,1324,105,1116,1319,1541
"NF Lewis",2018,3224,743,2102,3148,4884
"NF Toutle",2018,1044,256,622,1014,1587
"Salmon Creek",2018,1357,592,670,1208,2890
"SF Toutle",2018,1278,485,551,1203,2415
"Tilton",2018,1321,37,1252,1320,1396
"Upper Cowlitz and Cispus",2018,171,12,149,171,196
"Washougal",2018,320,106,147,302,563
"Coweeman",2019,3699,764,2359,3653,5199
"EF Lewis",2019,2635,930,1306,2425,5026
"Elochoman, Skamokawa",2019,1940,508,1208,1877,3076
"Grays, Chinook",2019,801,317,331,762,1680
"Kalama",2019,140,65,53,127,319
"Lower Cowlitz",2019,3443,748,2339,3315,5050
"Lower Gorge",2019,1171,338,697,1108,2145
"Mill, Abernathy, Germany, Coal",2019,2201,155,1900,2202,2492
"NF Lewis",2019,3988,744,2853,3863,5643
"NF Toutle",2019,2261,369,1740,2214,3095
"Salmon Creek",2019,1752,612,867,1661,3128
"SF Toutle",2019,2481,794,1338,2353,4183
"Tilton",2019,1557,38,1480,1555,1635
"Upper Cowlitz and Cispus",2019,3558,60,3437,3560,3677
"Washougal",2019,578,181,316,553,1048
"Coweeman",2020,4723,1011,3066,4519,7016
"EF Lewis",2020,2456,866,1164,2294,4506
"Elochoman, Skamokawa",2020,2063,506,1243,2009,3258
"Grays, Chinook",2020,1007,297,530,978,1704
"Kalama",2020,281,167,114,243,587
"Lower Cowlitz",2020,4892,807,3733,4773,6642
"Lower Gorge",2020,1220,380,693,1127,2068
"Mill, Abernathy, Germany, Coal",2020,2285,217,1908,2266,2775
"NF Lewis",2020,6828,499,6013,6776,7954
"NF Toutle",2020,2098,405,1424,2047,2952
"Salmon Creek",2020,1759,691,845,1625,3586
"SF Toutle",2020,2716,835,1492,2575,4888
"Tilton",2020,2399,51,2304,2394,2494
"Upper Cowlitz and Cispus",2020,8907,95,8734,8907,9090
"Washougal",2020,917,309,484,861,1698
"Coweeman",2021,4848,988,3094,4760,7029
"EF Lewis",2021,4797,1559,2590,4451,8483
"Elochoman, Skamokawa",2021,1884,509,1213,1807,3096
"Grays, Chinook",2021,1178,273,747,1136,1799
"Kalama",2021,258,129,106,230,573
"Lower Cowlitz",2021,6002,1045,4480,5863,8276
"Lower Gorge",2021,1394,487,809,1286,2583
"Mill, Abernathy, Germany, Coal",2021,2296,195,1894,2290,2731
"NF Lewis",2021,4902,456,4134,4844,5969
"NF Toutle",2021,2373,512,1531,2328,3345
"Salmon Creek",2021,1559,549,769,1457,2894
"SF Toutle",2021,2906,921,1637,2705,5219
"Tilton",2021,6390,84,6223,6385,6554
"Upper Cowlitz and Cispus",2021,9665,103,9466,9661,9872
"Washougal",2021,786,247,429,734,1341
"Coweeman",2022,4420,892,2990,4349,6470
"EF Lewis",2022,3352,984,1899,3160,5477
"Elochoman, Skamokawa",2022,1093,311,605,1052,1856
"Grays, Chinook",2022,1094,286,644,1062,1727
"Kalama",2022,260,134,105,237,556
"Lower Cowlitz",2022,4492,709,3407,4446,6155
"Lower Gorge",2022,1332,394,812,1224,2400
"Mill, Abernathy, Germany, Coal",2022,2829,301,2265,2832,3468
"NF Lewis",2022,5743,376,5178,5684,6469
"NF Toutle",2022,2460,483,1659,2399,3603
"Salmon Creek",2022,1224,479,549,1139,2222
"SF Toutle",2022,2130,740,1045,2013,3785
"Tilton",2022,7264,94,7089,7264,7449
"Upper Cowlitz and Cispus",2022,11505,114,11290,11504,11714
"Washougal",2022,835,275,461,776,1438
"Coweeman",2023,3725,919,2367,3638,5853
"EF Lewis",2023,1718,628,817,1615,3095
"Elochoman, Skamokawa",2023,1629,382,1036,1575,2509
"Grays, Chinook",2023,1083,366,612,1017,1994
