"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"EF Lewis",2018,2174,729,1080,2026,4097
"Elochoman, Skamokawa",2018,2258,577,1381,2161,3648
"Grays, Chinook",2018,1618,748,958,1463,3154
"Kalama",2018,259,116,115,228,550
"Lower Cowlitz",2018,3302,583,2418,3207,4733
"Lower Gorge",2018,870,318,469,812,1563
"Mill, Abernathy, Germany, Coal",2018,1575,119,1356,1569,1819
"NF Lewis",2018,10793,1128,9168,10604,13129
"NF Toutle",2018,1466,421,883,1413,2661
"Salmon Creek",2018,1556,673,785,1368,3265
"SF Toutle",2018,1423,532,615,1366,2663
"Tilton",2018,4430,128,4172,4443,4642
"Upper Cowlitz and Cispus",2018,5965,117,5740,5969,6177
"Washougal",2018,1134,441,540,1041,2303
"Coweeman",2019,5068,1051,3252,4980,7180
"EF Lewis",2019,2897,997,1530,2670,5419
"Elochoman, Skamokawa",2019,3121,720,1947,3047,4657
"Grays, Chinook",2019,1934,620,1183,1847,3513
"Kalama",2019,353,279,124,269,1233
"Lower Cowlitz",2019,3726,790,2612,3583,5490
"Lower Gorge",2019,1611,475,981,1530,2847
"Mill, Abernathy, Germany, Coal",2019,3043,200,2695,3042,3431
"NF Lewis",2019,8941,1058,7358,8751,11136
"NF Toutle",2019,2967,686,2092,2833,4652
"Salmon Creek",2019,1976,672,991,1861,3432
"SF Toutle",2019,2800,894,1528,2667,4585
"Tilton",2019,7175,195,6797,7177,7543
"Upper Cowlitz and Cispus",2019,9703,159,9374,9705,9991
"Washougal",2019,1334,439,714,1263,2297
"Coweeman",2020,5722,1219,3800,5522,8568
"EF Lewis",2020,2746,969,1343,2605,5141
"Elochoman, Skamokawa",2020,2682,648,1653,2610,4128
"Grays, Chinook",2020,1798,458,1170,1715,2832
"Kalama",2020,1063,503,453,944,2344
"Lower Cowlitz",2020,5303,971,4034,5103,7393
"Lower Gorge",2020,1374,451,774,1269,2415
"Mill, Abernathy, Germany, Coal",2020,2634,218,2281,2610,3098
"NF Lewis",2020,15099,1364,12938,14908,18052
"NF Toutle",2020,2586,536,1744,2513,3863
"Salmon Creek",2020,2014,805,979,1843,4401
"SF Toutle",2020,2897,889,1593,2730,5037
"Tilton",2020,13196,273,12647,13213,13711
"Upper Cowlitz and Cispus",2020,21233,248,20721,21248,21672
"Washougal",2020,2381,767,1301,2235,4374
"Coweeman",2021,6163,1283,4004,5986,9230
"EF Lewis",2021,5180,1676,2810,4860,9079
"Elochoman, Skamokawa",2021,3487,916,2256,3330,5574
"Grays, Chinook",2021,2741,544,2015,2649,4086
"Kalama",2021,1072,562,400,910,2438
"Lower Cowlitz",2021,7158,1228,5423,7011,9792
"Lower Gorge",2021,1489,514,865,1371,2708
"Mill, Abernathy, Germany, Coal",2021,2728,217,2326,2723,3137
"NF Lewis",2021,12584,1292,11145,12390,15352
"NF Toutle",2021,2932,686,1862,2839,4451
"Salmon Creek",2021,1668,604,821,1547,3110
"SF Toutle",2021,3277,1027,1811,3068,5922
"Tilton",2021,14900,451,14002,14917,15744
"Upper Cowlitz and Cispus",2021,29379,281,28842,29377,29874
"Washougal",2021,966,308,517,917,1705
"Coweeman",2022,4949,1017,3364,4844,7375
"EF Lewis",2022,3714,1078,2134,3543,6201
"Elochoman, Skamokawa",2022,1317,358,777,1266,2126
"Grays, Chinook",2022,1861,479,1221,1756,3165
"Kalama",2022,639,324,285,567,1350
"Lower Cowlitz",2022,5341,883,4080,5201,7590
"Lower Gorge",2022,1649,473,994,1564,2720
"Mill, Abernathy, Germany, Coal",2022,4037,294,3408,4023,4607
"NF Lewis",2022,14122,1612,12337,13688,18496
"NF Toutle",2022,3010,655,2010,2947,4569
"Salmon Creek",2022,1343,519,596,1244,2520
"SF Toutle",2022,2476,883,1192,2368,4424
"Tilton",2022,16296,438,15372,16287,17054
"Upper Cowlitz and Cispus",2022,23371,335,22684,23403,23953
"Washougal",2022,1361,455,745,1292,2441
"Coweeman",2023,4236,1031,2638,4151,6727
"EF Lewis",2023,2094,754,983,1989,3858
"Elochoman, Skamokawa",2023,1952,449,1251,1899,2866
"Grays, Chinook",2023,1602,548,933,1507,2850
"Kalama",2023,659,326,279,581,1645
"Lower Cowlitz",2023,6978,945,5543,6850,9172
"Lower Gorge",2023,1074,583,424,950,2725
"Mill, Abernathy, Germany, Coal",2023,4117,314,3534,4107,4793
"NF Lewis",2023,16591,12712,10692,13750,38578
"NF Toutle",2023,2543,635,1561,2494,4044
"Salmon Creek",2023,1133,674,284,1004,2619
"SF Toutle",2023,2581,926,1217,2437,4640
"Tilton",2023,8232,1007,5907,8441,9843
"Upper Cowlitz and Cispus",2023,12927,595,11462,13039,13722
"Washougal",2023,795,342,298,747,1615
