"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Green",2013,0.147,0.068,0.046,0.137,0.3
"Upper NF Toutle",2013,0,0,0,0,0.002
"NF_MS Toutle",2013,0.332,0.104,0.138,0.327,0.532
"SF Toutle",2013,0.148,0.051,0.067,0.14,0.259
"Coweeman",2013,0.135,0.048,0.065,0.129,0.244
"Kalama",2013,0.853,0.071,0.699,0.868,0.952
"Lower Lewis",2013,0.346,0.093,0.168,0.345,0.526
"Upper NF Lewis",2013,0.995,0.001,0.994,0.995,0.997
"Cedar",2013,0.275,0.049,0.186,0.275,0.371
"EF Lewis",2013,0.093,0.036,0.038,0.088,0.175
"Salmon Creek",2013,0.036,0.035,0.003,0.025,0.133
"Washougal",2013,0.344,0.1,0.153,0.337,0.549
"Lower Gorge",2013,0.248,0.107,0.077,0.238,0.47
"Duncan_Above Weir",2013,0.084,0.073,0.011,0.063,0.292
"Grays_Chinook",2014,0.406,0.081,0.249,0.401,0.562
"Elochoman_Skamokawa",2014,0.359,0.043,0.277,0.358,0.439
"Abernathy",2014,0.119,0.015,0.09,0.119,0.147
"Abernathy_Above AFTC",2014,0.122,0.015,0.093,0.122,0.156
"Mill",2014,0.123,0.016,0.094,0.122,0.156
"Germany",2014,0.12,0.016,0.092,0.118,0.154
"Coal",2014,0.222,0.294,0,0.07,0.956
"Upper Cowlitz and Cispus",2014,0.767,0.003,0.761,0.767,0.773
"Tilton",2014,0.354,0.008,0.339,0.354,0.367
"Lower Cowlitz",2014,0.105,0.063,0.019,0.099,0.259
"Delameter_Above Weir",2014,0.02,0.007,0.009,0.02,0.036
"Lacamas_Above Weir",2014,0.037,0.008,0.021,0.036,0.055
"Olequa_Above Weir",2014,0.031,0.007,0.019,0.03,0.046
"Ostrander_Above Weir",2014,0.03,0.007,0.017,0.029,0.047
"Green",2014,0.299,0.038,0.228,0.297,0.372
"Upper NF Toutle",2014,0,0,0,0,0.002
"NF_MS Toutle",2014,0.363,0.057,0.264,0.36,0.471
"SF Toutle",2014,0.195,0.022,0.154,0.194,0.241
"Coweeman",2014,0.162,0.033,0.106,0.162,0.234
"Kalama",2014,0.897,0.026,0.842,0.899,0.943
"Lower Lewis",2014,0.396,0.05,0.303,0.394,0.497
"Upper NF Lewis",2014,0.923,0.003,0.918,0.923,0.928
"Cedar",2014,0.052,0.026,0.014,0.046,0.11
"EF Lewis",2014,0.175,0.062,0.072,0.171,0.322
"Salmon Creek",2014,0.023,0.022,0.002,0.016,0.086
"Washougal",2014,0.679,0.053,0.573,0.681,0.773
"Lower Gorge",2014,0.27,0.081,0.13,0.264,0.441
"Duncan_Above Weir",2014,0.049,0.027,0.012,0.043,0.112
"Grays_Chinook",2015,0.478,0.128,0.238,0.481,0.71
"Elochoman_Skamokawa",2015,0.381,0.103,0.194,0.374,0.594
"Abernathy",2015,0.073,0.028,0.032,0.07,0.147
"Abernathy_Above AFTC",2015,0.105,0.033,0.056,0.099,0.181
"Mill",2015,0.071,0.03,0.027,0.066,0.14
"Germany",2015,0.078,0.031,0.034,0.076,0.142
"Coal",2015,0.266,0.33,0,0.099,0.966
"Upper Cowlitz and Cispus",2015,0.711,0.013,0.685,0.712,0.736
"Tilton",2015,0.529,0.016,0.492,0.53,0.558
"Lower Cowlitz",2015,0.154,0.131,0.013,0.11,0.489
"Delameter_Above Weir",2015,0.063,0.033,0.019,0.057,0.141
"Lacamas_Above Weir",2015,0.032,0.026,0.004,0.024,0.105
"Olequa_Above Weir",2015,0.06,0.035,0.015,0.053,0.155
"Ostrander_Above Weir",2015,0.083,0.04,0.024,0.077,0.178
"Green",2015,0.426,0.121,0.194,0.418,0.664
"Upper NF Toutle",2015,0,0.001,0,0,0.001
"NF_MS Toutle",2015,0.669,0.115,0.418,0.677,0.863
"SF Toutle",2015,0.491,0.079,0.317,0.492,0.634
"Coweeman",2015,0.187,0.065,0.079,0.182,0.322
"Kalama",2015,0.874,0.043,0.778,0.881,0.943
"Lower Lewis",2015,0.312,0.156,0.065,0.292,0.633
"Upper NF Lewis",2015,0.97,0.003,0.964,0.97,0.975
"Cedar",2015,0.055,0.036,0.011,0.049,0.144
"EF Lewis",2015,0.208,0.101,0.061,0.186,0.446
"Salmon Creek",2015,0.046,0.053,0.002,0.026,0.19
"Washougal",2015,0.619,0.11,0.388,0.627,0.831
"Lower Gorge",2015,0.13,0.076,0.034,0.11,0.314
"Duncan_Above Weir",2015,0.048,0.045,0.003,0.032,0.174
"Grays_Chinook",2016,0.574,0.105,0.366,0.573,0.763
"Elochoman_Skamokawa",2016,0.348,0.106,0.151,0.34,0.569
"Abernathy",2016,0.131,0.021,0.092,0.129,0.177
"Abernathy_Above AFTC",2016,0.132,0.022,0.093,0.131,0.179
"Mill",2016,0.129,0.024,0.089,0.13,0.178
"Germany",2016,0.126,0.022,0.089,0.125,0.175
"Coal",2016,0.246,0.297,0,0.095,0.919
"Upper Cowlitz and Cispus",2016,0.906,0.004,0.899,0.906,0.913
"Tilton",2016,0.619,0.013,0.59,0.619,0.639
"Lower Cowlitz",2016,0.16,0.115,0.024,0.135,0.445
"Delameter_Above Weir",2016,0.15,0.044,0.073,0.146,0.248
"Lacamas_Above Weir",2016,0.011,0.01,0.001,0.008,0.038
"Olequa_Above Weir",2016,0.031,0.025,0.004,0.024,0.101
"Ostrander_Above Weir",2016,0.05,0.029,0.014,0.044,0.113
"Green",2016,0.75,0.039,0.669,0.75,0.823
"Upper NF Toutle",2016,0,0,0,0,0.001
"NF_MS Toutle",2016,0.523,0.156,0.203,0.528,0.807
"SF Toutle",2016,0.23,0.067,0.118,0.224,0.377
"Coweeman",2016,0.161,0.072,0.052,0.149,0.324
"Kalama",2016,0.637,0.163,0.238,0.66,0.872
"Lower Lewis",2016,0.356,0.112,0.17,0.344,0.6
"Upper NF Lewis",2016,0.835,0.005,0.826,0.835,0.844
"Cedar",2016,0.084,0.03,0.038,0.08,0.153
"EF Lewis",2016,0.349,0.14,0.116,0.328,0.648
"Salmon Creek",2016,0.075,0.079,0.005,0.047,0.285
"Washougal",2016,0.714,0.069,0.585,0.713,0.844
"Lower Gorge",2016,0.084,0.047,0.02,0.074,0.199
"Duncan_Above Weir",2016,0.05,0.048,0.004,0.035,0.188
"Grays_Chinook",2017,0.657,0.116,0.383,0.672,0.84
"Elochoman_Skamokawa",2017,0.251,0.129,0.042,0.244,0.523
"Abernathy",2017,0.081,0.021,0.045,0.081,0.128
"Abernathy_Above AFTC",2017,0.082,0.02,0.047,0.081,0.126
"Mill",2017,0.084,0.022,0.046,0.082,0.128
"Germany",2017,0.083,0.021,0.05,0.082,0.129
"Coal",2017,0.233,0.273,0,0.122,0.928
"Upper Cowlitz and Cispus",2017,0.553,0.007,0.539,0.552,0.567
"Tilton",2017,0.501,0.008,0.482,0.501,0.514
"Lower Cowlitz",2017,0.334,0.168,0.057,0.322,0.685
"Delameter_Above Weir",2017,0.131,0.052,0.046,0.124,0.248
"Lacamas_Above Weir",2017,0.009,0.009,0.001,0.006,0.032
"Olequa_Above Weir",2017,0.037,0.026,0.006,0.03,0.099
"Ostrander_Above Weir",2017,0.095,0.046,0.027,0.091,0.194
"Green",2017,0.195,0.083,0.057,0.187,0.385
"Upper NF Toutle",2017,0,0,0,0,0.001
"NF_MS Toutle",2017,0.364,0.195,0.06,0.333,0.784
"SF Toutle",2017,0.102,0.068,0.015,0.089,0.261
"Coweeman",2017,0.138,0.09,0.016,0.116,0.354
"Kalama",2017,0.612,0.206,0.179,0.64,0.917
"Lower Lewis",2017,0.323,0.108,0.143,0.312,0.555
"Upper NF Lewis",2017,0.673,0.006,0.662,0.673,0.684
"Cedar",2017,0.151,0.046,0.069,0.148,0.252
"EF Lewis",2017,0.38,0.104,0.182,0.376,0.611
"Salmon Creek",2017,0.125,0.098,0.015,0.095,0.388
"Washougal",2017,0.743,0.061,0.62,0.748,0.86
"Lower Gorge",2017,0.159,0.096,0.037,0.133,0.386
"Duncan_Above Weir",2017,0.093,0.063,0.014,0.079,0.247
"Grays_Chinook",2018,0.671,0.113,0.434,0.675,0.873
"Elochoman_Skamokawa",2018,0.416,0.135,0.171,0.403,0.665
"Abernathy",2018,0.15,0.031,0.093,0.148,0.212
"Abernathy_Above AFTC",2018,0.145,0.032,0.09,0.142,0.213
"Mill",2018,0.154,0.035,0.1,0.152,0.23
"Germany",2018,0.16,0.035,0.097,0.157,0.238
"Coal",2018,0.212,0.248,0,0.112,0.907
"Upper Cowlitz and Cispus",2018,0.971,0.002,0.967,0.971,0.975
"Tilton",2018,0.702,0.01,0.683,0.702,0.719
"Lower Cowlitz",2018,0.136,0.114,0.012,0.097,0.449
"Delameter_Above Weir",2018,0.138,0.053,0.057,0.13,0.262
"Lacamas_Above Weir",2018,0.008,0.009,0.001,0.006,0.031
"Olequa_Above Weir",2018,0.046,0.033,0.007,0.038,0.128
"Ostrander_Above Weir",2018,0.12,0.061,0.028,0.108,0.245
"Green",2018,0.216,0.125,0.049,0.199,0.531
"Upper NF Toutle",2018,0,0,0,0,0.001
"NF_MS Toutle",2018,0.358,0.195,0.061,0.327,0.771
"SF Toutle",2018,0.099,0.085,0.011,0.074,0.363
"Coweeman",2018,0.327,0.18,0.035,0.316,0.642
"Kalama",2018,0.638,0.166,0.28,0.66,0.891
"Lower Lewis",2018,0.593,0.146,0.301,0.604,0.853
"Upper NF Lewis",2018,0.933,0.003,0.927,0.933,0.939
"Cedar",2018,0.256,0.084,0.12,0.252,0.44
"EF Lewis",2018,0.139,0.064,0.047,0.132,0.304
"Salmon Creek",2018,0.127,0.069,0.029,0.115,0.278
"Washougal",2018,0.697,0.101,0.479,0.706,0.868
"Lower Gorge",2018,0.219,0.086,0.082,0.217,0.39
"Duncan_Above Weir",2018,0.054,0.045,0.006,0.042,0.182
"Grays_Chinook",2019,0.57,0.155,0.234,0.597,0.832
"Elochoman_Skamokawa",2019,0.373,0.11,0.168,0.368,0.596
"Abernathy",2019,0.284,0.03,0.225,0.284,0.343
"Abernathy_Above AFTC",2019,0.284,0.031,0.228,0.283,0.342
"Mill",2019,0.271,0.029,0.218,0.273,0.327
"Germany",2019,0.272,0.03,0.212,0.273,0.329
"Coal",2019,0.23,0.253,0,0.134,0.894
"Upper Cowlitz and Cispus",2019,0.633,0.006,0.621,0.633,0.645
"Tilton",2019,0.783,0.007,0.768,0.783,0.795
"Lower Cowlitz",2019,0.072,0.068,0.005,0.05,0.239
"Delameter_Above Weir",2019,0.172,0.068,0.055,0.168,0.318
"Lacamas_Above Weir",2019,0.015,0.013,0.002,0.011,0.046
"Olequa_Above Weir",2019,0.041,0.033,0.006,0.033,0.122
"Ostrander_Above Weir",2019,0.189,0.047,0.105,0.185,0.291
"Green",2019,0.175,0.076,0.055,0.163,0.358
"Upper NF Toutle",2019,0,0,0,0,0.001
"NF_MS Toutle",2019,0.426,0.169,0.13,0.423,0.782
"SF Toutle",2019,0.113,0.051,0.03,0.11,0.229
"Coweeman",2019,0.265,0.087,0.112,0.262,0.456
"Kalama",2019,0.515,0.192,0.175,0.506,0.863
"Lower Lewis",2019,0.498,0.175,0.154,0.5,0.813
"Upper NF Lewis",2019,0.752,0.006,0.742,0.753,0.764
"Cedar",2019,0.182,0.065,0.061,0.182,0.321
"EF Lewis",2019,0.091,0.058,0.02,0.075,0.24
"Salmon Creek",2019,0.112,0.069,0.021,0.099,0.298
"Washougal",2019,0.557,0.085,0.385,0.554,0.719
"Lower Gorge",2019,0.274,0.098,0.104,0.27,0.468
"Duncan_Above Weir",2019,0.032,0.021,0.005,0.027,0.085
"Grays_Chinook",2020,0.427,0.146,0.159,0.439,0.681
"Elochoman_Skamokawa",2020,0.224,0.105,0.055,0.211,0.476
"Abernathy",2020,0.11,0.062,0.022,0.099,0.248
"Abernathy_Above AFTC",2020,0.12,0.07,0.024,0.103,0.281
"Mill",2020,0.134,0.085,0.031,0.117,0.325
"Germany",2020,0.133,0.073,0.031,0.118,0.303
"Coal",2020,0.231,0.249,0,0.145,0.891
"Upper Cowlitz and Cispus",2020,0.58,0.005,0.57,0.581,0.589
"Tilton",2020,0.818,0.005,0.809,0.818,0.827
"Lower Cowlitz",2020,0.078,0.083,0.005,0.055,0.302
"Delameter_Above Weir",2020,0.17,0.061,0.08,0.164,0.301
"Lacamas_Above Weir",2020,0.049,0.021,0.018,0.046,0.093
