"","2.5%","25%","50%","75%","97.5%","mean","sd"
"Delameter_Above Weir",0,0,0,0,0,0,0
"Lacamas_Above Weir",0.386917973633632,0.472426552057873,0.520088878644811,0.567936242696478,0.667778014746597,0.521751414241144,0.0692276249950438
"Olequa_Above Weir",0.02651523401303,0.0377772453045606,0.0457608913939668,0.0555600314740211,0.0762373928278444,0.0474189421208623,0.0130070039193329
"Ostrander_Above Weir",0,0,0,0,0,0,0
