"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Ostrander_Above Weir",2013,0.464,0.056,0.35,0.467,0.561
"Green",2013,0.5,0.046,0.418,0.496,0.598
"Upper NF Toutle",2013,0.485,0.05,0.394,0.485,0.581
"NF_MS Toutle",2013,0.499,0.05,0.399,0.498,0.595
"SF Toutle",2013,0.539,0.044,0.451,0.535,0.63
"Coweeman",2013,0.477,0.046,0.385,0.477,0.567
"Kalama",2013,0.475,0.053,0.372,0.476,0.574
"Lower Lewis",2013,0.5,0.046,0.418,0.498,0.596
"Upper NF Lewis",2013,0.476,0.053,0.378,0.476,0.585
"Cedar",2013,0.454,0.04,0.377,0.453,0.527
"EF Lewis",2013,0.457,0.039,0.374,0.457,0.529
"Salmon Creek",2013,0.486,0.051,0.385,0.49,0.583
"Washougal",2013,0.479,0.044,0.393,0.481,0.565
"Lower Gorge",2013,0.478,0.045,0.394,0.476,0.565
"Duncan_Above Weir",2013,0.525,0.049,0.425,0.528,0.611
"Grays_Chinook",2014,0.503,0.02,0.466,0.502,0.543
"Elochoman_Skamokawa",2014,0.527,0.03,0.47,0.528,0.586
"Abernathy",2014,0.449,0.021,0.408,0.449,0.489
"Abernathy_Above AFTC",2014,0.405,0.023,0.364,0.406,0.452
"Mill",2014,0.461,0.022,0.419,0.46,0.501
"Germany",2014,0.452,0.019,0.415,0.453,0.492
"Coal",2014,0.474,0.054,0.371,0.472,0.574
"Upper Cowlitz and Cispus",2014,0.46,0.049,0.369,0.463,0.559
"Tilton",2014,0.486,0.048,0.383,0.487,0.575
"Lower Cowlitz",2014,0.429,0.026,0.376,0.429,0.486
"Delameter_Above Weir",2014,0.435,0.031,0.378,0.434,0.498
"Lacamas_Above Weir",2014,0.481,0.031,0.421,0.482,0.539
"Olequa_Above Weir",2014,0.506,0.027,0.452,0.505,0.558
"Ostrander_Above Weir",2014,0.521,0.033,0.459,0.521,0.585
"Green",2014,0.478,0.037,0.404,0.478,0.548
