"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,0.092,0.032,0.04,0.088,0.162
"EF Lewis",2010,0.265,0.1,0.099,0.256,0.482
"Elochoman, Skamokawa",2010,0.725,0.069,0.582,0.729,0.848
"Grays, Chinook",2010,0.824,0.052,0.711,0.828,0.914
"Kalama",2010,0.98,0.017,0.936,0.985,0.998
"Lower Cowlitz",2010,0.16,0.091,0.046,0.138,0.397
"Lower Gorge",2010,0.253,0.063,0.141,0.249,0.387
"Mill, Abernathy, Germany, Coal",2010,0.122,0.014,0.096,0.121,0.151
"NF Lewis",2010,0.244,0.043,0.16,0.244,0.329
"NF Toutle",2010,0.554,0.095,0.363,0.556,0.725
"Salmon Creek",2010,0.16,0.187,0.003,0.083,0.704
"SF Toutle",2010,0.205,0.04,0.133,0.203,0.288
"Tilton",2010,0.698,0.015,0.664,0.699,0.725
"Upper Cowlitz and Cispus",2010,0.875,0.003,0.869,0.875,0.879
"Washougal",2010,0.402,0.092,0.232,0.4,0.587
"Coweeman",2011,0.047,0.023,0.014,0.044,0.101
"EF Lewis",2011,0.066,0.046,0.01,0.054,0.182
"Elochoman, Skamokawa",2011,0.564,0.099,0.368,0.565,0.755
"Grays, Chinook",2011,0.952,0.02,0.905,0.955,0.983
"Kalama",2011,0.934,0.077,0.71,0.96,0.996
"Lower Cowlitz",2011,0.139,0.1,0.027,0.112,0.406
"Lower Gorge",2011,0.118,0.079,0.02,0.099,0.315
"Mill, Abernathy, Germany, Coal",2011,0.192,0.023,0.15,0.191,0.238
"NF Lewis",2011,0.227,0.031,0.168,0.226,0.29
"NF Toutle",2011,0.322,0.14,0.093,0.306,0.62
"Salmon Creek",2011,0.088,0.097,0.003,0.054,0.37
"SF Toutle",2011,0.157,0.093,0.03,0.138,0.386
"Tilton",2011,0.688,0.012,0.663,0.689,0.709
"Upper Cowlitz and Cispus",2011,0.608,0.005,0.597,0.608,0.618
"Washougal",2011,0.101,0.066,0.018,0.087,0.266
"Coweeman",2012,0.041,0.031,0.006,0.033,0.123
"EF Lewis",2012,0.07,0.039,0.017,0.062,0.164
"Elochoman, Skamokawa",2012,0.339,0.147,0.098,0.325,0.652
"Grays, Chinook",2012,0.439,0.144,0.177,0.435,0.728
"Kalama",2012,0.875,0.078,0.686,0.891,0.979
"Lower Cowlitz",2012,0.151,0.097,0.03,0.128,0.395
"Lower Gorge",2012,0.168,0.077,0.054,0.156,0.348
"Mill, Abernathy, Germany, Coal",2012,0.023,0.007,0.012,0.022,0.038
"NF Lewis",2012,0.147,0.034,0.094,0.142,0.226
"NF Toutle",2012,0.213,0.086,0.078,0.203,0.405
"Salmon Creek",2012,0.076,0.071,0.004,0.053,0.268
"SF Toutle",2012,0.12,0.062,0.031,0.11,0.266
"Tilton",2012,0.741,0.011,0.717,0.742,0.761
"Upper Cowlitz and Cispus",2012,0.582,0.009,0.563,0.582,0.6
"Washougal",2012,0.12,0.07,0.025,0.107,0.292
"Coweeman",2013,0.125,0.049,0.047,0.118,0.239
"EF Lewis",2013,0.09,0.034,0.036,0.086,0.168
"Elochoman, Skamokawa",2013,0.414,0.096,0.236,0.411,0.611
"Grays, Chinook",2013,0.63,0.059,0.509,0.632,0.739
"Kalama",2013,0.863,0.092,0.629,0.885,0.978
"Lower Cowlitz",2013,0.162,0.045,0.086,0.158,0.261
"Lower Gorge",2013,0.219,0.089,0.076,0.209,0.421
"Mill, Abernathy, Germany, Coal",2013,0.075,0.018,0.045,0.073,0.115
"NF Lewis",2013,0.848,0.024,0.791,0.851,0.883
"NF Toutle",2013,0.182,0.058,0.089,0.175,0.313
"Salmon Creek",2013,0.033,0.037,0.002,0.021,0.137
"SF Toutle",2013,0.144,0.054,0.059,0.138,0.267
"Tilton",2013,0.586,0.016,0.551,0.587,0.613
"Upper Cowlitz and Cispus",2013,0.998,0.001,0.997,0.998,0.999
"Washougal",2013,0.323,0.102,0.142,0.317,0.539
"Coweeman",2014,0.168,0.033,0.108,0.166,0.238
"EF Lewis",2014,0.19,0.066,0.082,0.184,0.335
"Elochoman, Skamokawa",2014,0.345,0.044,0.263,0.344,0.434
"Grays, Chinook",2014,0.359,0.077,0.215,0.357,0.515
"Kalama",2014,0.906,0.027,0.847,0.908,0.951
"Lower Cowlitz",2014,0.049,0.016,0.028,0.046,0.09
"Lower Gorge",2014,0.307,0.09,0.148,0.302,0.5
"Mill, Abernathy, Germany, Coal",2014,0.121,0.009,0.104,0.121,0.14
"NF Lewis",2014,0.65,0.025,0.597,0.652,0.695
"NF Toutle",2014,0.325,0.037,0.258,0.323,0.402
"Salmon Creek",2014,0.021,0.023,0.001,0.014,0.085
"SF Toutle",2014,0.192,0.023,0.148,0.192,0.24
"Tilton",2014,0.355,0.007,0.341,0.355,0.368
"Upper Cowlitz and Cispus",2014,0.767,0.003,0.761,0.767,0.773
"Washougal",2014,0.711,0.055,0.596,0.714,0.812
"Coweeman",2015,0.225,0.088,0.083,0.215,0.426
"EF Lewis",2015,0.251,0.129,0.058,0.233,0.546
"Elochoman, Skamokawa",2015,0.463,0.13,0.219,0.46,0.718
"Grays, Chinook",2015,0.647,0.149,0.323,0.662,0.898
"Kalama",2015,0.892,0.043,0.794,0.898,0.961
"Lower Cowlitz",2015,0.088,0.053,0.027,0.074,0.231
"Lower Gorge",2015,0.141,0.082,0.032,0.124,0.341
"Mill, Abernathy, Germany, Coal",2015,0.068,0.016,0.04,0.067,0.103
"NF Lewis",2015,0.791,0.028,0.73,0.794,0.84
"NF Toutle",2015,0.549,0.103,0.34,0.553,0.741
"Salmon Creek",2015,0.044,0.062,0.001,0.022,0.229
"SF Toutle",2015,0.489,0.082,0.33,0.488,0.65
"Tilton",2015,0.532,0.016,0.496,0.533,0.56
"Upper Cowlitz and Cispus",2015,0.715,0.013,0.688,0.715,0.74
"Washougal",2015,0.684,0.121,0.422,0.694,0.89
"Coweeman",2016,0.154,0.072,0.045,0.144,0.321
"EF Lewis",2016,0.514,0.194,0.153,0.517,0.864
"Elochoman, Skamokawa",2016,0.404,0.135,0.16,0.397,0.676
"Grays, Chinook",2016,0.598,0.125,0.341,0.604,0.824
"Kalama",2016,0.663,0.205,0.205,0.696,0.955
"Lower Cowlitz",2016,0.094,0.061,0.024,0.077,0.257
"Lower Gorge",2016,0.079,0.045,0.019,0.07,0.191
"Mill, Abernathy, Germany, Coal",2016,0.13,0.014,0.105,0.129,0.158
"NF Lewis",2016,0.65,0.032,0.583,0.651,0.708
"NF Toutle",2016,0.604,0.063,0.468,0.609,0.718
