"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,0.463,0.041,0.384,0.463,0.543
"Elochoman_Skamokawa",2010,0.448,0.043,0.363,0.448,0.533
"Abernathy",2010,0.491,0.027,0.437,0.491,0.546
"Abernathy_Above AFTC",2010,0.485,0.028,0.43,0.485,0.541
"Mill",2010,0.485,0.029,0.429,0.485,0.541
"Germany",2010,0.485,0.028,0.429,0.486,0.54
"Upper Cowlitz and Cispus",2010,0.479,0.051,0.377,0.479,0.58
"Tilton",2010,0.479,0.052,0.377,0.479,0.582
"Lower Cowlitz",2010,0.513,0.049,0.421,0.512,0.611
"Delameter_Above Weir",2010,0.477,0.052,0.374,0.477,0.58
"Lacamas_Above Weir",2010,0.48,0.051,0.379,0.48,0.581
"Olequa_Above Weir",2010,0.475,0.049,0.378,0.475,0.571
"Ostrander_Above Weir",2010,0.483,0.051,0.381,0.484,0.584
"Green",2010,0.504,0.026,0.453,0.504,0.556
"Upper NF Toutle",2010,0.48,0.051,0.381,0.48,0.58
"NF_MS Toutle",2010,0.477,0.051,0.377,0.477,0.579
"SF Toutle",2010,0.446,0.035,0.376,0.446,0.515
"Coweeman",2010,0.46,0.038,0.384,0.461,0.534
"Kalama",2010,0.475,0.049,0.379,0.474,0.571
"Lower Lewis",2010,0.458,0.05,0.359,0.458,0.555
"Upper NF Lewis",2010,0.479,0.051,0.379,0.479,0.581
"Cedar",2010,0.421,0.04,0.341,0.421,0.499
"EF Lewis",2010,0.483,0.047,0.388,0.483,0.577
"Salmon Creek",2010,0.48,0.052,0.377,0.48,0.582
"Washougal",2010,0.446,0.046,0.355,0.446,0.534
"Lower Gorge",2010,0.502,0.043,0.417,0.502,0.589
"Duncan_Above Weir",2010,0.488,0.044,0.402,0.487,0.576
"Grays_Chinook",2011,0.472,0.046,0.38,0.472,0.562
"Elochoman_Skamokawa",2011,0.461,0.048,0.365,0.461,0.556
"Abernathy",2011,0.566,0.031,0.505,0.566,0.627
"Abernathy_Above AFTC",2011,0.556,0.033,0.492,0.555,0.622
"Mill",2011,0.556,0.033,0.491,0.555,0.621
"Germany",2011,0.556,0.033,0.491,0.555,0.621
"Upper Cowlitz and Cispus",2011,0.479,0.053,0.376,0.48,0.583
"Tilton",2011,0.48,0.052,0.378,0.48,0.581
"Lower Cowlitz",2011,0.475,0.051,0.372,0.475,0.576
"Delameter_Above Weir",2011,0.473,0.05,0.372,0.474,0.568
"Lacamas_Above Weir",2011,0.479,0.053,0.376,0.478,0.582
"Olequa_Above Weir",2011,0.472,0.051,0.373,0.472,0.573
"Ostrander_Above Weir",2011,0.478,0.052,0.375,0.478,0.581
"Green",2011,0.451,0.052,0.347,0.451,0.552
"Upper NF Toutle",2011,0.479,0.051,0.377,0.479,0.581
"NF_MS Toutle",2011,0.477,0.051,0.377,0.477,0.578
"SF Toutle",2011,0.454,0.05,0.353,0.455,0.55
"Coweeman",2011,0.503,0.039,0.429,0.503,0.579
"Kalama",2011,0.479,0.051,0.379,0.479,0.582
"Lower Lewis",2011,0.556,0.048,0.467,0.555,0.653
"Upper NF Lewis",2011,0.479,0.052,0.377,0.48,0.58
"Cedar",2011,0.435,0.045,0.346,0.436,0.522
"EF Lewis",2011,0.5,0.047,0.409,0.499,0.593
"Salmon Creek",2011,0.486,0.05,0.389,0.485,0.587
"Washougal",2011,0.476,0.048,0.382,0.477,0.57
"Lower Gorge",2011,0.504,0.05,0.408,0.503,0.602
"Duncan_Above Weir",2011,0.508,0.042,0.426,0.507,0.592
"Grays_Chinook",2012,0.481,0.046,0.389,0.481,0.571
"Elochoman_Skamokawa",2012,0.467,0.049,0.371,0.467,0.562
"Abernathy",2012,0.467,0.03,0.409,0.467,0.526
"Abernathy_Above AFTC",2012,0.466,0.031,0.406,0.466,0.525
"Mill",2012,0.466,0.031,0.405,0.466,0.526
"Germany",2012,0.466,0.031,0.405,0.466,0.526
"Upper Cowlitz and Cispus",2012,0.48,0.052,0.378,0.48,0.583
"Tilton",2012,0.48,0.051,0.38,0.48,0.578
"Lower Cowlitz",2012,0.479,0.052,0.377,0.48,0.583
"Delameter_Above Weir",2012,0.479,0.052,0.378,0.479,0.582
"Lacamas_Above Weir",2012,0.48,0.052,0.377,0.48,0.583
"Olequa_Above Weir",2012,0.479,0.051,0.379,0.479,0.58
"Ostrander_Above Weir",2012,0.48,0.052,0.377,0.48,0.581
"Green",2012,0.483,0.047,0.392,0.483,0.574
"Upper NF Toutle",2012,0.479,0.052,0.375,0.478,0.581
"NF_MS Toutle",2012,0.488,0.051,0.39,0.487,0.588
"SF Toutle",2012,0.475,0.046,0.384,0.475,0.567
"Coweeman",2012,0.476,0.044,0.39,0.476,0.563
"Kalama",2012,0.481,0.048,0.387,0.481,0.577
"Lower Lewis",2012,0.457,0.05,0.357,0.457,0.552
"Upper NF Lewis",2012,0.48,0.052,0.377,0.48,0.581
"Cedar",2012,0.446,0.047,0.353,0.446,0.54
"EF Lewis",2012,0.482,0.043,0.396,0.482,0.568
"Salmon Creek",2012,0.475,0.05,0.379,0.475,0.573
"Washougal",2012,0.475,0.048,0.38,0.475,0.567
"Lower Gorge",2012,0.53,0.042,0.449,0.53,0.614
"Duncan_Above Weir",2012,0.456,0.047,0.363,0.456,0.548
"Grays_Chinook",2013,0.515,0.032,0.453,0.514,0.578
"Elochoman_Skamokawa",2013,0.496,0.042,0.414,0.496,0.58
"Abernathy",2013,0.453,0.037,0.381,0.454,0.525
"Abernathy_Above AFTC",2013,0.446,0.037,0.373,0.446,0.518
"Mill",2013,0.427,0.039,0.35,0.427,0.502
"Germany",2013,0.442,0.038,0.368,0.442,0.515
"Upper Cowlitz and Cispus",2013,0.48,0.052,0.379,0.48,0.582
"Tilton",2013,0.479,0.052,0.377,0.479,0.582
"Lower Cowlitz",2013,0.468,0.04,0.389,0.469,0.546
"Delameter_Above Weir",2013,0.46,0.05,0.359,0.46,0.558
"Lacamas_Above Weir",2013,0.5,0.045,0.413,0.5,0.588
"Olequa_Above Weir",2013,0.466,0.043,0.381,0.466,0.549
"Ostrander_Above Weir",2013,0.472,0.052,0.369,0.472,0.576
"Green",2013,0.481,0.045,0.394,0.481,0.569
"Upper NF Toutle",2013,0.479,0.051,0.38,0.48,0.58
"NF_MS Toutle",2013,0.494,0.048,0.4,0.494,0.591
"SF Toutle",2013,0.535,0.044,0.452,0.534,0.625
"Coweeman",2013,0.479,0.041,0.399,0.479,0.56
"Kalama",2013,0.472,0.05,0.374,0.472,0.569
"Lower Lewis",2013,0.5,0.047,0.408,0.499,0.594
"Upper NF Lewis",2013,0.48,0.052,0.377,0.48,0.582
"Cedar",2013,0.456,0.039,0.38,0.457,0.532
"EF Lewis",2013,0.46,0.039,0.385,0.46,0.535
"Salmon Creek",2013,0.489,0.049,0.395,0.488,0.586
"Washougal",2013,0.477,0.047,0.386,0.477,0.568
"Lower Gorge",2013,0.485,0.042,0.402,0.485,0.567
"Duncan_Above Weir",2013,0.521,0.048,0.43,0.521,0.616
"Grays_Chinook",2014,0.501,0.018,0.465,0.5,0.536
"Elochoman_Skamokawa",2014,0.527,0.03,0.469,0.527,0.586
"Abernathy",2014,0.453,0.021,0.412,0.453,0.495
"Abernathy_Above AFTC",2014,0.46,0.021,0.419,0.46,0.5
"Mill",2014,0.462,0.021,0.421,0.462,0.502
"Germany",2014,0.455,0.021,0.414,0.455,0.498
"Upper Cowlitz and Cispus",2014,0.479,0.052,0.379,0.479,0.58
"Tilton",2014,0.479,0.051,0.376,0.479,0.578
"Lower Cowlitz",2014,0.431,0.028,0.377,0.431,0.485
"Delameter_Above Weir",2014,0.425,0.031,0.364,0.425,0.487
"Lacamas_Above Weir",2014,0.484,0.029,0.428,0.484,0.541
"Olequa_Above Weir",2014,0.504,0.025,0.454,0.504,0.554
"Ostrander_Above Weir",2014,0.517,0.033,0.454,0.516,0.583
"Green",2014,0.477,0.034,0.413,0.477,0.545
"Upper NF Toutle",2014,0.479,0.052,0.376,0.479,0.581
"NF_MS Toutle",2014,0.526,0.04,0.45,0.525,0.605
"SF Toutle",2014,0.497,0.025,0.448,0.497,0.547
"Coweeman",2014,0.511,0.034,0.444,0.511,0.58
"Kalama",2014,0.534,0.035,0.466,0.533,0.605
"Lower Lewis",2014,0.46,0.036,0.388,0.46,0.531
"Upper NF Lewis",2014,0.48,0.051,0.379,0.48,0.582
"Cedar",2014,0.482,0.044,0.395,0.482,0.568
"EF Lewis",2014,0.45,0.038,0.374,0.449,0.524
"Salmon Creek",2014,0.462,0.046,0.37,0.462,0.552
"Washougal",2014,0.477,0.038,0.402,0.477,0.55
"Lower Gorge",2014,0.524,0.04,0.445,0.524,0.604
"Duncan_Above Weir",2014,0.506,0.041,0.427,0.506,0.587
"Grays_Chinook",2015,0.479,0.042,0.395,0.478,0.563
"Elochoman_Skamokawa",2015,0.49,0.047,0.399,0.49,0.581
"Abernathy",2015,0.468,0.038,0.395,0.468,0.542
"Abernathy_Above AFTC",2015,0.443,0.038,0.368,0.443,0.516
"Mill",2015,0.465,0.038,0.391,0.465,0.539
"Germany",2015,0.474,0.037,0.401,0.474,0.547
"Upper Cowlitz and Cispus",2015,0.479,0.052,0.378,0.479,0.58
"Tilton",2015,0.479,0.052,0.377,0.479,0.584
"Lower Cowlitz",2015,0.485,0.049,0.389,0.484,0.582
"Delameter_Above Weir",2015,0.441,0.049,0.346,0.441,0.535
"Lacamas_Above Weir",2015,0.477,0.052,0.374,0.477,0.579
"Olequa_Above Weir",2015,0.487,0.051,0.387,0.487,0.589
"Ostrander_Above Weir",2015,0.462,0.048,0.368,0.462,0.557
"Green",2015,0.464,0.05,0.366,0.464,0.563
"Upper NF Toutle",2015,0.48,0.052,0.377,0.48,0.581
"NF_MS Toutle",2015,0.5,0.049,0.405,0.499,0.597
"SF Toutle",2015,0.512,0.043,0.428,0.511,0.598
"Coweeman",2015,0.472,0.047,0.378,0.472,0.565
"Kalama",2015,0.487,0.042,0.404,0.487,0.571
"Lower Lewis",2015,0.47,0.052,0.367,0.47,0.572
"Upper NF Lewis",2015,0.479,0.052,0.376,0.479,0.58
"Cedar",2015,0.469,0.051,0.367,0.469,0.568
"EF Lewis",2015,0.487,0.05,0.39,0.487,0.584
"Salmon Creek",2015,0.484,0.052,0.383,0.484,0.588
"Washougal",2015,0.49,0.048,0.396,0.49,0.585
"Lower Gorge",2015,0.5,0.047,0.409,0.5,0.595
"Duncan_Above Weir",2015,0.458,0.049,0.363,0.458,0.553
"Grays_Chinook",2016,0.473,0.028,0.42,0.473,0.528
"Elochoman_Skamokawa",2016,0.46,0.046,0.37,0.46,0.551
"Abernathy",2016,0.535,0.028,0.481,0.535,0.59
"Abernathy_Above AFTC",2016,0.537,0.027,0.485,0.537,0.591
"Mill",2016,0.532,0.028,0.476,0.532,0.589
"Germany",2016,0.524,0.028,0.469,0.524,0.58
"Upper Cowlitz and Cispus",2016,0.48,0.052,0.376,0.48,0.582
"Tilton",2016,0.479,0.052,0.378,0.478,0.584
"Lower Cowlitz",2016,0.482,0.046,0.393,0.482,0.573
"Delameter_Above Weir",2016,0.492,0.044,0.407,0.491,0.581
"Lacamas_Above Weir",2016,0.483,0.05,0.386,0.483,0.581
"Olequa_Above Weir",2016,0.465,0.049,0.368,0.465,0.561
"Ostrander_Above Weir",2016,0.512,0.046,0.424,0.511,0.604
"Green",2016,0.547,0.037,0.476,0.547,0.62
"Upper NF Toutle",2016,0.48,0.052,0.38,0.48,0.582
"NF_MS Toutle",2016,0.481,0.05,0.383,0.481,0.579
"SF Toutle",2016,0.501,0.044,0.416,0.5,0.59
"Coweeman",2016,0.472,0.045,0.385,0.472,0.562
"Kalama",2016,0.486,0.05,0.389,0.486,0.585
"Lower Lewis",2016,0.459,0.048,0.365,0.459,0.553
"Upper NF Lewis",2016,0.48,0.051,0.379,0.48,0.583
"Cedar",2016,0.465,0.049,0.369,0.465,0.561
"EF Lewis",2016,0.45,0.047,0.356,0.451,0.543
"Salmon Creek",2016,0.494,0.05,0.395,0.494,0.594
"Washougal",2016,0.48,0.044,0.393,0.48,0.567
"Lower Gorge",2016,0.5,0.044,0.416,0.499,0.588
