"Population","Recovery.Goal","med.NOR","min.NOR","max.NOR","med.HOR","min.HOR","max.HOR","med.NOR_Density","min.NOR_Density","max.NOR_Density","med.PHOS","min.pHOS","max.pHOS","n"
"Coweeman",1200,3237.90234041438,1066.48674443578,6618.60827746527,524.17597256303,110.19276508521,1312.29762038545,33.9053629637361,11.1676067912168,69.306079173941,0.134566861430639,0.032918513101947,0.28542599575526,10
"EF Lewis",2000,1894.28315322245,521.58201903391,4031.53443494807,232.339114440168,110.058398611794,908.292456705323,13.4536050623781,3.70438731917285,28.6328218624027,0.116667554150848,0.0543906097741874,0.516955462400162,4
"Elochoman, Skamokawa",2400,773.949968204074,285.242185363518,3228.16428504487,540.557257336943,243.4106369864,1904.18222112296,4.79425191678792,1.76693966032599,19.9969422405891,0.352893120100679,0.112082347670155,0.72888040054692,1
"Grays, Chinook",2400,570.277430013979,79.9370946780857,3284.38460284198,956.751751189868,429.384980174636,1897.66592926358,2.17796464251632,0.305290296742205,12.5434975345938,0.661628055256341,0.356925703671714,0.954832204870195,1
"Kalama",500,73.4111823380186,7.6497050799029,319.792956314642,320.561766632124,148.301040591699,877.330684127147,1.42326699750617,0.148309459596356,6.20001948288802,0.885249189993698,0.654563631744664,0.985224659173142,NA
"LCR ESU",23700,29364.4060712173,11707.9078350897,89787.6610113989,23461.9978530705,9451.38991263797,52678.4419833063,9.82174839086782,3.91603782691301,30.0319990440023,0.429516401619687,0.288709068632461,0.531228464331175,8
"Lower Cowlitz",3700,4735.97024476575,2539.82212063538,24951.0060002125,616.718477667034,206.911594695583,1253.5506458502,7.45711879908307,3.99912885919195,39.287116743577,0.0771948827175736,0.0460211432537413,0.177030318676909,7
"Lower Gorge",1900,587.267117820218,343.84903858476,1272.0381072925,137.497095623253,49.4310265837731,548.626586447756,11.0881730824793,6.49220352779756,24.0173138818347,0.172353371803382,0.0700088445639901,0.301714544051034,NA
"Mill, Abernathy, Germany, Coal",1800,951.414481789905,566.172985170777,2554.52640069857,150.333394866932,13.1939510970589,559.642716414394,9.94587853697932,5.91864833803426,26.7044592941832,0.120866378316689,0.0224648263875348,0.272437252631454,1
"NF Lewis",500,3197.13611424405,984.424893828732,8172.64122501307,5203.28551699157,265.362212972668,9103.3806455899,11.5337344786045,3.55133310995539,29.4829717941131,0.545709064124482,0.141836438867759,0.850719534465043,11
"NF Toutle",1900,1628.48335335912,677.195226447165,5265.63297846509,584.937229190207,368.8410359881,2543.74774100882,7.10126702161575,2.95302013302459,22.9616506308005,0.306379973506578,0.163381068729276,0.608628649590473,4
"Salmon Creek",NA,2195.73328321324,952.118720753102,4906.82540842789,104.703165241197,21.8044554322201,477.275679303931,7.78349477519127,3.37509621273243,17.3938475229485,0.0544083529541337,0.0138904155790441,0.136375152792292,NA
"SF Toutle",1900,1935.0471883285,1156.43112962843,10419.5792165613,242.1777672283,62.06005236987,2469.41494078583,21.2173207509828,12.6799854555187,114.24814633023,0.138113747105347,0.0206270801888229,0.488205665591506,6
"Tilton",NA,1963.70520149972,897.45908504653,8922.2948964867,4323.40219832683,1555.51804044187,9491.48600145767,9.82358008731576,4.48960525760717,44.6344382096388,0.689170746718172,0.355185886672898,0.800152823793053,NA
"Upper Cowlitz and Cispus",2000,2772.98866323826,9.231001274969,8866.65476795515,6436.00829199016,943.759255917846,22597.181581477,8.26410274286904,0.0275103695760563,26.4245386067902,0.715020693184909,0.552962073398154,0.998421595798515,6
"Washougal",1500,504.910322033075,112.415936131586,937.510111321263,670.194809256988,57.5812384702952,1369.39085482553,6.34325735067584,1.41229676257852,11.7780676002539,0.576346205018051,0.0867757928820144,0.753359950431572,NA
