"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,409,172,157,382,819
"EF Lewis",2010,658,367,184,581,1573
"Elochoman, Skamokawa",2010,1975,533,1162,1904,3251
"Grays, Chinook",2010,2019,700,1016,1898,3719
"Kalama",2010,566,256,235,511,1225
"Lower Cowlitz",2010,1452,1149,351,1154,4272
"Lower Gorge",2010,206,102,79,183,463
"Mill, Abernathy, Germany, Coal",2010,159,47,94,150,276
"NF Lewis",2010,827,169,613,795,1246
"NF Toutle",2010,2217,642,1304,2112,3722
"Salmon Creek",2010,567,829,8,256,2838
"SF Toutle",2010,471,212,191,430,1001
"Tilton",2010,2077,142,1785,2082,2340
"Upper Cowlitz and Cispus",2010,19330,272,18763,19337,19842
"Washougal",2010,454,195,188,419,934
"Coweeman",2011,201,108,55,180,469
"EF Lewis",2011,141,116,19,110,448
"Elochoman, Skamokawa",2011,906,272,480,871,1529
"Grays, Chinook",2011,1763,485,1063,1682,2941
"Kalama",2011,358,173,139,323,790
"Lower Cowlitz",2011,1040,1708,154,687,3836
"Lower Gorge",2011,78,63,11,61,243
"Mill, Abernathy, Germany, Coal",2011,146,45,85,138,252
"NF Lewis",2011,479,128,338,451,796
"NF Toutle",2011,525,359,117,440,1419
"Salmon Creek",2011,194,263,5,105,893
"SF Toutle",2011,254,197,36,202,773
"Tilton",2011,4346,230,3875,4360,4770
"Upper Cowlitz and Cispus",2011,11798,253,11277,11806,12269
"Washougal",2011,74,57,11,59,222
"Coweeman",2012,140,111,19,110,443
"EF Lewis",2012,208,144,42,173,580
"Elochoman, Skamokawa",2012,293,154,74,265,657
"Grays, Chinook",2012,616,284,202,571,1286
"Kalama",2012,262,110,116,241,526
"Lower Cowlitz",2012,1032,2431,152,717,3481
"Lower Gorge",2012,99,59,27,86,250
"Mill, Abernathy, Germany, Coal",2012,14,5,6,13,26
"NF Lewis",2012,279,76,176,265,456
"NF Toutle",2012,424,266,125,369,1033
"Salmon Creek",2012,123,138,6,79,502
"SF Toutle",2012,285,186,60,242,759
"Tilton",2012,3636,195,3225,3647,3991
"Upper Cowlitz and Cispus",2012,2233,67,2096,2235,2360
"Washougal",2012,69,47,13,58,186
"Coweeman",2013,566,258,190,524,1192
"EF Lewis",2013,272,145,84,243,635
"Elochoman, Skamokawa",2013,565,187,267,541,992
"Grays, Chinook",2013,1436,373,870,1380,2321
"Kalama",2013,347,141,155,321,689
"Lower Cowlitz",2013,1359,597,631,1254,2688
"Lower Gorge",2013,190,100,56,171,432
"Mill, Abernathy, Germany, Coal",2013,60,16,34,58,95
"NF Lewis",2013,7543,190,7242,7519,7983
"NF Toutle",2013,698,417,272,617,1575
"Salmon Creek",2013,68,88,3,38,308
"SF Toutle",2013,600,331,185,529,1426
"Tilton",2013,3762,247,3240,3775,4207
"Upper Cowlitz and Cispus",2013,5842,270,5284,5855,6330
"Washougal",2013,253,111,92,236,520
"Coweeman",2014,1367,410,728,1312,2324
"EF Lewis",2014,1006,501,326,908,2269
"Elochoman, Skamokawa",2014,1760,454,1065,1697,2846
"Grays, Chinook",2014,1898,545,1045,1828,3161
"Kalama",2014,945,367,449,877,1859
"Lower Cowlitz",2014,1319,485,703,1212,2537
"Lower Gorge",2014,607,299,208,549,1367
"Mill, Abernathy, Germany, Coal",2014,353,36,286,351,429
"NF Lewis",2014,9175,401,8630,9103,10148
"NF Toutle",2014,2740,1148,1526,2506,5298
"Salmon Creek",2014,117,144,5,68,503
"SF Toutle",2014,2681,1080,1280,2469,5347
"Tilton",2014,4910,151,4600,4915,5190
"Upper Cowlitz and Cispus",2014,22589,299,21967,22597,23148
"Washougal",2014,1435,453,751,1369,2516
"Coweeman",2015,316,148,104,292,669
"EF Lewis",2015,187,122,35,160,496
"Elochoman, Skamokawa",2015,258,105,98,243,508
"Grays, Chinook",2015,445,151,195,429,784
"Kalama",2015,159,60,74,148,304
"Lower Cowlitz",2015,252,166,72,207,691
"Lower Gorge",2015,60,42,11,49,169
"Mill, Abernathy, Germany, Coal",2015,49,13,27,47,77
"NF Lewis",2015,3796,114,3612,3784,4052
"NF Toutle",2015,892,365,432,829,1755
"Salmon Creek",2015,48,76,1,22,255
"SF Toutle",2015,1294,523,593,1189,2587
"Tilton",2015,1550,96,1340,1556,1718
"Upper Cowlitz and Cispus",2015,942,40,861,944,1017
"Washougal",2015,267,99,120,252,504
"Coweeman",2016,589,307,158,531,1352
"EF Lewis",2016,917,488,214,834,2065
"Elochoman, Skamokawa",2016,517,225,176,484,1047
"Grays, Chinook",2016,951,276,489,925,1551
"Kalama",2016,229,121,55,209,524
"Lower Cowlitz",2016,507,364,120,402,1463
"Lower Gorge",2016,75,53,15,62,211
"Mill, Abernathy, Germany, Coal",2016,170,23,129,169,218
"NF Lewis",2016,6317,271,5900,6279,6941
"NF Toutle",2016,2634,660,1624,2544,4177
"Salmon Creek",2016,182,238,6,99,838
"SF Toutle",2016,835,396,305,756,1806
"Tilton",2016,4310,231,3830,4323,4725
"Upper Cowlitz and Cispus",2016,8832,253,8292,8846,9290
"Washougal",2016,763,246,399,724,1355
"Coweeman",2017,318,258,35,247,991
"EF Lewis",2017,837,376,310,772,1721
"Elochoman, Skamokawa",2017,317,206,52,275,820
"Grays, Chinook",2017,931,253,505,906,1496
"Kalama",2017,177,105,31,159,431
"Lower Cowlitz",2017,731,495,135,617,1956
"Lower Gorge",2017,136,106,21,108,404
"Mill, Abernathy, Germany, Coal",2017,77,14,54,76,106
"NF Lewis",2017,5261,353,4741,5203,6099
"NF Toutle",2017,511,332,131,437,1302
"Salmon Creek",2017,288,265,25,210,1024
"SF Toutle",2017,189,191,15,128,704
"Tilton",2017,5228,155,4903,5236,5510
"Upper Cowlitz and Cispus",2017,6428,170,6080,6436,6744
"Washougal",2017,705,221,380,670,1239
"Coweeman",2018,766,661,65,569,2497
"EF Lewis",2018,270,167,63,232,695
"Elochoman, Skamokawa",2018,685,314,211,640,1427
"Grays, Chinook",2018,981,269,519,957,1566
"Kalama",2018,207,105,60,188,460
"Lower Cowlitz",2018,367,354,57,248,1364
"Lower Gorge",2018,171,99,46,151,411
"Mill, Abernathy, Germany, Coal",2018,173,28,124,171,232
"NF Lewis",2018,6974,456,6403,6868,8157
"NF Toutle",2018,487,297,117,421,1235
"Salmon Creek",2018,295,209,53,245,818
"SF Toutle",2018,169,192,9,105,696
"Tilton",2018,3151,115,2907,3157,3360
"Upper Cowlitz and Cispus",2018,5827,103,5614,5832,6019
"Washougal",2018,738,255,357,697,1345
"Coweeman",2019,1396,625,465,1298,2868
"EF Lewis",2019,248,189,36,199,731
"Elochoman, Skamokawa",2019,914,404,298,856,1850
"Grays, Chinook",2019,1259,506,375,1229,2368
"Kalama",2019,362,221,68,323,890
"Lower Cowlitz",2019,278,221,72,209,862
"Lower Gorge",2019,382,206,113,345,890
"Mill, Abernathy, Germany, Coal",2019,563,59,455,560,687
"NF Lewis",2019,4834,460,4216,4742,5950
"NF Toutle",2019,666,384,207,585,1636
"Salmon Creek",2019,441,361,60,345,1395
"SF Toutle",2019,287,203,53,239,807
"Tilton",2019,5666,175,5297,5674,5986
"Upper Cowlitz and Cispus",2019,6163,151,5846,6170,6439
"Washougal",2019,929,347,430,870,1752
"Coweeman",2020,876,525,186,774,2176
"EF Lewis",2020,252,233,20,185,884
"Elochoman, Skamokawa",2020,359,312,28,273,1170
"Grays, Chinook",2020,881,528,151,783,2122
"Kalama",2020,690,374,258,607,1592
"Lower Cowlitz",2020,442,499,98,276,1816
"Lower Gorge",2020,203,209,13,137,755
"Mill, Abernathy, Germany, Coal",2020,172,85,50,157,373
"NF Lewis",2020,6110,556,5305,6027,7417
"NF Toutle",2020,487,298,164,417,1254
"Salmon Creek",2020,613,508,84,477,1905
"SF Toutle",2020,98,112,6,62,389
"Tilton",2020,9276,1428,5903,9491,11460
"Upper Cowlitz and Cispus",2020,11607,1037,8896,11830,12928
"Washougal",2020,1373,562,627,1260,2766
