"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,4064,953,2525,3947,6288
"EF Lewis",2010,1823,739,780,1697,3582
"Elochoman, Skamokawa",2010,751,272,344,709,1397
"Grays, Chinook",2010,431,198,159,392,908
"Kalama",2010,11,12,1,8,43
"Lower Cowlitz",2010,7510,2669,3870,7002,14072
"Lower Gorge",2010,599,227,313,548,1177
"Mill, Abernathy, Germany, Coal",2010,1145,311,728,1088,1909
"NF Lewis",2010,2635,700,1800,2474,4458
"NF Toutle",2010,1799,658,967,1666,3399
"Salmon Creek",2010,2923,1715,691,2570,7224
"SF Toutle",2010,1824,716,842,1693,3552
"Tilton",2010,898,29,842,897,955
"Upper Cowlitz and Cispus",2010,2773,52,2672,2773,2877
"Washougal",2010,678,263,307,631,1305
"Coweeman",2011,4030,875,2657,3924,6034
"EF Lewis",2011,2014,736,938,1894,3778
"Elochoman, Skamokawa",2011,700,237,333,667,1239
"Grays, Chinook",2011,89,45,28,80,202
"Kalama",2011,25,34,1,14,119
"Lower Cowlitz",2011,6129,6284,2737,5254,14040
"Lower Gorge",2011,580,206,302,541,1074
"Mill, Abernathy, Germany, Coal",2011,613,172,387,581,1032
"NF Lewis",2011,1650,444,1157,1545,2770
"NF Toutle",2011,1081,514,440,977,2318
"Salmon Creek",2011,1989,1010,735,1779,4498
"SF Toutle",2011,1367,624,485,1258,2889
"Tilton",2011,1964,44,1879,1964,2052
"Upper Cowlitz and Cispus",2011,7614,87,7443,7614,7786
"Washougal",2011,657,228,322,619,1204
"Coweeman",2012,3288,736,2118,3200,4972
"EF Lewis",2012,2764,1035,1443,2549,5342
"Elochoman, Skamokawa",2012,571,204,242,546,1030
"Grays, Chinook",2012,785,311,312,744,1519
"Kalama",2012,38,29,5,30,114
"Lower Cowlitz",2012,5806,10722,2209,4610,15583
"Lower Gorge",2012,493,173,251,461,922
"Mill, Abernathy, Germany, Coal",2012,585,127,397,566,887
"NF Lewis",2012,1638,336,1192,1581,2441
"NF Toutle",2012,1529,543,890,1426,2725
"Salmon Creek",2012,1500,672,611,1379,3148
"SF Toutle",2012,2081,769,1029,1935,4002
"Tilton",2012,1269,35,1202,1268,1339
"Upper Cowlitz and Cispus",2012,1604,40,1525,1603,1683
"Washougal",2012,501,159,260,477,878
"Coweeman",2013,3969,863,2608,3860,5962
"EF Lewis",2013,2726,932,1452,2559,5050
"Elochoman, Skamokawa",2013,801,228,439,774,1322
"Grays, Chinook",2013,844,245,472,810,1430
"Kalama",2013,55,46,7,42,174
"Lower Cowlitz",2013,7406,4489,3752,6424,16649
"Lower Gorge",2013,680,228,369,638,1257
"Mill, Abernathy, Germany, Coal",2013,736,78,594,732,902
"NF Lewis",2013,1366,282,992,1318,2048
"NF Toutle",2013,3046,869,1988,2906,4872
"Salmon Creek",2013,1979,817,847,1834,3949
"SF Toutle",2013,3558,1381,1746,3290,6913
"Tilton",2013,2654,52,2553,2653,2758
"Upper Cowlitz and Cispus",2013,10,3,5,9,16
"Washougal",2013,533,178,266,505,951
"Coweeman",2014,6778,1547,4202,6619,10289
"EF Lewis",2014,4280,1517,2077,4032,7962
"Elochoman, Skamokawa",2014,3337,777,2154,3228,5181
"Grays, Chinook",2014,3385,751,2213,3284,5092
"Kalama",2014,99,49,35,88,221
"Lower Cowlitz",2014,25214,2406,21331,24951,30670
"Lower Gorge",2014,1363,526,593,1272,2635
"Mill, Abernathy, Germany, Coal",2014,2561,183,2223,2555,2939
"NF Lewis",2014,4964,700,3919,4863,6628
"NF Toutle",2014,5651,2165,3407,5266,10317
