"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,0.091,0.031,0.04,0.088,0.161
"EF Lewis",2010,0.26,0.099,0.095,0.25,0.477
"Elochoman, Skamokawa",2010,0.723,0.069,0.577,0.727,0.847
"Grays, Chinook",2010,0.825,0.052,0.712,0.829,0.914
"Kalama",2010,0.98,0.017,0.936,0.984,0.998
"Lower Cowlitz",2010,0.158,0.089,0.046,0.135,0.389
"Lower Gorge",2010,0.254,0.063,0.14,0.25,0.386
"Mill, Abernathy, Germany, Coal",2010,0.122,0.014,0.096,0.122,0.15
"NF Lewis",2010,0.246,0.041,0.166,0.245,0.33
"NF Toutle",2010,0.552,0.092,0.364,0.555,0.718
"Salmon Creek",2010,0.153,0.18,0.003,0.08,0.674
"SF Toutle",2010,0.205,0.04,0.134,0.204,0.29
"Tilton",2010,0.698,0.015,0.665,0.699,0.726
"Upper Cowlitz and Cispus",2010,0.875,0.003,0.87,0.875,0.879
"Washougal",2010,0.4,0.093,0.225,0.398,0.589
"Coweeman",2011,0.048,0.023,0.015,0.044,0.1
"EF Lewis",2011,0.068,0.047,0.012,0.058,0.185
"Elochoman, Skamokawa",2011,0.564,0.097,0.372,0.564,0.748
"Grays, Chinook",2011,0.95,0.021,0.901,0.953,0.982
"Kalama",2011,0.935,0.076,0.725,0.961,0.996
"Lower Cowlitz",2011,0.137,0.096,0.027,0.111,0.398
"Lower Gorge",2011,0.122,0.078,0.024,0.104,0.318
"Mill, Abernathy, Germany, Coal",2011,0.191,0.023,0.148,0.19,0.238
"NF Lewis",2011,0.227,0.029,0.172,0.226,0.286
"NF Toutle",2011,0.321,0.138,0.1,0.307,0.617
"Salmon Creek",2011,0.087,0.095,0.003,0.054,0.353
"SF Toutle",2011,0.157,0.091,0.033,0.138,0.378
"Tilton",2011,0.689,0.012,0.663,0.69,0.71
"Upper Cowlitz and Cispus",2011,0.608,0.006,0.596,0.608,0.618
"Washougal",2011,0.105,0.067,0.02,0.091,0.27
"Coweeman",2012,0.043,0.031,0.007,0.035,0.124
"EF Lewis",2012,0.07,0.038,0.017,0.063,0.164
"Elochoman, Skamokawa",2012,0.347,0.145,0.104,0.335,0.657
"Grays, Chinook",2012,0.454,0.143,0.186,0.452,0.735
"Kalama",2012,0.877,0.077,0.687,0.893,0.978
"Lower Cowlitz",2012,0.15,0.093,0.032,0.129,0.386
"Lower Gorge",2012,0.167,0.076,0.055,0.155,0.346
"Mill, Abernathy, Germany, Coal",2012,0.024,0.007,0.013,0.023,0.039
"NF Lewis",2012,0.151,0.035,0.095,0.147,0.231
"NF Toutle",2012,0.216,0.084,0.085,0.206,0.405
"Salmon Creek",2012,0.075,0.07,0.004,0.053,0.262
"SF Toutle",2012,0.121,0.062,0.033,0.11,0.269
"Tilton",2012,0.741,0.011,0.719,0.742,0.761
"Upper Cowlitz and Cispus",2012,0.582,0.009,0.563,0.582,0.6
"Washougal",2012,0.124,0.07,0.028,0.111,0.296
"Coweeman",2013,0.125,0.051,0.045,0.119,0.241
"EF Lewis",2013,0.091,0.034,0.037,0.087,0.17
"Elochoman, Skamokawa",2013,0.413,0.096,0.233,0.41,0.606
"Grays, Chinook",2013,0.629,0.06,0.507,0.631,0.742
"Kalama",2013,0.863,0.091,0.635,0.884,0.978
"Lower Cowlitz",2013,0.162,0.043,0.088,0.159,0.255
"Lower Gorge",2013,0.218,0.088,0.077,0.208,0.42
"Mill, Abernathy, Germany, Coal",2013,0.075,0.017,0.045,0.073,0.113
"NF Lewis",2013,0.845,0.023,0.791,0.849,0.881
"NF Toutle",2013,0.185,0.058,0.09,0.179,0.316
"Salmon Creek",2013,0.034,0.038,0.002,0.022,0.139
"SF Toutle",2013,0.145,0.054,0.058,0.138,0.265
"Tilton",2013,0.587,0.015,0.553,0.588,0.614
"Upper Cowlitz and Cispus",2013,0.998,0.001,0.997,0.998,0.999
"Washougal",2013,0.325,0.101,0.149,0.319,0.538
