"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Grays_Chinook",2010,0.459,0.042,0.375,0.459,0.543
"Elochoman_Skamokawa",2010,0.445,0.045,0.358,0.446,0.533
"Abernathy",2010,0.49,0.027,0.437,0.49,0.544
"Abernathy_Above AFTC",2010,0.484,0.029,0.427,0.484,0.541
"Mill",2010,0.484,0.029,0.428,0.484,0.54
"Germany",2010,0.484,0.029,0.428,0.484,0.541
"Upper Cowlitz and Cispus",2010,0.476,0.053,0.372,0.476,0.579
"Tilton",2010,0.475,0.053,0.369,0.475,0.579
"Lower Cowlitz",2010,0.511,0.049,0.414,0.511,0.61
"Delameter_Above Weir",2010,0.473,0.054,0.367,0.472,0.579
"Lacamas_Above Weir",2010,0.476,0.053,0.373,0.475,0.58
"Olequa_Above Weir",2010,0.47,0.049,0.372,0.471,0.568
"Ostrander_Above Weir",2010,0.479,0.053,0.376,0.479,0.583
"Green",2010,0.504,0.027,0.45,0.504,0.558
"Upper NF Toutle",2010,0.475,0.054,0.371,0.474,0.583
"NF_MS Toutle",2010,0.472,0.054,0.367,0.472,0.58
"SF Toutle",2010,0.442,0.036,0.373,0.442,0.514
"Coweeman",2010,0.455,0.039,0.379,0.455,0.532
"Kalama",2010,0.47,0.05,0.372,0.47,0.568
"Lower Lewis",2010,0.454,0.05,0.355,0.454,0.553
"Upper NF Lewis",2010,0.475,0.054,0.368,0.476,0.582
"Cedar",2010,0.416,0.041,0.336,0.416,0.495
"EF Lewis",2010,0.479,0.049,0.385,0.479,0.575
"Salmon Creek",2010,0.476,0.053,0.371,0.475,0.581
"Washougal",2010,0.442,0.047,0.35,0.442,0.532
"Lower Gorge",2010,0.499,0.045,0.411,0.499,0.589
"Duncan_Above Weir",2010,0.486,0.045,0.398,0.485,0.576
"Grays_Chinook",2011,0.47,0.048,0.376,0.471,0.564
"Elochoman_Skamokawa",2011,0.457,0.049,0.36,0.457,0.554
"Abernathy",2011,0.566,0.031,0.505,0.566,0.628
"Abernathy_Above AFTC",2011,0.556,0.033,0.493,0.556,0.621
"Mill",2011,0.556,0.033,0.491,0.556,0.62
"Germany",2011,0.556,0.033,0.491,0.556,0.622
"Upper Cowlitz and Cispus",2011,0.476,0.053,0.372,0.476,0.58
"Tilton",2011,0.476,0.054,0.369,0.476,0.581
"Lower Cowlitz",2011,0.471,0.053,0.366,0.47,0.576
"Delameter_Above Weir",2011,0.469,0.052,0.368,0.469,0.572
"Lacamas_Above Weir",2011,0.475,0.054,0.37,0.475,0.58
"Olequa_Above Weir",2011,0.469,0.053,0.366,0.468,0.575
"Ostrander_Above Weir",2011,0.474,0.054,0.366,0.474,0.58
"Green",2011,0.444,0.055,0.334,0.445,0.55
"Upper NF Toutle",2011,0.475,0.053,0.37,0.475,0.577
"NF_MS Toutle",2011,0.472,0.053,0.369,0.473,0.576
"SF Toutle",2011,0.449,0.052,0.346,0.45,0.549
"Coweeman",2011,0.504,0.04,0.426,0.504,0.584
"Kalama",2011,0.475,0.053,0.371,0.475,0.58
"Lower Lewis",2011,0.557,0.048,0.464,0.556,0.653
"Upper NF Lewis",2011,0.476,0.053,0.372,0.475,0.58
"Cedar",2011,0.43,0.045,0.341,0.43,0.518
"EF Lewis",2011,0.498,0.049,0.405,0.498,0.596
"Salmon Creek",2011,0.482,0.051,0.381,0.482,0.583
"Washougal",2011,0.473,0.049,0.377,0.472,0.569
"Lower Gorge",2011,0.501,0.052,0.403,0.501,0.605
"Duncan_Above Weir",2011,0.506,0.044,0.422,0.506,0.592
"Grays_Chinook",2012,0.478,0.047,0.384,0.478,0.572
"Elochoman_Skamokawa",2012,0.458,0.053,0.354,0.459,0.562
"Abernathy",2012,0.465,0.03,0.406,0.465,0.524
"Abernathy_Above AFTC",2012,0.464,0.031,0.402,0.464,0.525
"Mill",2012,0.464,0.031,0.402,0.463,0.525
"Germany",2012,0.464,0.032,0.401,0.464,0.525
"Upper Cowlitz and Cispus",2012,0.476,0.053,0.372,0.476,0.58
"Tilton",2012,0.475,0.053,0.371,0.475,0.58
"Lower Cowlitz",2012,0.476,0.053,0.371,0.476,0.582
"Delameter_Above Weir",2012,0.476,0.054,0.371,0.475,0.585
"Lacamas_Above Weir",2012,0.475,0.054,0.369,0.475,0.583
"Olequa_Above Weir",2012,0.475,0.053,0.371,0.476,0.579
"Ostrander_Above Weir",2012,0.476,0.054,0.37,0.476,0.583
"Green",2012,0.478,0.048,0.385,0.478,0.574
"Upper NF Toutle",2012,0.476,0.053,0.369,0.476,0.58
"NF_MS Toutle",2012,0.485,0.051,0.384,0.485,0.587
"SF Toutle",2012,0.473,0.047,0.381,0.473,0.565
"Coweeman",2012,0.475,0.046,0.388,0.475,0.565
"Kalama",2012,0.477,0.049,0.381,0.477,0.575
"Lower Lewis",2012,0.451,0.05,0.352,0.452,0.549
"Upper NF Lewis",2012,0.476,0.053,0.372,0.475,0.581
"Cedar",2012,0.441,0.048,0.346,0.442,0.534
"EF Lewis",2012,0.479,0.043,0.395,0.479,0.564
"Salmon Creek",2012,0.471,0.051,0.372,0.471,0.574
"Washougal",2012,0.47,0.048,0.376,0.47,0.565
"Lower Gorge",2012,0.529,0.044,0.443,0.529,0.617
"Duncan_Above Weir",2012,0.451,0.048,0.357,0.451,0.545
"Grays_Chinook",2013,0.516,0.032,0.454,0.515,0.58
"Elochoman_Skamokawa",2013,0.493,0.044,0.408,0.493,0.581
"Abernathy",2013,0.45,0.037,0.378,0.45,0.524
"Abernathy_Above AFTC",2013,0.443,0.037,0.369,0.443,0.517
"Mill",2013,0.423,0.041,0.344,0.423,0.502
"Germany",2013,0.439,0.039,0.363,0.439,0.515
"Upper Cowlitz and Cispus",2013,0.476,0.054,0.37,0.476,0.584
"Tilton",2013,0.476,0.054,0.37,0.476,0.584
"Lower Cowlitz",2013,0.466,0.041,0.385,0.465,0.548
"Delameter_Above Weir",2013,0.455,0.051,0.351,0.455,0.553
"Lacamas_Above Weir",2013,0.499,0.045,0.413,0.499,0.589
"Olequa_Above Weir",2013,0.463,0.043,0.377,0.463,0.548
"Ostrander_Above Weir",2013,0.468,0.053,0.362,0.468,0.573
"Green",2013,0.478,0.046,0.39,0.478,0.566
"Upper NF Toutle",2013,0.476,0.053,0.37,0.475,0.581
"NF_MS Toutle",2013,0.492,0.049,0.397,0.492,0.591
"SF Toutle",2013,0.536,0.046,0.448,0.535,0.629
"Coweeman",2013,0.479,0.042,0.396,0.479,0.563
"Kalama",2013,0.467,0.05,0.369,0.467,0.565
"Lower Lewis",2013,0.498,0.048,0.404,0.497,0.594
"Upper NF Lewis",2013,0.476,0.054,0.369,0.476,0.583
"Cedar",2013,0.453,0.039,0.377,0.454,0.532
"EF Lewis",2013,0.457,0.04,0.38,0.457,0.535
"Salmon Creek",2013,0.486,0.05,0.388,0.486,0.585
"Washougal",2013,0.472,0.047,0.38,0.472,0.563
"Lower Gorge",2013,0.483,0.042,0.399,0.483,0.566
"Duncan_Above Weir",2013,0.521,0.048,0.428,0.52,0.617
"Grays_Chinook",2014,0.501,0.019,0.464,0.501,0.538
"Elochoman_Skamokawa",2014,0.528,0.03,0.469,0.528,0.585
"Abernathy",2014,0.452,0.021,0.412,0.452,0.493
"Abernathy_Above AFTC",2014,0.459,0.021,0.419,0.459,0.5
"Mill",2014,0.461,0.021,0.419,0.461,0.503
"Germany",2014,0.455,0.021,0.413,0.454,0.496
"Upper Cowlitz and Cispus",2014,0.475,0.054,0.37,0.475,0.582
"Tilton",2014,0.476,0.053,0.372,0.476,0.582
"Lower Cowlitz",2014,0.428,0.027,0.375,0.428,0.481
"Delameter_Above Weir",2014,0.424,0.031,0.364,0.424,0.486
"Lacamas_Above Weir",2014,0.483,0.029,0.426,0.483,0.541
"Olequa_Above Weir",2014,0.504,0.026,0.453,0.504,0.555
"Ostrander_Above Weir",2014,0.516,0.033,0.452,0.515,0.579
"Green",2014,0.476,0.034,0.41,0.476,0.542
"Upper NF Toutle",2014,0.475,0.053,0.371,0.475,0.582
"NF_MS Toutle",2014,0.526,0.041,0.447,0.525,0.605
