"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Coweeman",2010,4318,970,2716,4214,6455
"EF Lewis",2010,1871,752,791,1739,3680
"Elochoman, Skamokawa",2010,742,268,342,702,1371
"Grays, Chinook",2010,442,191,170,409,904
"Kalama",2010,12,11,1,8,43
"Lower Cowlitz",2010,7625,2660,4004,7154,13882
"Lower Gorge",2010,642,224,333,605,1184
"Mill, Abernathy, Germany, Coal",2010,1174,326,743,1110,1969
"NF Lewis",2010,2572,642,1799,2434,4197
"NF Toutle",2010,1804,631,971,1683,3334
"Salmon Creek",2010,2885,1600,759,2567,6774
"SF Toutle",2010,1887,751,860,1749,3740
"Tilton",2010,898,29,842,898,956
"Upper Cowlitz and Cispus",2010,2773,53,2671,2772,2880
"Washougal",2010,687,246,330,646,1277
"Coweeman",2011,3837,811,2588,3730,5751
"EF Lewis",2011,2023,741,942,1908,3823
"Elochoman, Skamokawa",2011,686,225,330,656,1208
"Grays, Chinook",2011,89,44,29,81,202
"Kalama",2011,25,34,1,14,112
"Lower Cowlitz",2011,6048,3333,2799,5335,13529
"Lower Gorge",2011,584,184,317,554,1021
"Mill, Abernathy, Germany, Coal",2011,625,184,391,588,1083
"NF Lewis",2011,1610,413,1162,1515,2626
"NF Toutle",2011,1092,502,455,1003,2257
"Salmon Creek",2011,1948,895,794,1778,4140
"SF Toutle",2011,1410,646,498,1297,2960
"Tilton",2011,1963,44,1879,1963,2049
"Upper Cowlitz and Cispus",2011,7614,88,7444,7614,7789
"Washougal",2011,662,215,337,630,1167
"Coweeman",2012,3158,682,2094,3070,4734
"EF Lewis",2012,2893,1121,1449,2661,5695
"Elochoman, Skamokawa",2012,583,216,236,562,1062
"Grays, Chinook",2012,765,288,316,732,1431
"Kalama",2012,37,29,5,29,112
"Lower Cowlitz",2012,5530,4058,2175,4670,13940
"Lower Gorge",2012,500,158,267,476,874
"Mill, Abernathy, Germany, Coal",2012,587,128,399,567,888
"NF Lewis",2012,1618,318,1188,1566,2366
"NF Toutle",2012,1530,475,908,1440,2675
"Salmon Creek",2012,1518,624,658,1404,3034
"SF Toutle",2012,2090,795,1019,1934,4109
"Tilton",2012,1269,35,1202,1268,1339
"Upper Cowlitz and Cispus",2012,1603,41,1525,1603,1683
"Washougal",2012,517,159,272,495,890
"Coweeman",2013,3867,814,2601,3755,5770
"EF Lewis",2013,2842,994,1510,2647,5270
"Elochoman, Skamokawa",2013,835,236,447,810,1368
"Grays, Chinook",2013,793,218,459,763,1294
"Kalama",2013,56,45,8,44,172
"Lower Cowlitz",2013,7418,4168,3804,6512,16386
"Lower Gorge",2013,676,210,383,639,1187
"Mill, Abernathy, Germany, Coal",2013,746,80,603,742,914
"NF Lewis",2013,1390,281,1012,1344,2043
"NF Toutle",2013,3103,833,2040,2954,5021
"Salmon Creek",2013,2067,777,953,1938,3850
"SF Toutle",2013,3624,1475,1746,3320,7250
"Tilton",2013,2654,52,2552,2653,2756
"Upper Cowlitz and Cispus",2013,10,3,5,10,17
"Washougal",2013,556,174,282,535,963
"Coweeman",2014,7164,1536,4455,7069,10462
"EF Lewis",2014,4259,1487,2087,4043,7774
"Elochoman, Skamokawa",2014,3192,739,2076,3080,4942
"Grays, Chinook",2014,3187,649,2137,3115,4676
"Kalama",2014,97,46,36,88,210
"Lower Cowlitz",2014,25252,2203,21465,25072,30003
"Lower Gorge",2014,1384,467,639,1324,2459
"Mill, Abernathy, Germany, Coal",2014,2582,180,2244,2578,2947
"NF Lewis",2014,4972,678,3923,4891,6478
"NF Toutle",2014,5684,1817,3482,5334,10047
"Salmon Creek",2014,5351,2023,2414,5041,10011
"SF Toutle",2014,11157,4609,5462,10139,22781
"Tilton",2014,8921,96,8734,8920,9114
"Upper Cowlitz and Cispus",2014,6849,81,6693,6849,7008
"Washougal",2014,602,205,287,575,1074
"Coweeman",2015,1187,295,680,1167,1831
"EF Lewis",2015,559,243,203,519,1139
"Elochoman, Skamokawa",2015,324,123,130,310,602
"Grays, Chinook",2015,263,126,75,244,555
"Kalama",2015,20,11,6,17,47
"Lower Cowlitz",2015,2559,500,1763,2495,3694
"Lower Gorge",2015,362,114,194,346,639
"Mill, Abernathy, Germany, Coal",2015,672,71,544,669,820
"NF Lewis",2015,1013,172,738,995,1404
"NF Toutle",2015,748,266,370,706,1367
"Salmon Creek",2015,1026,375,471,970,1928
"SF Toutle",2015,1356,568,617,1243,2806
"Tilton",2015,1362,37,1290,1361,1435
"Upper Cowlitz and Cispus",2015,376,19,339,376,414
"Washougal",2015,127,63,38,115,278
"Coweeman",2016,3299,690,2127,3237,4818
"EF Lewis",2016,907,491,212,822,2082
"Elochoman, Skamokawa",2016,824,289,361,788,1478
"Grays, Chinook",2016,654,240,267,629,1200
"Kalama",2016,121,91,14,98,348
"Lower Cowlitz",2016,4831,983,3288,4709,7134
"Lower Gorge",2016,882,281,483,836,1578
"Mill, Abernathy, Germany, Coal",2016,1146,93,971,1142,1338
"NF Lewis",2016,3428,482,2642,3376,4508
"NF Toutle",2016,1711,440,1124,1631,2759
"Salmon Creek",2016,2396,893,1147,2233,4583
"SF Toutle",2016,2982,1108,1490,2769,5635
"Tilton",2016,2629,51,2530,2629,2729
"Upper Cowlitz and Cispus",2016,911,30,854,911,971
"Washougal",2016,263,110,101,246,522
"Coweeman",2017,2773,618,1728,2718,4167
"EF Lewis",2017,1488,571,699,1388,2885
"Elochoman, Skamokawa",2017,1089,322,550,1060,1789
"Grays, Chinook",2017,285,159,64,255,662
"Kalama",2017,97,80,8,76,295
"Lower Cowlitz",2017,2781,712,1673,2687,4434
"Lower Gorge",2017,566,202,250,540,1029
"Mill, Abernathy, Germany, Coal",2017,869,81,722,865,1039
"NF Lewis",2017,4290,500,3448,4245,5392
"NF Toutle",2017,985,321,514,937,1751
"Salmon Creek",2017,1922,734,948,1779,3732
"SF Toutle",2017,1291,596,441,1195,2670
"Tilton",2017,5197,71,5057,5197,5339
"Upper Cowlitz and Cispus",2017,5200,73,5059,5200,5342
