"","2.5%","25%","50%","75%","97.5%","mean","sd"
"Delameter_Above Weir",0,0,0,0,0,0,0
"Lacamas_Above Weir",0.184660892640104,0.248646282390355,0.287629659215231,0.327614161562384,0.415381501972076,0.290405643102981,0.0586158014792126
"Olequa_Above Weir",0.0377030970444941,0.0694039842167687,0.0924883391591523,0.120616048903914,0.190443837463393,0.0981512229459221,0.0397192700129014
"Ostrander_Above Weir",0,0,0,0,0,0,0
